symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
ADA,7,7,17296,1866,34,0,0.024968999999999998,0.032226,0.017353999999999998,0.021678,-,50068700
ADA,4,5,63442,3586,23,19,0.025932,0.030088,0.019969,0.024607,-,57641300
ADA,5,5,10,8,2,7,0.020816,0.027425,0.02069,0.025757,624651000,16997800
ADA,11,11,955,374,13,8,0.021931,0.022806,0.020863999999999997,0.020863999999999997,540946000,9000050
ADA,7,7,1262,487,20,3,0.021488999999999998,0.022154,0.020859,0.021951,569134000,5562510
ADA,9,10,33634,2688,10,7,0.018539,0.021542,0.018359999999999998,0.021359,553774000,7780710
ADA,0,1,816,552,15,4,0.020941,0.02105,0.01762,0.018414,477417000,7411240
ADA,0,0,814,487,7,5,0.020477000000000002,0.023597999999999997,0.020146999999999998,0.020929,542638000,7727460
ADA,6,6,357,255,12,3,0.022113999999999998,0.022807,0.020342,0.020344,527469000,4663310
ADA,6,6,2706,1729,24,4,0.021531,0.022446,0.021279,0.022112,573302000,2725600
ADA,6,7,3613,2166,18,2,0.02252,0.022576,0.020975999999999998,0.021480000000000003,556914000,3606720
ADA,3,4,23638,4938,12,6,0.026251999999999998,0.026763,0.021825,0.022538,584358000,8680640
ADA,8,8,936,579,23,4,0.033641000000000004,0.033816000000000006,0.025195,0.026061,675684000,15613600
ADA,1,1,1802,1141,11,7,0.032465,0.038268,0.029255,0.033875999999999996,878314000,27853200
ADA,3,3,399,392,6,4,0.030049,0.033641000000000004,0.028694,0.032874,852317000,7104990
ADA,5,5,837,679,11,2,0.028948,0.030749000000000002,0.028576999999999998,0.029939,776227000,6196030
ADA,7,7,3712,2965,17,7,0.027217,0.029627999999999998,0.025481999999999998,0.028952999999999996,750659000,7039900
ADA,4,5,5000,3610,11,1,0.026691000000000003,0.027360000000000002,0.024637,0.027219,705718000,2336180
ADA,8,8,3865,4173,27,4,0.027032,0.027112,0.025772000000000003,0.026704000000000002,692370000,2897720
ADA,3,3,6072,6433,47,2,0.03063,0.030855,0.026612,0.026982,699574000,8716410
ADA,3,3,2854,2051,16,3,0.028436000000000003,0.030805000000000003,0.027977,0.030805000000000003,798697000,5344520
ADA,6,6,5010,4184,15,2,0.027729000000000004,0.028744,0.027093,0.028564999999999997,740608000,2930210
ADA,7,7,2687,2126,11,2,0.025454,0.028051,0.024345,0.027683999999999997,717768000,3517050
ADA,2,2,1215,1043,10,3,0.027193000000000002,0.028956,0.023766,0.025338999999999997,656966000,7589560
ADA,3,3,6016,1514,15,1,0.027527,0.027846,0.026106999999999998,0.027038,701019000,2561430
ADA,8,8,2292,1729,20,0,0.027132,0.02756,0.026477999999999998,0.027408999999999996,710649000,2437710
ADA,3,3,1224,809,12,1,0.026382,0.027462999999999998,0.025674000000000002,0.027138,703611000,2511440
ADA,5,5,2394,992,7,1,0.025866000000000004,0.026853,0.025593,0.026338999999999998,682882000,1739460
ADA,4,4,4564,1418,12,1,0.028607,0.029837,0.025626,0.025831,669716000,4746180
ADA,4,4,18834,15988,15,4,0.028582999999999997,0.028874,0.027586000000000003,0.028318,734193000,3781270
ADA,0,0,81,44,4,3,0.030437,0.030713999999999998,0.028075,0.028547000000000003,740140000,7304450
ADA,4,4,1978,802,9,2,0.022986000000000003,0.029219,0.022986000000000003,0.029126,755165000,9382780
ADA,6,6,5149,4073,55,2,0.021306,0.024977000000000003,0.01821,0.023079,598375000,6165050
ADA,8,8,3914,4081,24,4,0.022628,0.023213,0.019827,0.021418,555312000,2836080
ADA,2,2,1544,505,4,2,0.022022,0.023849000000000002,0.02197,0.022640999999999998,587012000,2626920
ADA,2,2,291,266,6,0,0.020635,0.023006,0.020635,0.022054,571799000,2396230
ADA,5,6,524,330,5,2,0.021881,0.023609,0.020534,0.020977000000000003,543879000,4591160
ADA,9,9,3772,1724,20,3,0.022195,0.023347,0.021414,0.021846,566399000,2539540
ADA,6,6,29807,14096,13,3,0.025186,0.026393,0.02166,0.021912,568104000,6367000
ADA,4,4,7487,5639,15,3,0.032053,0.03506,0.025006,0.02516,652327000,18716200
ADA,4,4,15996,18102,12,0,0.027119,0.033348,0.026451,0.032219,835352000,6766780
ADA,2,2,0,0,0,2,0.027437,0.029658999999999998,0.025684,0.026891,697209000,5532220
ADA,2,2,678,517,9,3,0.023977000000000002,0.027951999999999998,0.022591,0.027481000000000002,712489000,7280250
ADA,2,2,1091,538,11,3,0.025807999999999998,0.0263,0.023495,0.024364,631690000,4419440
ADA,6,6,14078,11709,17,3,0.02623,0.026788,0.025342,0.025797000000000004,668839000,3033290
ADA,6,6,4387,2885,25,1,0.026445,0.027773000000000003,0.025261000000000002,0.026116000000000004,677107000,6858800
ADA,7,8,4537,3005,33,4,0.02758,0.02817,0.025654000000000003,0.026583,689223000,4888130
ADA,5,5,17160,3435,18,3,0.025773,0.027436000000000002,0.025184,0.027143,703728000,3578870
ADA,3,3,2065,4015,17,2,0.026369,0.027122000000000004,0.024748,0.025596999999999998,663650000,2930550
ADA,1,1,10317,3900,6,1,0.028083999999999998,0.028477999999999996,0.025581,0.026242,680390000,4725050
ADA,7,7,8633,2832,15,2,0.029581,0.0323,0.027612,0.028151999999999996,729895000,16172400
