symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
BCH,0,2,107,87,2,1,413.06,578.97,411.78,555.89,-,85013
BCH,1,3,329,157,2,3,440.7,578.89,409.21,412.58,-,190952
BCH,0,0,485,264,6,7,406.9,541.66,338.09,441.35,-,524908
BCH,2,3,12,3,1,3,365.82,486.16,321.79,407.08,-,1784640
BCH,1,4,216,176,8,4,385.48,460.97,367.78,417.1,-,533207
BCH,0,1,310,94,4,3,406.05,465.18,217.06,386.65,-,1230160
BCH,0,1,6,1,1,4,384.77,423.73,323.73,410.56,-,737815
BCH,1,3,0,0,0,6,345.66,385.14,316.25,385.14,-,606695
BCH,0,0,286,1211,3,4,294.46,347.82,266.19,346.36,-,1075960
BCH,2,8,0,0,0,13,380.01,426.11,210.38,294.6,-,65988800
BCH,1,7,0,0,0,24,452.66,756.93,309.33,382.38,6302360000,416207000
BCH,0,8,3353,2638,9,13,364.05,519.28,364.05,448.49,7392030000,161518000
BCH,0,3,17,12,2,3,233.05,386.93,233.05,362.18,5969720000,185038000
BCH,0,0,908,708,11,1,213.15,273.04,200.98,231.11,3809330000,144043000
BCH,0,1,309,383,7,2,220.66,223.7,203.44,212.18,3497290000,107606000
BCH,0,0,599,538,9,4,319.69,373.87,223.76,223.76,3688360000,346546000
BCH,0,1,114,489,6,4,345.49,386.29,309.61,321.35,5297390000,274880000
BCH,0,1,629,292,4,1,303.89,349.32,298.61,345.28,5691960000,165032000
BCH,0,0,1787,1822,9,1,275.95,311.68,274.68,305.21,5031790000,136637000
BCH,0,1,151,201,1,1,328.24,351.16,275.02,275.88,4548600000,233971000
BCH,0,0,8,7,1,0,317.09,341.85,313.7,327.82,5405200000,126007000
BCH,0,0,0,0,0,1,298.05,317.47,298.05,316.29,5215330000,120722000
BCH,0,0,0,0,0,1,297.68,327.39,293.5,296.1,4882720000,174968000
BCH,0,0,1,1,1,1,297.86,306.52,292.88,298.19,4917480000,133924000
BCH,1,2,364,349,1,0,300.21,307.62,290.21,297.97,4914350000,106436000
BCH,0,0,60,1,1,1,460.53,460.53,293.1,301.02,4964980000,744605000
BCH,0,0,0,0,0,4,690.24,764.07,458.67,458.67,7565590000,3087490000
BCH,0,0,0,0,0,4,754.56,1091.97,625.16,697.04,11498100000,3196230000
BCH,0,0,0,0,0,3,712.87,858.96,683.94,772.42,12742600000,1494020000
BCH,1,2,12,12,1,2,599.63,756.59,573.47,723.7,11943100000,1123400000
BCH,0,1,1,1,1,5,690.88,734.88,570.27,596.19,9844620000,1393260000
BCH,0,0,48,31,2,3,669.4,715.67,651.32,690.96,11416800000,501983000
BCH,0,1,32,24,3,5,628.11,697.32,617.31,670.03,11071100000,407177000
BCH,0,2,0,0,0,5,641.05,665.41,624.3,627.06,10365600000,348632000
BCH,0,0,83,246,4,2,625.32,646.93,622.36,641.88,10616100000,193414000
BCH,0,0,1503,814,3,2,620.9,654.87,589.63,625.89,10357000000,402718000
BCH,0,1,1499,653,8,1,596.18,626.88,595.52,619.7,10254800000,216273000
BCH,0,1,778,687,8,2,552.93,599.3,528.32,596.13,9866110000,370017000
BCH,0,0,211,442,6,2,575.21,604.69,535.92,549.32,9092300000,443856000
BCH,0,0,88,41,2,1,588.17,603.69,572.14,576.25,9538750000,298144000
BCH,1,1,2,1,1,1,622.17,645.52,586.73,588.4,9740460000,393839000
BCH,1,1,0,0,0,1,575.9,642.05,560.58,621.96,10297000000,350478000
BCH,0,0,0,0,0,0,607.43,617.41,563.59,578.27,9574520000,344862000
BCH,0,0,0,0,0,1,517.24,608.26,500.75,608.26,10072200000,328957000
BCH,0,0,211,48,3,0,541.71,550.95,458.78,514.9,8527100000,338978000
BCH,0,0,667,808,9,0,638.18,642.69,539.96,541.28,8964700000,693240000
BCH,1,1,690,130,7,3,652.86,707.98,603.5,636.85,10548500000,1082380000
BCH,0,0,16,18,1,3,583.1,687.3,557.5,654.37,10840500000,809763000
BCH,0,1,0,0,0,1,547.47,586.18,539.15,584.73,9688150000,234578000
BCH,0,1,0,0,0,0,537.07,546.75,484.09,546.48,9055430000,289508000
