symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
BTC,10,14,31,25,2,31,2407.88,2448.39,2288.33,2288.33,37446200000,1653180000
BTC,6,8,0,0,0,36,2488.55,2488.55,2373.32,2404.03,39344600000,1317030000
BTC,9,9,0,0,0,28,2515.35,2581.91,2423.57,2493.72,40817100000,1514950000
BTC,2,4,0,0,0,29,2511.81,2585.89,2452.54,2547.79,41708200000,1355120000
BTC,8,8,15,12,1,31,2686.81,2686.81,2510.22,2512.4,41133900000,1369310000
BTC,8,9,0,0,0,33,2863.2,2999.91,2690.84,2690.84,44061000000,2089610000
BTC,6,6,0,0,0,43,2732.16,2869.38,2700.56,2869.38,46989800000,1517710000
BTC,10,10,0,0,0,28,2805.62,2815.3,2670.95,2720.49,44557100000,1281170000
BTC,6,8,0,0,0,22,2823.81,2901.71,2795.62,2807.44,45987100000,1348950000
BTC,1,2,0,0,0,19,2947.71,2950.99,2746.55,2828.14,46331400000,2018890000
BTC,4,6,0,0,0,38,2958.11,2996.6,2840.53,2942.41,48208700000,1752400000
BTC,2,2,0,0,0,35,2659.63,2997.26,2518.56,2953.22,48391200000,2569530000
BTC,5,5,0,0,0,30,2717.02,2789.04,2650.38,2680.91,43934100000,1781200000
BTC,9,10,0,0,0,29,2506.37,2786.83,2412.94,2716.88,44528300000,1696560000
BTC,9,13,0,0,0,28,2464.58,2534.71,2212.96,2499.58,40971300000,2026260000
BTC,4,10,0,0,0,35,2518.56,2539.92,2385.15,2469.57,40484100000,1195190000
BTC,3,4,0,0,0,27,2655.88,2685.19,2484.96,2514.01,41217200000,1534510000
BTC,2,5,0,0,0,28,2548.29,2662.1,2516.33,2655.35,43539300000,1178660000
BTC,7,8,0,0,0,29,2589.6,2662.85,2549.03,2549.03,41800600000,1446840000
BTC,3,3,0,0,0,34,2721.79,2763.45,2589.82,2591.26,42498000000,1854190000
BTC,4,8,0,0,0,35,2689.1,2772.01,2660.4,2709.43,44440800000,1626580000
BTC,5,5,0,0,0,32,2705.41,2723.74,2642.36,2691.03,44143700000,1097940000
BTC,7,9,0,0,0,40,2744.91,2765.17,2706.37,2707.34,44415900000,961319000
BTC,1,3,0,0,0,24,2608.72,2757.94,2583.19,2738.52,44932900000,982750000
BTC,2,2,0,0,0,26,2589.41,2682.26,2552.12,2607.25,42783800000,1161100000
