symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
DASH,1,1,0,0,0,1,136.08,147.94,131.64,136.47,1000300000,46692500
DASH,0,1,0,0,0,2,145.29,145.88,136.33,137.08,1005050000,39172500
DASH,0,0,0,0,0,1,144.29,148.42,142.8,145.28,1065460000,39144000
DASH,0,0,0,0,0,0,143.35,143.89,140.43,143.88,1055520000,28248800
DASH,0,0,84,74,5,2,144.92,145.86,142.0,143.41,1053050000,40209200
DASH,1,1,0,0,0,0,145.19,147.96,134.27,145.43,1068210000,66883600
DASH,3,3,0,0,0,0,140.36,153.76,138.17,145.25,1067130000,44240500
DASH,0,0,0,0,0,1,145.03,146.1,139.47,140.82,1034920000,29049200
DASH,0,0,0,0,0,1,148.93,149.69,144.94,144.94,1065470000,28944700
DASH,0,0,0,0,0,0,152.0,152.48,147.84,149.13,1096550000,32894500
DASH,0,0,0,0,0,1,188.27,200.12,151.99,151.99,1117860000,155786000
DASH,1,1,0,0,0,2,170.78,197.17,162.31,187.1,1376490000,79698800
DASH,0,0,0,0,0,0,183.97,183.97,171.27,171.27,1260370000,51568400
DASH,0,0,0,0,0,0,163.21,191.58,156.18,183.65,1351820000,53986500
DASH,0,0,0,0,0,2,163.35,166.05,143.32,163.12,1201030000,48167500
DASH,0,0,0,0,0,2,166.25,167.65,158.43,163.63,1205110000,35834400
DASH,0,0,0,0,0,0,178.13,183.85,166.16,166.21,1224440000,58241000
DASH,0,0,0,0,0,1,193.53,193.93,176.12,178.52,1315450000,77003000
DASH,0,0,0,0,0,1,201.26,208.42,192.88,193.21,1424100000,98763400
DASH,0,0,0,0,0,0,187.91,203.71,180.61,201.37,1484670000,58960400
DASH,0,0,0,0,0,2,178.81,188.09,175.04,187.77,1384740000,40445100
DASH,0,0,0,0,0,0,177.06,183.33,175.72,179.29,1322590000,37412700
DASH,2,2,0,0,0,0,189.26,193.47,177.03,177.03,1306270000,42975000
DASH,0,0,0,0,0,1,182.62,190.52,178.61,189.31,1397190000,35863100
DASH,0,0,0,0,0,1,172.88,183.43,169.3,182.35,1346200000,36111800
DASH,0,0,652,6,3,0,162.89,175.91,149.22,172.96,1277190000,40405300
DASH,0,0,0,0,0,0,176.02,176.02,153.94,162.89,1203160000,48931600
DASH,0,1,0,0,0,0,184.13,185.97,174.59,177.01,1307820000,27008600
DASH,2,2,62,15,1,2,177.17,184.48,176.72,183.17,1353710000,42548600
DASH,1,1,696,296,2,2,181.77,184.58,177.3,177.3,1310690000,48166300
DASH,3,3,1,7,2,0,165.71,182.29,165.63,181.66,1343300000,42283100
DASH,1,1,0,0,0,0,173.49,174.1,163.99,165.61,1224910000,33257700
DASH,2,2,109,671,2,1,180.79,182.58,171.91,173.37,1282650000,40038200
DASH,2,2,303,41,4,1,183.06,187.3,180.22,180.22,1333710000,51222900
DASH,3,3,511,167,3,0,209.48,212.66,181.06,183.05,1354980000,93285800
DASH,4,4,0,0,0,5,213.17,227.89,205.37,210.34,1558330000,114292000
DASH,0,0,0,0,0,0,196.46,213.08,194.8,212.72,1576370000,59581400
DASH,0,0,0,0,0,1,209.2,211.31,187.21,196.15,1454000000,41486800
DASH,2,2,0,0,0,1,195.64,212.48,195.64,209.64,1554430000,44286500
DASH,2,2,314,80,6,0,174.4,197.38,170.06,195.99,1453580000,38824100
DASH,2,4,3,2,1,3,165.73,180.37,159.99,173.63,1288140000,44860900
DASH,2,2,209,176,4,0,179.89,179.89,159.54,165.03,1224620000,30198600
DASH,2,2,118,53,2,1,171.24,182.61,169.57,179.83,1334790000,24269400
DASH,3,3,123,124,2,1,161.08,171.91,156.49,171.48,1273130000,26831900
DASH,0,0,0,0,0,0,140.14,163.44,139.91,161.28,1197760000,30810000
DASH,1,1,0,139,1,4,132.64,143.54,119.17,139.65,1037360000,35385900
DASH,6,6,110,24,6,3,153.85,154.91,132.34,132.34,983325000,32658200
DASH,2,2,3,1,1,2,158.07,165.7,146.25,154.5,1148330000,28103500
DASH,3,3,1,1,1,1,155.65,170.25,153.87,157.98,1174490000,28281400
DASH,1,1,114,111,1,2,188.59,193.87,154.85,154.85,1151530000,98932600
DASH,4,4,1658,1147,5,1,185.86,193.8,180.68,188.58,1402760000,32884200
DASH,4,4,6,2,2,0,195.31,195.55,185.55,186.13,1384830000,23312700
DASH,2,2,0,0,0,1,191.03,195.74,187.26,195.02,1451390000,31110400
DASH,0,0,0,0,0,1,204.02,216.62,187.29,191.11,1422690000,90278800
DASH,0,1,83,29,3,3,195.52,212.4,189.03,204.04,1519340000,84970400
DASH,2,2,0,0,0,2,194.37,200.88,189.33,195.49,1456070000,38380000
DASH,1,1,364,453,2,0,194.09,199.43,192.47,195.08,1453370000,26363200
DASH,1,2,133,106,1,0,185.61,196.91,181.57,194.0,1445720000,30108800
