symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
DCR,2,2,16,16,1,1,24.95,26.38,21.71,21.98,110146000,2886770
DCR,0,0,0,0,0,0,30.7,31.29,24.79,25.0,125482000,3739400
DCR,0,0,0,0,0,0,35.21,37.9,29.44,30.69,154295000,6865010
DCR,0,0,0,0,0,0,32.1,35.3,28.87,35.26,177458000,3468980
DCR,0,0,0,0,0,0,35.05,35.39,30.22,32.14,162002000,2868100
DCR,3,4,66,39,7,1,34.58,36.29,30.97,35.03,176868000,2657680
DCR,2,2,5,2,2,0,32.62,38.93,32.22,34.61,174967000,3270310
DCR,2,2,354,440,2,0,34.66,35.74,31.86,32.77,165901000,2388670
DCR,1,2,352,126,3,0,42.12,42.12,34.15,34.61,175431000,4390150
DCR,0,0,0,0,0,0,41.08,45.04,37.41,42.44,215444000,5631520
DCR,0,0,0,0,0,0,41.05,43.99,36.87,41.05,208689000,5497050
DCR,1,1,0,0,0,0,33.73,43.04,32.07,40.86,208041000,3761090
DCR,0,0,44,2,2,1,36.87,37.54,33.04,33.42,170407000,2086310
DCR,0,0,0,0,0,1,31.22,37.57,30.21,36.74,187546000,1413710
DCR,1,2,9,0,1,1,30.18,31.71,25.57,31.06,158782000,1402140
DCR,0,0,0,0,0,0,32.57,32.95,28.52,30.16,154382000,1267190
DCR,0,0,0,0,0,2,31.83,32.51,30.88,32.51,166673000,1336480
DCR,0,0,0,0,0,0,41.95,45.72,31.79,32.03,164444000,11185200
DCR,0,1,0,0,0,0,40.05,42.08,38.76,42.08,216323000,5853420
DCR,3,3,131,579,4,1,35.71,40.61,34.39,40.18,206818000,3106890
DCR,0,0,26,42,1,0,37.04,38.74,34.61,35.68,183928000,2080240
DCR,0,0,0,0,0,0,43.12,44.8,36.74,36.87,190323000,5629680
DCR,0,1,0,0,0,0,45.55,47.34,42.44,42.82,221303000,3936480
DCR,0,0,0,0,0,0,43.29,48.53,41.35,46.17,238976000,2074380
DCR,0,0,0,0,0,0,38.81,43.44,35.9,43.14,223596000,2068440
DCR,0,0,0,0,0,0,35.26,40.86,29.57,38.66,200625000,3233030
DCR,0,0,0,0,0,2,36.26,36.26,29.13,35.26,183242000,2134180
DCR,1,1,7,16,1,0,36.09,37.37,34.23,36.62,190554000,1453690
DCR,1,2,0,0,0,0,34.2,37.1,33.06,36.02,187711000,1066580
DCR,1,1,0,0,0,0,32.26,34.52,31.69,34.27,178839000,1922690
DCR,1,1,1,4,1,0,29.21,34.87,27.63,32.35,169093000,2355220
DCR,0,0,0,0,0,0,29.8,30.7,27.48,29.34,153510000,1261070
DCR,0,0,0,115,1,1,31.86,32.63,28.73,29.73,155746000,1183960
DCR,0,0,0,0,0,2,36.26,36.89,31.81,31.81,166912000,1909980
DCR,0,0,0,0,0,0,37.33,39.35,34.0,36.32,190855000,3216940
DCR,0,0,0,0,0,0,35.16,37.27,34.9,37.27,196079000,905811
DCR,0,0,0,0,0,0,29.89,36.99,29.62,35.19,185385000,1441280
DCR,0,0,0,0,0,0,36.88,37.63,29.48,29.81,157260000,2927310
DCR,0,0,0,0,0,1,33.11,36.96,32.73,36.57,193186000,2005270
DCR,0,1,0,0,0,0,24.58,33.95,24.0,33.22,175724000,2196480
DCR,0,0,0,0,0,0,25.44,31.31,24.57,24.57,130152000,2338340
DCR,0,0,0,0,0,1,28.19,28.49,23.02,25.44,134895000,1542700
DCR,1,2,3,15,1,0,25.67,28.71,25.13,28.26,150033000,806704
DCR,0,0,0,0,0,0,22.55,25.67,21.18,25.61,136178000,1280400
DCR,0,0,0,0,0,1,20.21,22.84,19.04,22.37,119067000,788266
DCR,2,3,134,1367,3,0,19.13,21.05,17.51,19.92,106193000,884628
DCR,2,2,252,679,5,2,24.42,24.66,18.8,18.8,100370000,1098540
DCR,1,1,18,16,2,0,24.72,26.3,22.77,24.62,131571000,1384330
DCR,4,4,2120,51,4,0,23.3,25.92,22.96,24.91,133317000,813883
DCR,4,4,120,86,4,2,26.85,27.91,23.06,23.06,123563000,1274350
DCR,5,5,656,41,4,0,26.87,28.92,25.86,26.78,143707000,720384
DCR,0,0,69,76,4,0,30.02,30.28,26.6,26.78,143869000,1070060
DCR,0,0,0,0,0,0,28.48,30.69,25.74,30.11,161983000,828897
DCR,2,2,81,58,3,0,28.41,29.23,27.11,28.14,151585000,853258
DCR,2,2,52,39,5,1,25.9,29.64,23.59,28.27,152478000,1679880
DCR,4,4,142,75,5,2,25.82,26.57,23.45,25.76,139150000,519526
DCR,3,3,77,27,2,0,25.17,25.97,24.49,25.89,140044000,444541
DCR,1,1,6,1,1,1,23.2,25.89,21.72,25.25,136730000,1466680
DCR,2,2,911,218,2,0,30.02,30.65,22.59,23.18,125663000,2558920
DCR,1,1,5,2,1,0,26.3,31.49,26.27,30.33,164663000,1908450
DCR,0,0,0,0,0,0,28.73,29.84,25.26,26.29,142923000,1306050
DCR,1,3,1,1,1,1,29.35,31.45,26.67,28.98,157743000,1189560
DCR,6,6,478,160,5,0,29.29,31.12,28.7,29.26,159476000,692111
DCR,4,4,14,54,3,0,28.58,29.57,28.15,29.18,159211000,626260
DCR,6,6,149,412,10,1,28.32,29.68,28.32,28.69,156776000,545456
DCR,3,3,44,553,4,3,30.49,31.49,28.29,28.31,154871000,959859
DCR,4,4,100,101,2,1,30.58,31.35,30.1,30.37,166393000,659951
DCR,1,1,339,387,3,2,30.51,31.24,28.72,30.51,167328000,958877
DCR,2,5,1,2,1,1,31.68,32.43,29.31,30.67,168415000,978874
DCR,0,0,0,0,0,0,29.47,32.33,28.26,31.73,174444000,1420520
DCR,1,1,0,0,0,1,28.2,30.5,28.2,29.47,162243000,862145
DCR,2,3,0,0,0,0,26.74,29.0,26.18,28.2,155440000,1910380
DCR,0,0,0,0,0,0,26.59,29.15,25.05,26.74,147601000,1688200
DCR,2,2,0,0,0,0,25.59,27.72,22.95,26.37,145710000,1232020
DCR,0,0,0,0,0,1,23.32,26.56,21.48,25.37,140380000,1706170
DCR,3,4,45,31,8,0,30.02,31.02,22.66,23.33,129238000,1976850
DCR,1,1,0,0,0,0,26.27,30.21,24.51,30.05,166699000,1203980
DCR,2,3,10,16,1,0,24.47,27.56,23.81,26.2,145531000,975883
