symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
DRGN,0,1,0,0,0,2,0.269727,0.279968,0.260121,0.260317,-,1142060
DRGN,0,0,0,0,0,1,0.24292800000000003,0.27327199999999996,0.24292800000000003,0.27026999999999995,-,592937
DRGN,0,0,0,0,0,0,0.22936700000000002,0.26213800000000004,0.22557,0.243052,-,461626
DRGN,0,0,0,0,0,3,0.23230900000000002,0.2565,0.22821100000000002,0.228964,-,327862
DRGN,0,0,0,0,0,1,0.338484,0.339933,0.228278,0.233447,55659000,431774
DRGN,0,0,0,0,0,3,0.442737,0.45933599999999997,0.35585,0.35585,84842500,1560460
DRGN,0,0,0,0,0,0,0.43403100000000006,0.5033880000000001,0.42881099999999994,0.442726,105556000,758682
DRGN,0,0,0,0,0,0,0.39931,0.43733599999999995,0.38400700000000004,0.429893,102496000,443550
DRGN,0,0,0,0,0,2,0.382873,0.428651,0.360752,0.399304,95202800,621039
DRGN,0,0,0,0,0,1,0.46006400000000003,0.46006400000000003,0.313249,0.380417,90699900,985551
DRGN,0,0,0,0,0,0,0.43550600000000006,0.504656,0.39456199999999997,0.460379,109764000,736731
DRGN,0,0,0,0,0,1,0.430709,0.469566,0.374084,0.43528,103780000,539000
DRGN,0,0,0,0,0,0,0.41572600000000004,0.431437,0.380465,0.43068999999999996,102686000,499531
DRGN,0,0,0,0,0,2,0.49492600000000003,0.495414,0.415646,0.416253,99243800,591577
DRGN,0,0,0,0,0,1,0.735266,0.792424,0.544925,0.548809,130848000,2841200
DRGN,0,0,0,0,0,5,1.18,1.18,0.726927,0.7342989999999999,175073000,4383170
DRGN,0,0,0,0,0,4,1.01,1.24,0.947691,1.17,280022000,4642800
DRGN,0,0,0,0,0,5,0.979059,0.998396,0.787096,0.9872340000000001,235378000,2862170
DRGN,0,2,0,0,0,2,0.948522,1.06,0.8566280000000001,0.980504,233774000,1137010
DRGN,0,0,0,0,0,2,0.8024140000000001,0.960499,0.661021,0.951917,226958000,1351870
DRGN,0,0,0,0,0,0,0.861569,0.9789760000000001,0.80193,0.80193,191198000,2173300
DRGN,0,0,0,0,0,0,0.857798,0.8883139999999999,0.7348210000000001,0.874964,208611000,1570190
DRGN,0,0,0,0,0,1,0.843101,0.905526,0.7990520000000001,0.858534,204693000,1934050
DRGN,0,0,0,0,0,2,0.936897,0.9881459999999999,0.840483,0.846566,201840000,2233780
DRGN,0,0,0,0,0,4,0.8500129999999999,0.963297,0.795417,0.922217,219877000,2234530
DRGN,0,0,0,0,0,2,0.909117,0.909117,0.7150449999999999,0.848648,202336000,2505870
DRGN,0,0,0,0,0,5,0.9019510000000001,0.957141,0.818617,0.9027,215223000,3421320
DRGN,0,0,0,0,0,2,0.858449,0.9038729999999999,0.780309,0.898892,214316000,2259960
DRGN,0,0,0,0,0,3,1.38,1.41,0.835636,0.847427,202045000,6452750
DRGN,0,0,0,0,0,3,1.96,2.22,1.37,1.39,330635000,10405100
DRGN,0,0,0,0,0,10,2.55,3.09,1.95,1.96,466728000,21727200
DRGN,3,3,0,0,0,6,2.78,2.85,2.15,2.66,633317000,14808700
DRGN,0,0,0,0,0,4,2.67,2.78,2.44,2.78,663614000,8249550
DRGN,0,0,0,0,0,7,3.2,3.58,2.59,2.67,636426000,15285000
DRGN,0,0,0,0,0,4,4.3,4.31,3.15,3.15,750894000,14449200
DRGN,0,0,0,0,0,10,4.62,5.04,4.07,4.31,1026650000,22543000
DRGN,0,0,0,0,0,5,4.24,4.64,3.62,4.58,1091470000,12855100
DRGN,0,0,0,0,0,3,5.11,5.27,3.94,4.21,1004730000,23710100
DRGN,0,0,0,0,0,6,4.75,5.12,4.06,5.12,1220330000,16877500
DRGN,0,0,0,0,0,7,3.77,4.87,3.62,4.74,1131130000,11370700
DRGN,0,1,0,0,0,2,4.39,4.41,3.81,3.81,908838000,7709280
DRGN,0,0,0,0,0,2,4.09,4.62,3.8,4.38,1044640000,10089700
DRGN,0,0,0,0,0,4,3.7,4.31,3.46,4.1,977763000,6793310
DRGN,0,0,0,0,0,2,3.29,3.85,3.19,3.72,885848000,8476080
DRGN,0,0,0,0,0,1,2.86,3.29,2.16,3.26,777894000,9082720
DRGN,0,0,0,0,0,1,3.23,3.43,2.06,2.82,673062000,7666870
DRGN,0,0,0,0,0,3,3.04,3.65,2.96,3.27,780585000,6580280
DRGN,0,0,0,0,0,2,3.0,3.18,2.79,3.03,721894000,4365230
DRGN,0,0,0,0,0,2,3.08,3.12,2.86,3.02,719294000,5276380
DRGN,0,0,0,0,0,1,2.67,3.2,2.58,3.1,740128000,3738050
DRGN,0,0,0,0,0,1,2.55,2.88,2.23,2.7,644228000,3921250
DRGN,0,0,0,0,0,2,2.43,2.57,2.16,2.54,606516000,3391630
DRGN,0,0,0,0,0,2,2.41,2.49,2.28,2.43,580398000,4067940
DRGN,0,0,0,0,0,1,2.22,2.57,2.17,2.44,581776000,4509670
DRGN,0,0,0,0,0,2,2.29,2.34,2.04,2.23,531037000,3836800
DRGN,1,1,0,0,0,1,2.95,3.1,2.27,2.28,543623000,6334040
DRGN,0,0,0,0,0,2,2.85,2.98,2.68,2.9,690504000,5412030
DRGN,0,0,0,0,0,1,2.57,2.83,2.34,2.81,671017000,5241770
DRGN,0,0,0,0,0,5,2.21,2.58,2.02,2.58,615572000,4674080
DRGN,1,1,0,0,0,1,2.23,2.41,2.08,2.2,524907000,3516870
DRGN,0,0,0,0,0,0,1.97,2.35,1.73,2.24,533771000,3899860
DRGN,0,0,0,0,0,1,1.86,1.97,1.16,1.97,469308000,6316130
DRGN,0,0,0,0,0,3,2.01,2.17,1.64,1.88,448793000,3883380
DRGN,0,0,0,0,0,1,1.61,2.01,1.42,2.01,479341000,2900980
DRGN,0,0,0,0,0,2,1.28,1.62,1.03,1.59,379034000,3969650
DRGN,0,0,0,0,0,0,1.6,1.75,0.9147360000000001,1.28,305306000,5385540
DRGN,0,0,0,0,0,1,1.44,1.75,1.32,1.59,379940000,3328500
DRGN,0,0,0,0,0,2,1.51,1.66,1.42,1.42,338803000,2263900
DRGN,0,0,0,0,0,0,1.59,1.68,1.41,1.52,362893000,2347860
DRGN,0,0,0,0,0,2,1.45,1.79,1.36,1.59,378923000,3225700
DRGN,0,0,0,0,0,0,1.35,1.5,1.25,1.45,345241000,2401000
DRGN,0,0,0,0,0,1,1.68,1.71,1.37,1.38,329377000,3299450
