symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
EOS,0,1,87,56,4,9,1.01,1.07,0.989566,1.03,-,13613000
EOS,0,0,0,0,0,26,2.71,2.88,0.8226479999999999,0.9965209999999999,-,320452000
EOS,4,5,190,12051,7,40,4.09,5.4,2.63,2.72,-,414950000
EOS,0,1,1376,1175,7,22,3.37,4.19,2.93,4.1,656753000,218559000
EOS,1,1,2249,1784,5,20,3.0,3.52,2.73,3.36,547544000,124339000
EOS,1,2,2091,1356,11,11,3.36,3.87,3.01,3.01,502465000,177463000
EOS,0,0,1268,451,4,11,2.8,3.35,2.71,3.35,566644000,96596500
EOS,1,3,3,2,3,14,2.59,2.9,2.09,2.82,485188000,151162000
EOS,0,0,778,152,2,6,2.29,2.69,2.19,2.6,491957000,87525100
EOS,0,2,225,151,3,15,1.83,2.39,1.72,2.25,464611000,79608800
EOS,1,3,976,1026,3,13,1.66,1.82,1.42,1.79,372111000,111023000
EOS,1,2,1027,556,2,14,2.07,2.09,1.54,1.64,346085000,104621000
EOS,1,2,846,280,7,11,1.74,2.13,1.71,2.08,443420000,51203900
EOS,0,2,581,184,5,15,1.55,1.77,1.54,1.73,371675000,41025200
EOS,0,0,2727,171,5,7,1.3,1.55,1.3,1.55,339219000,34208800
EOS,0,0,0,0,0,6,1.25,1.35,1.19,1.29,284276000,30802800
EOS,4,5,2071,710,15,12,1.54,1.57,1.25,1.25,278755000,62295100
EOS,1,1,2766,4850,10,9,1.7,1.75,1.48,1.54,345694000,58108000
EOS,1,1,4072,813,1,15,1.56,1.79,1.54,1.7,384563000,55057600
EOS,1,2,29253,163,8,6,1.74,1.76,1.57,1.57,357758000,45949800
EOS,1,2,505,133,2,9,1.82,2.02,1.73,1.76,404351000,58164900
EOS,0,1,0,0,0,7,1.96,2.0,1.81,1.82,421938000,41809000
EOS,0,1,0,0,0,6,1.87,2.14,1.74,1.96,459832000,60205000
EOS,0,0,30868,1239,4,19,1.87,1.95,1.82,1.88,445118000,36585400
EOS,0,3,4517,1543,11,12,1.65,1.89,1.55,1.88,448823000,42547000
EOS,1,1,2762,480,26,7,1.74,1.74,1.47,1.64,396121000,48693200
EOS,1,2,409,209,6,10,1.95,1.98,1.73,1.75,425312000,69371700
EOS,3,4,1738,251,17,19,1.85,2.01,1.85,1.96,481392000,64730400
EOS,0,0,260,0,3,4,1.83,1.84,1.66,1.83,452704000,44021100
EOS,1,2,599,8,4,9,1.78,1.84,1.71,1.83,455967000,27580200
EOS,3,7,330,176,2,9,1.74,1.79,1.71,1.77,446574000,29657700
EOS,6,10,1168,368,17,5,1.78,1.81,1.68,1.75,442971000,39175500
EOS,3,8,699,293,7,5,1.78,1.82,1.76,1.78,455223000,28880800
EOS,2,4,119,187,3,11,1.8,1.81,1.75,1.78,457634000,25878000
EOS,1,4,1551,370,8,9,1.81,1.85,1.8,1.8,467884000,34183300
EOS,1,2,731,251,3,1,1.91,1.98,1.76,1.8,471268000,52324800
EOS,0,1,0,0,0,5,1.74,1.9,1.72,1.9,501778000,38436700
EOS,1,1,1231,391,5,10,1.81,1.83,1.71,1.73,462733000,46022400
EOS,1,4,10189,2729,43,4,1.88,2.04,1.79,1.81,487777000,76270800
EOS,1,5,2945,1530,10,13,1.83,1.95,1.81,1.88,510157000,36813700
EOS,7,8,2333,1005,24,5,1.83,1.89,1.83,1.83,501169000,43519300
EOS,2,3,87,44,3,2,1.79,1.87,1.77,1.83,504138000,49178400
EOS,0,0,0,0,0,6,1.67,1.82,1.66,1.79,495957000,38131800
EOS,1,1,2,2,1,3,1.62,1.68,1.58,1.67,465780000,40514200
EOS,0,1,643,374,1,9,1.66,1.67,1.54,1.61,453328000,39205300
EOS,3,12,735,437,31,9,1.65,1.81,1.59,1.66,469853000,58304700
EOS,5,21,3325,2576,12,3,1.6,1.64,1.59,1.64,468739000,24022000
EOS,3,5,4,6,4,8,1.55,1.61,1.52,1.6,459650000,25713300
EOS,3,5,45,7,2,13,1.42,1.54,1.4,1.54,445570000,26841700
EOS,0,1,0,0,0,7,1.4,1.44,1.32,1.42,414746000,24769900
EOS,0,0,14,14,2,4,1.37,1.42,1.36,1.4,412029000,15673200
EOS,1,2,2217,1550,5,8,1.34,1.38,1.33,1.37,404724000,20152300
EOS,0,5,443,507,5,3,1.28,1.34,1.26,1.34,397993000,23774300
EOS,4,4,1710,395,29,7,1.41,1.53,1.28,1.29,384808000,36567800
EOS,1,1,1652,288,21,8,1.38,1.42,1.35,1.41,426382000,18034600
EOS,4,7,19350,2008,14,7,1.38,1.43,1.35,1.38,419363000,20444500
EOS,1,5,539,206,10,6,1.36,1.39,1.35,1.38,421157000,16466000
EOS,1,3,0,0,0,6,1.35,1.37,1.34,1.36,418196000,18124100
EOS,3,10,21535,2268,22,10,1.34,1.36,1.32,1.35,417816000,18414400
EOS,9,19,23374,3573,42,5,1.31,1.35,1.31,1.34,417121000,18993200
EOS,7,11,33116,10870,24,11,1.23,1.33,1.19,1.31,411683000,24068700
EOS,6,16,1415,9275,30,12,1.3,1.33,1.22,1.23,388849000,22926100
EOS,6,14,4952,9645,45,8,1.3,1.33,1.26,1.3,415441000,25853000
EOS,2,3,1241,18319,5,16,1.23,1.43,1.19,1.3,417177000,38741300
EOS,3,10,486,835,11,16,1.25,1.29,1.18,1.24,399540000,22618600
EOS,6,13,8340,19680,24,18,0.850526,1.25,0.792624,1.25,406952000,43045400
EOS,10,20,1367,458,32,16,0.8837079999999999,0.918675,0.712454,0.848252,277362000,30273900
EOS,7,11,2008,1077,17,14,0.914359,1.07,0.8530049999999999,0.891735,293040000,26208300
EOS,6,14,3012,1056,34,19,0.9772719999999999,1.0,0.853389,0.9219459999999999,304901000,22912100
EOS,9,14,895,435,29,8,0.832764,0.9777459999999999,0.7712289999999999,0.9777459999999999,325195000,18650200
EOS,0,0,285,143,5,7,0.791608,0.8341850000000001,0.752267,0.83378,278741000,10281100
EOS,1,5,40,40,1,2,0.7397630000000001,0.811077,0.707969,0.7933939999999999,266891000,9494440
EOS,4,7,15817,3129,37,7,0.730869,0.7529680000000001,0.715178,0.739553,250148000,7763470
EOS,3,7,909,568,9,5,0.8360770000000001,0.8531690000000001,0.728287,0.7300939999999999,248239000,15475800
EOS,7,13,2782,408,46,8,0.7289939999999999,0.841224,0.671642,0.841224,287468000,12370500
EOS,19,30,25660,7865,44,15,0.603217,0.754454,0.5733159999999999,0.727394,249825000,13131300
EOS,10,15,85,38,9,22,0.664289,0.683713,0.52467,0.60337,208567000,13121900
EOS,0,1,0,0,0,11,0.6275649999999999,0.685285,0.606857,0.666501,231741000,5602950
EOS,0,0,0,0,0,4,0.6485920000000001,0.667683,0.5775020000000001,0.624291,218104000,8685770
EOS,2,4,305,249,4,6,0.704878,0.706701,0.650438,0.650438,228544000,9065170
EOS,1,3,753,184,19,5,0.653363,0.708576,0.6476,0.708194,250257000,5520750
EOS,0,3,185,78,4,8,0.612827,0.654721,0.612827,0.6518579999999999,231481000,6087520
EOS,4,7,6,6,3,7,0.546153,0.615818,0.5449069999999999,0.615818,219928000,6972060
EOS,2,3,34,9,3,7,0.569846,0.579056,0.534403,0.547718,197242000,4556540
EOS,1,1,1550,415,19,3,0.576697,0.594251,0.56001,0.5707899999999999,206350000,4809880
EOS,0,0,0,0,0,2,0.5462739999999999,0.5829949999999999,0.546018,0.5802430000000001,210746000,7534280
EOS,5,9,967,57899,7,3,0.570774,0.574288,0.5430550000000001,0.546514,199970000,5592430
EOS,3,8,2713,58628,15,10,0.561128,0.584476,0.552298,0.5709810000000001,209783000,5789570
EOS,3,7,852,411,11,5,0.633043,0.636917,0.5575,0.560208,207167000,11395600
EOS,1,4,934,369,2,4,0.815693,0.8167369999999999,0.6307159999999999,0.63294,234912000,22672400
EOS,3,8,1098,235,8,6,0.717272,0.835309,0.7048760000000001,0.816964,305136000,15499400
EOS,0,0,0,0,0,4,0.7216090000000001,0.752134,0.714021,0.7186819999999999,269796000,10179600
EOS,2,5,41,42,3,2,0.7077600000000001,0.725224,0.674128,0.721765,272363000,8938190
EOS,1,4,41,47,1,2,0.6549729999999999,0.7142390000000001,0.636093,0.707986,268425000,8299880
EOS,1,2,33,23,1,2,0.6312300000000001,0.668738,0.616319,0.652812,248943000,7114830
EOS,4,5,152,1,2,4,0.601539,0.634008,0.5853079999999999,0.631988,242210000,5449300
EOS,1,2,832,504,14,4,0.606157,0.6207520000000001,0.57553,0.599336,230827000,8038660
EOS,1,3,694,394,7,1,0.5998439999999999,0.6089680000000001,0.591342,0.6067060000000001,234980000,6785670
EOS,0,0,70,55,1,3,0.588553,0.604416,0.572312,0.599816,233480000,6250760
EOS,0,0,0,0,0,3,0.6045010000000001,0.605634,0.5773510000000001,0.587396,229724000,5854700
EOS,4,6,25,36,4,2,0.557142,0.6039800000000001,0.547139,0.603543,237202000,6657950
EOS,0,1,0,0,0,5,0.555214,0.575712,0.548996,0.557554,220246000,7701180
EOS,2,2,692,30,5,2,0.610223,0.626727,0.552679,0.556461,220811000,8705650
EOS,1,6,739,1389,5,9,0.591723,0.632223,0.584208,0.610294,243333000,8681880
EOS,0,3,0,0,0,8,0.58397,0.614803,0.56772,0.591619,237037000,8587370
EOS,0,1,0,0,0,8,0.582836,0.618572,0.5781189999999999,0.584829,235451000,6436220
EOS,0,2,0,0,0,4,0.571914,0.586516,0.563429,0.58344,236824000,6573060
EOS,1,1,2537,1778,12,9,0.561856,0.581349,0.561856,0.571853,232974000,6005900
EOS,3,4,432,3,4,8,0.552144,0.564163,0.5441229999999999,0.562389,230284000,6374050
EOS,0,4,0,0,0,3,0.546006,0.560554,0.514188,0.554269,228420000,7320330
EOS,1,3,0,0,0,6,0.566708,0.59005,0.544242,0.545624,225606000,8084770
EOS,2,3,665,256,1,8,0.540684,0.5796060000000001,0.540684,0.5666260000000001,235831000,6150650
EOS,0,1,92,60,2,4,0.526792,0.541115,0.512558,0.540259,226053000,7066060
EOS,0,0,0,0,0,4,0.5179699999999999,0.538859,0.504792,0.526479,221105000,5538990
EOS,0,0,47,37,2,4,0.493225,0.5186569999999999,0.480196,0.517658,218357000,6162350
EOS,0,1,974,233,13,5,0.514935,0.5310229999999999,0.48272600000000004,0.49278999999999995,208860000,7089410
EOS,2,5,2227,565,5,3,0.504073,0.5201060000000001,0.49745200000000006,0.5149020000000001,219135000,5046620
EOS,4,8,166597,11,9,6,0.518944,0.52974,0.502833,0.50434,215751000,5314240
EOS,3,5,986,162,11,4,0.5221180000000001,0.52354,0.5027149999999999,0.518989,223174000,4730120
EOS,0,0,0,0,0,1,0.5363680000000001,0.539194,0.521951,0.522242,225217000,5960600
EOS,0,0,0,0,0,2,0.6658810000000001,0.680899,0.536399,0.536399,232441000,19902600
EOS,3,6,1408,234,5,8,0.711433,0.7421939999999999,0.6461140000000001,0.667644,291212000,20481800
EOS,4,6,924,407,11,6,0.781782,0.781782,0.672324,0.7127020000000001,312268000,16200000
EOS,2,3,1426,580,7,7,1.05,1.27,0.758617,0.785862,345787000,74917400
EOS,3,10,5013,1805,56,13,1.12,1.27,0.9243239999999999,1.05,462451000,68358600
EOS,1,1,0,0,0,7,1.21,1.39,1.06,1.12,496753000,59247900
EOS,0,0,0,0,0,2,1.12,1.29,1.06,1.2,536628000,37546000
EOS,1,1,1,0,1,3,1.09,1.16,0.9853190000000001,1.11,498621000,32996400
