symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
ETH,4,7,917,146,15,40,222.24,236.22,214.48,230.89,21264800000,812924000
ETH,0,3,0,0,0,41,223.78,229.41,219.58,222.29,20479000000,469532000
ETH,0,3,0,0,0,23,224.38,225.97,219.42,223.46,20593500000,427896000
ETH,1,2,0,0,0,30,245.33,250.41,223.98,224.12,20659800000,753820000
ETH,4,4,242,18,3,41,248.46,249.47,243.05,245.26,22615800000,435660000
ETH,2,8,43,33,4,42,264.47,267.51,246.84,248.6,22930400000,741553000
ETH,0,3,296,36,2,44,258.07,264.67,254.04,264.26,24382200000,461649000
ETH,2,7,20,16,1,22,261.67,262.25,253.97,257.99,23810900000,385494000
ETH,3,4,0,0,0,28,281.74,282.76,261.75,261.75,24165000000,557986000
ETH,1,2,0,0,0,37,337.67,350.26,282.01,282.01,26043700000,1611630000
ETH,0,0,0,0,0,30,340.61,353.01,318.17,338.79,31296800000,1373220000
ETH,1,4,48,183,3,53,401.49,414.76,341.16,341.16,31525300000,2882650000
ETH,2,6,242,12,4,65,397.54,411.18,370.06,395.69,36574500000,1717380000
ETH,0,6,23,11,1,50,359.05,399.32,342.21,397.59,36761600000,1272580000
ETH,2,7,1280,527,2,45,361.93,364.44,300.7,358.51,33158200000,2463450000
ETH,4,8,2,2,2,31,370.23,373.06,341.42,361.18,33415800000,1096280000
ETH,2,8,0,0,0,32,379.41,379.41,364.0,369.88,34231300000,904653000
ETH,0,3,0,0,0,37,371.46,390.58,368.84,379.52,35133800000,904703000
ETH,2,6,0,0,0,28,370.06,377.12,369.76,371.86,34435700000,685172000
ETH,5,11,295,180,2,51,359.0,377.97,350.94,370.33,34304000000,1020390000
ETH,2,3,2649,2057,17,29,336.87,361.34,319.48,359.54,33310500000,1420130000
ETH,4,13,1226,609,8,38,336.37,342.03,330.62,337.73,31302600000,925767000
ETH,6,11,63,49,11,35,341.74,348.01,334.99,336.49,31195900000,593207000
ETH,0,3,0,0,0,37,323.7,343.62,322.09,341.63,31681300000,673585000
ETH,2,3,1,1,1,29,303.25,332.79,284.65,323.47,30005900000,1186880000
ETH,2,10,1785,1259,9,29,272.69,311.46,238.65,302.95,28111200000,2081810000
ETH,1,8,2501,2867,5,33,293.09,293.09,227.14,272.69,25309700000,1973870000
ETH,4,7,410,180,5,39,327.93,333.1,276.41,293.04,27207000000,2056550000
ETH,2,4,430,320,4,32,302.88,330.71,297.37,328.37,30495300000,1508580000
ETH,8,9,177,127,6,29,294.92,315.17,288.44,303.15,28161900000,1011800000
ETH,0,3,0,0,0,20,274.6,293.75,268.62,293.35,27259400000,1089200000
ETH,0,0,0,0,0,33,287.99,295.51,262.52,275.12,25572800000,1123330000
ETH,1,5,52,51,1,31,282.9,291.1,281.18,288.41,26815900000,851408000
ETH,3,10,114,214,2,29,273.3,287.39,273.11,282.19,26245000000,687691000
ETH,3,8,183,182,6,40,268.77,275.13,261.45,273.1,25406900000,790256000
ETH,2,3,655,529,2,37,270.55,278.48,265.51,268.86,25019500000,623080000
ETH,3,10,1,1,1,21,245.99,273.94,244.17,270.35,25160800000,687252000
ETH,0,2,0,0,0,29,251.7,273.48,236.55,245.89,22890700000,754958000
ETH,0,1,0,0,0,23,242.14,255.1,242.14,251.82,23454700000,505118000
ETH,4,8,392,287,2,38,215.36,243.07,196.97,243.01,22640500000,937219000
ETH,3,5,1637,2505483,6,20,197.4,220.29,183.39,211.53,19712300000,1440950000
ETH,1,7,0,0,0,22,230.77,230.77,189.59,197.15,18377600000,1241190000
ETH,3,7,0,0,0,18,209.73,231.81,200.06,231.81,21613900000,828489000
ETH,2,2,282,636,7,25,199.66,211.1,187.37,209.53,19541300000,749382000
ETH,2,6,0,0,0,18,170.66,200.16,170.66,199.71,18630200000,810452000
ETH,2,3,60,7,3,18,157.36,172.01,133.72,169.57,15823100000,1516890000
ETH,5,10,238,66,11,23,193.42,194.75,158.04,159.99,14932700000,1669500000
ETH,0,1,3,3,1,21,234.39,267.99,182.06,195.03,18207400000,2709260000
ETH,0,5,16,23,1,27,199.7,245.65,191.75,234.94,21939300000,2328790000
ETH,1,4,0,0,0,27,227.26,233.9,203.22,205.42,19187800000,2225000000
ETH,3,9,0,0,0,20,218.31,235.12,213.01,226.06,21121100000,1006130000
ETH,1,2,0,0,0,15,229.48,232.7,216.87,217.86,20360100000,618260000
ETH,1,3,0,0,0,26,225.95,231.68,217.72,229.12,21418300000,649615000
ETH,2,6,2,2,1,27,224.71,227.54,222.45,226.28,21158500000,431691000
ETH,4,4,70,2,3,27,206.71,225.32,195.84,224.37,20985200000,1095760000
ETH,2,7,2,2,2,33,203.95,210.77,194.78,207.09,19373400000,717692000
ETH,1,5,0,0,0,30,204.32,206.44,201.26,204.86,19169800000,393283000
ETH,0,2,416,84,1,18,193.12,204.9,192.3,204.32,19125100000,562571000
ETH,2,3,0,0,0,19,205.79,208.68,179.65,193.34,18101800000,824355000
ETH,1,2,0,0,0,18,197.98,208.54,196.15,206.74,19360900000,596234000
ETH,2,3,382,59,9,23,203.87,203.87,193.41,197.41,18492000000,569414000
ETH,1,2,13,0,1,17,226.77,227.74,204.69,204.69,19179100000,1585330000
ETH,1,3,0,0,0,30,219.95,229.51,218.12,227.01,21275200000,632606000
ETH,3,6,86,60,4,33,225.34,228.29,219.89,220.18,20640100000,557217000
ETH,4,6,30,38,4,21,223.07,227.62,222.06,225.31,21125600000,539783000
ETH,3,6,1,1,1,18,256.51,256.51,221.95,222.85,20900000000,1333000000
ETH,0,3,0,0,0,19,261.57,271.05,252.85,256.42,24053500000,1482980000
ETH,24,28,1210,564,31,24,269.18,271.96,256.69,261.24,24511000000,935727000
ETH,4,6,984,1175,11,29,296.77,298.91,266.8,269.1,25254600000,1502410000
ETH,4,12,18513,2003,2,22,296.03,318.72,276.69,297.63,27938700000,2638580000
ETH,3,6,0,0,0,13,295.89,306.59,289.93,296.96,27882200000,1076820000
ETH,3,6,681,234,6,19,308.86,309.21,294.5,294.5,27657000000,953576000
ETH,2,3,0,0,0,14,310.6,317.56,307.9,308.71,28998700000,1111650000
ETH,0,0,0,0,0,17,298.06,310.82,289.31,310.37,29161100000,1369370000
ETH,5,6,18414,1720,9,36,300.1,306.81,296.41,298.03,28008700000,864391000
ETH,1,3,935,214,4,27,289.82,300.41,279.33,299.95,28195800000,1051800000
ETH,4,8,798,462,6,29,302.27,303.41,285.38,289.82,27249700000,967643000
ETH,1,7,218,77,4,25,301.46,311.03,300.25,302.81,28477500000,909494000
ETH,5,10,1460,411,6,28,295.59,307.96,292.5,301.7,28380200000,936160000
ETH,4,5,0,0,0,23,297.47,301.67,286.18,296.18,27867900000,860202000
