symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
FCT,0,0,6,3,1,0,12.9,13.55,12.35,12.35,108120000,1360750
FCT,0,0,29,4,1,0,14.65,14.83,12.81,12.89,112837000,2337610
FCT,0,0,0,0,0,0,15.87,15.97,14.32,14.62,128006000,3661030
FCT,0,0,1,1,2,0,17.56,17.66,15.0,15.77,138067000,4783920
FCT,1,1,178,50,8,0,24.44,25.87,17.38,17.38,152100000,31647000
FCT,2,2,548,68,14,0,32.54,34.79,20.66,24.55,214914000,72220400
FCT,1,1,305,29,11,1,27.33,37.07,26.55,31.94,279559000,40988800
FCT,1,1,566,31,11,0,27.72,30.06,25.89,27.73,242704000,14435300
FCT,1,1,83,38,7,0,31.7,31.7,27.19,27.87,243953000,11330500
FCT,0,0,580,34,12,0,24.72,32.15,24.65,32.15,281410000,11449100
FCT,0,0,0,0,0,1,27.52,30.6,24.62,24.62,215493000,9682100
FCT,1,1,396,125,12,1,25.17,29.98,23.23,27.88,244021000,7083680
FCT,2,2,422,108,7,0,30.46,32.53,24.96,24.96,218494000,16705400
FCT,1,1,239,82,9,0,27.02,33.57,25.56,30.98,271174000,11141600
FCT,0,0,77,53,4,0,26.98,27.49,20.67,26.87,235224000,7891690
FCT,0,0,847,83,4,0,28.0,28.0,24.69,26.61,232935000,4836350
FCT,3,3,9854,2106,29,0,31.85,33.15,27.55,27.81,243459000,12702600
FCT,0,0,1,1,1,0,31.38,31.81,29.25,31.81,278410000,6077040
FCT,2,2,1308,63,15,0,33.45,36.35,31.37,31.42,275005000,17409300
FCT,0,0,22,58,4,0,32.65,36.22,31.09,33.56,293796000,9158100
FCT,0,0,49,20,5,0,29.46,34.2,28.1,32.71,286348000,7937990
FCT,1,1,191,87,1,0,32.25,32.27,28.05,29.71,260026000,5892960
FCT,0,0,1849,152,3,0,33.31,36.32,31.2,31.38,274717000,7239310
FCT,1,1,1655,126,8,0,31.09,34.58,30.58,33.31,291536000,3149050
FCT,0,0,0,0,0,0,28.03,31.54,24.58,31.29,273854000,7089170
FCT,1,1,6430,1835,10,0,25.35,29.53,21.71,27.69,242371000,8962600
FCT,4,4,253,106,8,1,26.15,26.19,21.22,25.35,221878000,5141850
FCT,2,2,1060,410,11,0,27.1,28.2,24.71,26.33,230476000,4795800
FCT,0,0,2912,947,7,0,25.2,27.94,24.82,26.98,236139000,3172030
FCT,0,0,156,28,5,1,23.52,25.93,23.43,25.09,219584000,2684430
FCT,0,0,395,58,1,0,21.48,24.34,20.77,23.7,207415000,2792890
FCT,0,0,0,0,0,0,23.85,24.58,20.55,21.65,189542000,3848540
FCT,0,0,523,162,3,0,23.64,24.31,22.37,23.76,207961000,2003880
FCT,0,1,0,0,0,0,24.77,26.62,23.52,23.52,205835000,3684920
FCT,0,0,2928,992,9,2,26.46,27.15,23.84,24.69,216108000,2865830
FCT,0,0,682,120,3,0,25.9,27.51,25.46,26.48,231810000,3343980
FCT,4,4,655,244,15,2,22.55,26.51,21.75,26.0,227577000,3083140
FCT,0,0,0,0,0,0,23.29,23.29,20.55,22.59,197702000,3125800
FCT,0,0,0,0,0,0,20.84,24.07,20.79,23.31,204043000,1903860
FCT,2,2,250,68,5,0,15.93,21.34,14.63,20.85,182475000,6049120
FCT,0,0,1666,543,10,0,14.68,16.94,12.25,15.3,133930000,8804620
FCT,1,1,2977,576,8,0,17.75,17.75,13.51,14.4,126030000,4514800
FCT,1,1,1340,289,5,1,16.85,18.64,14.67,18.58,162642000,4507770
FCT,0,0,2859,810,4,0,14.86,17.19,13.73,17.0,148788000,3703520
FCT,0,0,0,0,0,0,13.24,15.1,12.88,15.01,131361000,2364770
FCT,0,0,0,0,0,0,13.24,13.43,11.45,13.12,114844000,2342440
FCT,0,0,0,0,0,0,15.74,16.13,12.65,13.23,115764000,2834510
FCT,2,2,4534,1415,10,1,15.93,16.51,14.62,15.81,138372000,4628260
FCT,0,1,25653,3791,19,0,14.52,16.6,14.05,16.0,140019000,2406070
FCT,1,1,8785,964,12,0,15.8,17.12,14.45,14.45,126460000,4178390
FCT,3,3,7294,1069,26,0,17.0,17.66,15.99,15.99,139967000,2512080
FCT,0,0,0,0,0,0,21.29,22.82,16.93,17.06,149333000,6532530
FCT,0,0,0,0,0,1,22.68,23.61,19.59,21.45,187713000,5269690
FCT,2,2,18043,3465,25,1,22.75,23.37,21.26,22.5,196906000,3420740
FCT,3,3,27,10,2,0,18.68,23.07,17.83,22.81,199680000,5684980
FCT,2,2,10738,1490,10,1,18.31,19.31,17.48,18.67,163413000,1745280
FCT,1,1,55,14,6,0,17.69,18.91,17.14,18.49,161818000,1992980
FCT,3,3,224,69,9,1,17.69,18.46,16.66,17.77,155507000,3036260
FCT,0,0,1164,46,4,1,18.48,18.77,16.0,17.63,154276000,1974870
FCT,0,0,0,0,0,0,16.93,18.56,16.39,18.48,161778000,1934940
FCT,0,0,2145,109,2,0,15.73,17.22,15.65,16.94,148321000,2688140
FCT,0,0,16,16,1,0,19.13,20.12,16.07,16.25,142281000,4904440
FCT,0,0,2178,209,2,0,19.58,20.15,18.81,19.12,167394000,3347300
FCT,0,1,55,17,6,0,18.76,19.43,18.69,19.41,169940000,1740220
FCT,0,0,192,16,2,0,18.95,19.75,18.16,18.75,164084000,2416820
FCT,1,1,0,0,0,0,21.54,21.59,18.47,18.77,164305000,3033400
FCT,0,0,0,0,0,0,20.42,21.73,19.99,21.3,186407000,1627170
FCT,0,0,2145,109,1,0,21.33,21.33,19.14,20.36,178236000,3011810
FCT,0,0,155,61,6,0,20.77,21.26,19.93,21.04,184199000,2529660
FCT,0,0,101,19,7,0,20.7,21.2,19.46,20.76,181699000,2950020
FCT,0,0,17043,3726,2,0,19.42,21.03,19.42,20.81,182172000,2478460
FCT,3,3,349,21,3,1,19.36,20.7,18.87,19.51,170781000,4122470
FCT,1,1,6940,1444,2,1,19.72,19.93,18.73,19.45,170266000,4171490
FCT,0,0,0,0,0,1,17.15,19.77,16.17,19.77,173014000,7621270
FCT,0,0,0,0,0,0,17.31,18.21,16.47,17.15,150152000,4334200
FCT,0,0,176,12,2,0,17.62,18.94,16.58,17.33,151567000,4403210
FCT,0,0,8,10,1,0,19.35,19.42,16.92,17.63,154213000,3078360
FCT,1,1,12670,2442,4,0,19.95,20.79,18.51,19.4,169690000,3424580
FCT,1,1,9685,2888,3,0,21.71,24.83,19.14,19.99,174831000,12079700
FCT,0,0,13,10,1,0,20.91,25.5,20.91,21.74,190089000,12330700
FCT,0,0,0,0,0,0,22.7,23.51,20.2,20.8,181924000,4714330
FCT,0,0,0,0,0,0,24.06,26.08,22.42,22.42,196067000,9106090
FCT,2,2,400,82,9,0,23.73,24.54,21.87,24.28,212347000,4896740
FCT,2,2,308,393,6,0,23.87,25.03,22.9,23.68,207082000,3491500
FCT,1,1,130,164,1,0,27.27,27.67,23.66,24.04,210255000,5336720
FCT,2,2,247,82,7,0,28.65,30.35,26.99,26.99,236045000,8596460
FCT,0,0,0,0,0,0,31.94,32.51,27.49,28.59,249989000,5481720
FCT,0,0,0,0,0,0,28.87,31.67,28.5,31.67,276919000,4088800
FCT,0,0,0,0,0,0,30.74,31.95,28.8,28.89,252611000,4693520
FCT,1,1,0,0,0,0,29.48,32.2,29.48,30.79,269290000,5131350
FCT,1,1,352,152,4,0,30.3,30.77,28.12,29.54,258328000,4303180
FCT,2,2,11,6,3,0,29.65,30.3,28.65,30.3,264994000,3316700
FCT,1,1,172,58,2,0,32.69,32.69,29.43,29.72,259897000,2788860
FCT,0,0,0,0,0,0,27.2,33.38,25.99,32.78,286682000,4886380
FCT,0,0,0,0,0,2,27.64,29.55,25.93,27.25,238326000,2736900
FCT,0,0,0,0,0,0,24.3,27.7,21.81,27.65,241764000,3814510
FCT,0,0,12,8,3,0,25.3,26.85,21.71,24.47,213955000,3089900
FCT,0,0,0,0,0,0,26.46,28.13,25.3,25.31,221353000,1522070
FCT,1,1,130,20,2,0,27.98,28.36,25.68,26.41,230995000,2729340
FCT,1,1,12,12,3,0,26.27,30.05,23.33,27.83,243363000,6644870
FCT,1,1,141,31,1,0,25.07,26.58,24.22,26.49,231623000,1276300
FCT,0,0,0,0,0,0,23.51,25.01,21.68,25.0,218613000,2014510
FCT,0,0,0,0,0,0,23.37,24.63,22.77,23.56,206040000,1249790
FCT,2,2,29,345,5,1,22.1,24.56,21.99,23.4,204657000,1204890
FCT,0,0,0,0,0,0,20.37,22.22,18.49,22.14,193629000,2796610
FCT,0,0,0,0,0,1,15.15,21.14,15.15,20.45,178804000,2348240
FCT,0,0,0,0,0,0,18.05,18.46,12.62,15.12,132227000,3178720
FCT,0,0,0,0,0,0,17.89,19.4,16.41,18.14,158638000,1275190
FCT,0,0,0,0,0,1,17.35,17.9,15.61,17.9,156547000,912591
FCT,0,0,117,36,3,0,19.63,19.92,17.35,17.35,151750000,1526230
FCT,1,1,234,233,9,0,18.55,19.83,18.13,19.83,173446000,594451
FCT,0,0,0,0,0,0,17.49,18.98,17.49,18.58,162518000,884523
FCT,3,3,558,501,5,1,14.84,17.57,14.09,17.39,152109000,2096320
FCT,5,5,1720,1870,17,1,15.56,16.08,14.87,14.89,130213000,1151450
FCT,0,0,431,449,1,0,17.07,17.07,15.43,15.6,136404000,457919
FCT,0,0,0,0,0,0,16.53,17.51,16.16,17.09,149433000,496915
FCT,0,0,0,0,0,0,17.31,17.6,16.14,16.51,144396000,536718
FCT,0,0,0,0,0,0,17.6,17.96,17.14,17.31,151341000,2491610
FCT,0,0,78,87,4,0,19.81,20.13,17.49,17.6,153949000,3594630
