symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
LSK,0,0,226,154,6,3,1.36,1.36,1.18,1.2,129299000,2393340
LSK,0,0,846,643,7,1,1.39,1.43,1.25,1.36,146641000,2964900
LSK,0,1,0,0,0,1,1.35,1.42,1.29,1.37,147958000,3071640
LSK,0,0,1,1,1,4,1.41,1.43,1.3,1.34,144816000,2664770
LSK,0,0,1,3,2,2,1.82,1.84,1.41,1.41,151999000,8074300
LSK,0,0,449,298,16,2,2.09,2.23,1.67,1.78,191823000,20178400
LSK,2,5,16,7,5,5,2.26,3.26,2.07,2.07,223650000,61086200
LSK,3,4,7264,1149,27,7,3.12,3.19,2.21,2.29,247738000,26882100
LSK,2,4,598,260,16,5,3.81,3.87,2.93,3.18,343130000,34396000
LSK,0,0,90,111,1,5,3.58,4.5,3.53,3.82,413384000,49281100
LSK,0,0,224,48,1,5,3.91,4.06,3.04,3.75,405173000,24804300
LSK,1,1,1189,610,9,1,3.29,3.92,2.96,3.91,422959000,16403700
LSK,0,2,1,1,1,5,3.66,3.84,3.16,3.28,355386000,14573900
LSK,5,6,861,415,16,1,3.35,3.75,3.0,3.66,396643000,10046400
LSK,1,2,34,21,2,2,3.09,3.35,2.44,3.35,362704000,11800200
LSK,1,3,279,97,11,3,3.11,3.25,3.0,3.06,331747000,6221340
LSK,0,0,22,6,1,2,3.08,3.21,2.97,3.09,335214000,9943670
LSK,0,1,376,289,1,2,3.13,3.28,2.97,3.08,333469000,9517270
LSK,1,2,259,46,5,5,3.16,3.32,3.08,3.14,340570000,10300700
LSK,0,0,15230,5522,2,3,3.28,3.56,3.11,3.14,341021000,14951100
LSK,1,3,772,139,13,4,3.12,3.35,3.04,3.26,353766000,7510400
LSK,2,2,1696,953,13,1,3.14,3.25,3.04,3.12,338699000,6135490
LSK,0,1,101,88,5,1,3.36,3.38,3.07,3.16,343786000,6877380
LSK,1,1,0,0,0,0,3.26,3.5,3.2,3.35,364369000,6670220
LSK,1,2,335,204,1,3,3.04,3.32,2.8,3.26,354212000,8092880
LSK,4,10,3131,1093,18,2,2.8,3.1,2.33,3.02,328042000,9997920
LSK,2,2,155,343,14,3,2.74,2.8,2.15,2.8,304949000,8630910
LSK,0,0,284,135,11,2,2.92,2.99,2.53,2.79,303893000,9012530
LSK,0,0,0,0,0,2,2.71,2.94,2.61,2.92,318025000,6162700
LSK,1,1,190,3163,6,2,2.53,2.9,2.51,2.71,295518000,7804690
LSK,0,0,22,11,1,2,2.3,2.56,2.29,2.55,277508000,4565360
LSK,0,0,0,0,0,0,2.57,2.65,2.19,2.31,251723000,6773080
LSK,5,10,11954,2028,33,1,2.47,2.59,2.41,2.56,279704000,4287060
LSK,2,4,227,364,5,0,2.53,2.67,2.47,2.47,269301000,4603820
LSK,1,2,4850,974,12,3,2.48,2.52,2.42,2.52,275228000,4083530
LSK,1,2,49820,44260,128,2,2.52,2.83,2.45,2.48,271300000,6896780
LSK,0,0,729,159,8,0,2.28,2.52,2.24,2.52,274813000,5737670
LSK,0,1,971,680,3,0,2.22,2.28,2.05,2.28,249154000,5860860
LSK,0,0,0,0,0,1,2.07,2.29,2.07,2.23,243720000,3709150
LSK,1,1,697,260,17,0,1.63,2.08,1.35,2.07,226246000,6204310
LSK,3,6,774,15072,28,3,1.45,1.64,1.35,1.61,176205000,4070870
LSK,2,2,5790,8979,17,3,1.76,1.81,1.34,1.45,158441000,4100590
LSK,0,0,3921,10231,21,2,1.77,1.98,1.68,1.75,191979000,4038250
LSK,0,2,732,1341,17,4,1.56,1.77,1.46,1.77,193898000,2938930
LSK,0,0,337,166,3,1,1.4,1.57,1.4,1.56,171236000,2383600
LSK,0,0,707,336,7,3,1.4,1.45,1.18,1.4,153762000,2419470
LSK,0,1,5225,5825,11,3,1.76,1.82,1.38,1.41,154217000,3262690
LSK,0,1,2657,4019,2,0,1.79,1.81,1.55,1.77,194615000,3885070
LSK,1,1,1926,6045,10,3,1.64,1.89,1.63,1.8,197036000,3404630
LSK,0,2,61,105,5,5,1.95,2.02,1.63,1.63,179435000,4647480
LSK,1,1,2620,2281,11,2,1.89,2.03,1.8,1.97,216349000,3640090
LSK,0,0,392,133,4,1,2.28,2.29,1.88,1.89,207673000,4316950
LSK,0,0,424,59,4,1,2.11,2.27,1.94,2.27,249565000,4576990
LSK,0,0,1248,303,5,1,2.22,2.29,2.04,2.11,232472000,4449690
LSK,0,1,2630,905,9,1,2.04,2.48,1.87,2.22,244539000,8964080
LSK,1,3,18561,20031,10,2,1.96,2.11,1.87,2.04,224534000,2562130
LSK,2,3,12987,13056,8,1,1.96,2.02,1.91,1.95,214880000,2402090
LSK,0,1,1444,815,6,2,1.84,2.0,1.8,1.96,216377000,3334170
LSK,0,0,0,0,0,1,1.87,1.88,1.76,1.83,201880000,2201150
LSK,0,0,7544,6892,4,1,1.79,1.89,1.77,1.88,206800000,1464650
LSK,0,1,8968,7179,7,0,1.93,1.94,1.75,1.79,197460000,1577570
LSK,1,2,0,0,0,0,2.05,2.09,1.78,1.93,212412000,2570410
LSK,0,0,0,0,0,2,2.07,2.25,2.02,2.06,227052000,3877300
LSK,0,1,110,41,5,1,2.08,2.12,2.02,2.07,228412000,3850270
LSK,1,4,337,55,10,1,2.08,2.12,2.04,2.08,230212000,3130930
LSK,0,0,0,0,0,1,2.18,2.22,2.06,2.09,230484000,4122620
LSK,0,0,0,0,0,1,2.16,2.23,2.12,2.18,241330000,3047020
LSK,2,5,4677,1764,15,0,2.14,2.2,2.11,2.15,237380000,2849090
LSK,3,6,16198,6307,35,1,2.36,2.38,2.05,2.13,235963000,5271700
LSK,2,6,5007,2296,15,1,2.28,2.46,2.17,2.36,260632000,4068390
LSK,0,0,112,300,5,3,2.18,2.3,2.16,2.28,252942000,3331010
LSK,2,7,1403,1376,8,1,2.19,2.3,2.12,2.18,241148000,3014740
LSK,0,0,0,0,0,1,2.34,2.34,2.11,2.2,244160000,3115110
LSK,0,0,0,0,0,2,2.24,2.4,2.06,2.33,258204000,5540350
LSK,2,4,2341,1256,17,2,2.28,2.39,2.08,2.24,248858000,6927410
LSK,2,2,857,182,7,1,2.17,2.28,2.07,2.28,253094000,7013170
LSK,1,4,7342,2191,11,2,2.24,2.25,2.11,2.17,240927000,5825960
LSK,3,5,659,179,9,0,2.08,2.24,2.05,2.23,247723000,4849940
LSK,3,6,101,85,5,1,2.01,2.11,1.97,2.08,230573000,4453010
LSK,0,1,0,0,0,2,2.85,2.88,1.91,2.01,223846000,7596650
LSK,0,1,0,0,0,9,3.4,3.98,2.47,2.96,329010000,47982900
LSK,0,0,151,139,4,5,2.71,3.48,2.63,3.44,382390000,29155700
