symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
LTC,0,0,2377,2519,38,3,28.8,29.62,25.3,25.34,1301540000,420473000
LTC,0,0,801,451,7,7,28.94,29.89,27.74,28.9,1484470000,332251000
LTC,1,1,14,15,3,3,27.66,29.17,26.63,29.04,1492070000,290556000
LTC,0,1,23,25,2,3,27.94,27.94,26.95,27.65,1421270000,204435000
LTC,0,0,964,695,39,5,30.84,30.99,28.09,28.09,1444260000,366901000
LTC,0,0,895,796,25,5,30.55,31.33,29.26,30.84,1586150000,321099000
LTC,0,0,770,539,20,1,28.39,30.68,28.37,30.57,1572550000,264597000
LTC,0,1,323,223,15,4,30.21,30.34,27.88,28.38,1460360000,229005000
LTC,0,0,161,120,13,3,29.68,30.59,29.62,30.19,1553630000,176841000
LTC,0,0,2854,2306,4,2,30.44,30.59,29.66,29.68,1528070000,202679000
LTC,0,2,19,57,7,4,33.22,33.56,30.16,30.5,1570430000,406218000
LTC,0,0,308,308,15,3,29.5,33.23,27.8,33.23,1711460000,372663000
LTC,0,0,1626,1232,7,3,30.64,30.64,29.33,29.49,1519410000,150455000
LTC,0,1,710,454,14,3,30.22,32.06,29.32,30.74,1584220000,278323000
LTC,0,0,247,127,6,4,30.22,30.37,27.31,30.22,1557670000,314502000
LTC,0,0,20,6,5,9,35.7,35.7,29.55,30.28,1561380000,515973000
LTC,0,0,8,2,1,4,47.65,49.3,36.18,36.18,1866370000,1730780000
LTC,0,0,214,107,5,3,46.04,47.44,42.43,47.44,2447790000,1016220000
LTC,0,0,105,2,3,10,50.32,53.55,44.99,46.16,2382490000,1342360000
LTC,0,0,22,18,3,2,47.22,51.47,45.75,50.41,2602590000,612935000
LTC,0,0,130,56,5,6,47.79,49.73,44.22,47.3,2442610000,640054000
LTC,0,1,501,423,26,5,47.71,48.85,45.87,47.72,2465100000,445323000
LTC,0,0,9,2,3,4,47.34,48.42,47.27,47.75,2467280000,284270000
LTC,0,0,194,76,8,3,44.49,47.44,44.01,47.25,2442000000,321214000
LTC,0,0,69,9,2,5,43.92,46.22,43.05,44.49,2300180000,354372000
LTC,1,1,664,175,10,3,41.13,44.35,37.55,44.04,2277350000,538072000
LTC,0,0,1579,602,26,5,40.54,41.39,36.2,41.13,2127600000,565265000
LTC,1,1,641,192,9,8,42.85,43.61,39.18,40.82,2111870000,353444000
LTC,0,0,1592,1091,20,4,41.07,42.83,40.35,42.83,2216710000,300131000
LTC,0,1,142,225,3,3,40.35,41.75,40.17,41.04,2124870000,251184000
LTC,0,0,0,0,0,2,38.99,40.58,38.47,40.4,2092370000,225507000
LTC,0,0,69,51,3,0,41.57,43.27,37.8,38.95,2017570000,315630000
LTC,0,1,133,95,4,3,46.43,48.4,40.97,41.48,2149160000,729938000
LTC,0,1,176,114,5,3,55.33,55.42,46.56,46.56,2413260000,1101750000
LTC,0,0,14,11,4,4,53.19,56.03,50.6,55.27,2865630000,790609000
LTC,1,2,967,679,6,5,51.13,53.2,50.12,53.2,2758680000,461149000
LTC,0,0,247,57,14,7,46.58,51.14,45.63,51.1,2650900000,553712000
LTC,2,3,55,63,14,3,52.14,52.75,44.67,46.64,2420160000,604987000
LTC,0,4,1,1,1,3,49.58,53.31,49.53,52.36,2717950000,409244000
LTC,0,2,112,18,3,3,46.58,50.53,44.74,49.91,2591230000,373253000
LTC,1,3,1003,494,16,1,45.33,47.39,43.65,46.27,2403210000,400045000
LTC,0,1,85,82,7,4,48.75,49.07,44.07,45.26,2350960000,369964000
LTC,1,2,99,104,9,4,46.33,49.05,45.39,48.72,2531820000,229105000
LTC,0,0,88,69,6,2,42.8,46.48,40.8,46.36,2409670000,320419000
LTC,0,0,738,743,28,4,38.92,42.81,37.78,42.81,2225560000,327332000
