symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
NEO,0,0,0,0,0,4,1.24,1.3,1.01,1.03,51383000,8061920
NEO,0,0,0,0,0,5,1.35,1.4,1.18,1.25,62290500,7157890
NEO,0,0,0,0,0,1,1.26,1.36,1.15,1.36,68122000,4049740
NEO,0,0,0,0,0,1,1.26,1.32,1.22,1.25,62425500,2572220
NEO,0,0,0,0,0,2,1.28,1.35,1.25,1.27,63267500,3876920
NEO,0,0,0,0,0,1,1.34,1.37,1.2,1.28,63757000,5234170
NEO,0,0,0,0,0,2,1.28,1.36,1.27,1.34,66929500,2994510
NEO,0,0,0,0,0,2,1.36,1.36,1.19,1.27,63677000,7118290
NEO,0,0,0,0,0,3,1.55,1.59,1.33,1.36,67874000,9728020
NEO,0,0,0,0,0,1,1.68,2.07,1.53,1.54,77129000,17295300
NEO,0,0,0,0,0,1,1.67,1.73,1.52,1.69,84426000,6479410
NEO,0,0,0,0,0,1,1.51,1.69,1.4,1.67,83716000,7492490
NEO,0,0,0,0,0,4,1.81,1.86,1.5,1.5,75221500,10456500
NEO,0,0,0,0,0,2,1.74,1.94,1.68,1.81,90657000,10497200
NEO,0,0,0,0,0,2,1.78,1.84,1.54,1.74,86947000,9550940
NEO,0,0,0,0,0,3,2.77,2.81,1.72,1.8,90202000,45782200
NEO,0,0,0,0,0,5,3.76,4.18,2.7,2.8,139894000,82601000
NEO,0,0,0,0,0,7,5.26,5.26,3.47,3.79,189717000,61381000
NEO,0,0,0,0,0,13,11.72,11.81,5.46,5.46,273011000,281341000
NEO,0,0,0,0,0,11,8.0,11.79,7.87,11.79,589390000,126661000
NEO,0,0,0,0,0,17,10.15,10.21,7.81,8.04,401956000,88374400
NEO,0,0,0,0,0,28,6.94,10.51,6.9,10.16,507921000,115249000
NEO,0,0,0,0,0,3,6.84,7.43,5.78,6.92,346025000,67033300
NEO,0,1,0,0,0,6,6.3,7.11,6.25,6.87,343738000,33359500
NEO,0,0,0,0,0,2,5.95,6.46,5.66,6.29,314543000,24890900
NEO,0,0,0,0,0,3,5.53,6.22,4.42,5.95,297587000,27615900
NEO,0,0,0,0,0,7,6.83,7.26,5.09,5.35,267538000,71029700
NEO,0,0,0,0,0,5,8.38,8.69,6.49,6.96,347826000,72982300
NEO,0,0,0,0,0,8,9.77,10.07,7.91,8.34,416970000,77050000
NEO,0,1,0,0,0,6,8.73,10.0,8.6,9.72,485988000,43355500
NEO,0,1,0,0,0,4,7.95,9.24,7.74,8.77,438293000,33128400
NEO,0,0,0,0,0,4,8.1,8.51,6.75,7.96,397988000,47478700
NEO,0,0,0,0,0,4,8.22,8.48,7.52,8.06,402786000,28820400
NEO,0,0,0,0,0,0,7.78,8.49,7.77,8.22,410831000,15781600
NEO,0,0,0,0,0,7,8.03,8.66,7.23,7.77,388453000,29368100
NEO,0,0,0,0,0,2,7.84,8.34,7.69,7.98,399093000,17932500
NEO,0,0,0,0,0,2,6.77,7.89,6.74,7.83,391569000,16409500
NEO,0,0,0,0,0,0,7.45,7.63,5.91,6.79,339382000,24138500
NEO,0,0,0,0,0,2,6.9,7.62,6.87,7.4,370072000,10422500
NEO,0,0,0,0,0,1,6.03,6.96,5.58,6.91,345719000,11395300
NEO,0,0,0,0,0,1,5.4,6.11,4.83,5.93,296309000,20182900
NEO,2,2,4670,4094,1,4,6.63,6.69,5.07,5.31,265564000,23337300
NEO,0,0,0,0,0,6,6.29,6.95,5.91,6.68,334240000,17824000
NEO,0,0,1128,0,1,5,5.54,6.29,5.42,6.27,313433000,12351000
NEO,1,2,0,0,0,8,5.03,5.55,4.98,5.55,277400000,11294200
NEO,0,0,0,0,0,5,5.04,5.27,4.83,5.03,251399000,9498420
NEO,1,1,14,0,1,6,5.77,5.85,5.03,5.06,253054000,15013000
NEO,0,1,0,0,0,2,6.02,6.29,5.51,5.77,288470000,18101700
NEO,0,0,10,2,2,1,5.88,6.23,5.65,6.04,301935000,14255500
NEO,0,0,132,29,3,2,7.21,7.47,5.89,5.89,294317000,25476100
NEO,0,0,0,0,0,2,7.42,7.97,7.03,7.24,361826000,21298000
NEO,0,4,0,0,0,5,8.62,9.12,7.31,7.39,369727000,32890800
NEO,0,0,0,0,0,5,8.57,8.93,7.76,8.64,431881000,29915100
NEO,1,1,0,0,0,3,8.46,8.81,8.19,8.61,430471000,21283700
NEO,1,1,20,1,1,6,7.35,8.48,6.88,8.48,423876000,19480400
NEO,0,1,723,78,1,3,7.17,7.59,6.58,7.33,366562000,16765600
NEO,0,0,0,0,0,6,7.72,7.94,7.13,7.22,360772000,15251100
NEO,1,1,0,0,0,4,7.09,7.88,6.93,7.75,387410000,15725800
NEO,0,1,0,0,0,2,7.26,7.46,6.76,7.09,354258000,10518400
NEO,0,0,0,0,0,0,7.15,7.3,6.94,7.27,363345000,9006030
NEO,0,0,0,0,0,1,7.33,7.43,7.02,7.16,358222000,10856600
NEO,1,1,0,0,0,0,7.86,8.2,6.96,7.36,368123000,18527900
NEO,0,0,0,0,0,4,8.11,8.3,7.71,7.85,392732000,17559000
NEO,0,0,0,0,0,5,10.67,10.7,8.06,8.19,409434000,49848800
NEO,0,0,0,0,0,6,10.43,11.22,9.97,10.84,541832000,56285500
NEO,0,0,0,0,0,4,14.02,14.95,10.24,10.39,519506000,82680400
NEO,0,0,0,0,0,3,15.21,16.19,13.42,14.17,708471000,81450800
NEO,1,2,59,0,1,4,18.68,20.24,14.36,15.2,759959000,166514000
NEO,1,1,0,0,0,7,18.27,19.34,15.59,18.73,936705000,124589000
NEO,1,1,0,0,0,10,21.75,21.94,17.46,18.34,917009000,116795000
NEO,0,1,0,0,0,11,36.18,38.44,21.36,21.68,1084180000,360125000
NEO,0,0,141,0,1,15,33.5,39.13,27.58,36.32,1815780000,382070000
NEO,0,2,0,0,0,8,36.61,37.37,30.45,33.16,1657810000,177772000
NEO,0,2,72,52,1,16,46.65,52.63,35.32,36.86,1843040000,448654000
NEO,0,1,25,3,1,18,47.43,52.02,44.79,47.63,2381360000,343705000
NEO,1,2,92,91,4,10,47.49,47.99,39.52,47.5,2375010000,262801000
NEO,1,1,0,0,0,11,45.54,51.24,44.69,46.98,2349050000,170273000
NEO,0,0,1492,192,3,8,40.69,46.34,38.91,45.72,2286130000,191410000
NEO,0,0,0,0,0,14,38.85,41.16,31.32,40.85,2042450000,209845000
NEO,0,0,0,0,0,11,39.97,42.22,35.4,38.86,1943180000,168358000
NEO,1,2,559,75,3,4,38.19,40.65,38.16,39.63,1981640000,85862200
NEO,0,2,0,0,0,4,35.3,38.28,34.15,38.04,1902060000,85955000
NEO,0,1,0,0,0,5,35.85,36.17,31.6,35.16,1758180000,68265300
NEO,0,1,102,7,2,6,40.0,44.03,35.25,35.83,1791670000,131763000
NEO,0,1,0,0,0,5,42.05,42.13,39.31,39.92,1996230000,63875500
NEO,1,2,0,0,0,5,40.3,42.26,39.78,41.96,2098230000,47772200
NEO,0,0,0,0,0,6,38.59,40.52,37.7,40.31,2015360000,41017800
NEO,0,0,0,0,0,7,40.09,41.23,37.42,38.58,1928770000,50649600
NEO,0,0,56,15,2,1,38.45,40.31,37.38,40.23,2011600000,41401000
NEO,0,1,0,0,0,4,33.66,38.46,30.69,38.46,1922840000,168534000
NEO,0,1,787,1067,1,7,33.1,35.84,29.71,33.48,1673910000,97289600
NEO,0,0,0,0,0,7,33.16,35.09,32.6,32.93,1646720000,49957300
NEO,0,0,0,0,0,2,32.01,33.57,28.87,33.17,1658680000,75418900
NEO,0,0,0,0,0,6,31.72,34.81,28.55,31.69,1584390000,92722600
NEO,0,0,0,0,0,4,30.32,32.65,28.58,31.77,1588690000,43232300
NEO,0,0,13,18,2,3,21.83,30.44,17.4,30.44,1522090000,189917000
NEO,0,1,0,0,0,4,22.8,23.85,18.93,21.88,1093860000,91402300
NEO,0,1,16,8,1,2,21.36,24.32,20.3,22.97,1148320000,77746300
NEO,0,0,0,0,0,4,30.78,33.55,20.54,21.3,1065110000,214001000
NEO,0,0,0,0,0,8,24.86,30.59,22.41,30.59,1529630000,112252000
NEO,1,1,0,0,0,1,21.96,24.63,21.55,24.63,1231580000,47199500
NEO,0,0,0,0,0,4,22.75,23.64,19.37,21.76,1088180000,54002500
NEO,0,0,1113,29,1,6,21.88,23.97,21.7,22.68,1133790000,27835300
NEO,0,0,227,29,2,4,20.97,23.6,19.86,21.87,1093590000,40702300
NEO,0,1,0,0,0,6,20.06,21.29,17.8,20.83,1041450000,37258400
NEO,0,0,0,0,0,1,15.69,20.75,14.95,20.08,1004180000,42221500
NEO,0,0,0,0,0,5,18.74,19.12,13.32,15.81,790612000,50811700
NEO,0,0,0,0,0,1,20.76,22.98,18.5,18.75,937288000,50210000
NEO,0,0,0,0,0,1,19.86,20.64,18.36,20.64,1031920000,18695100
NEO,0,0,0,0,0,4,21.22,21.38,19.54,19.91,995579000,27647600
NEO,0,0,0,0,0,7,19.94,21.71,19.04,20.99,1049420000,30451900
NEO,0,0,43,11,4,3,19.75,20.47,19.69,19.9,995012000,14058200
NEO,0,0,0,0,0,0,17.45,19.82,16.75,19.65,982515000,21587400
NEO,0,1,0,0,0,3,18.69,19.32,16.98,17.39,869657000,22480200
NEO,0,0,0,0,0,5,20.18,20.59,18.3,18.58,929086000,17216800
NEO,0,0,0,0,0,6,19.79,20.43,19.28,20.17,1008660000,11967200
NEO,0,1,0,0,0,5,26.02,27.08,19.8,19.8,989892000,81225500
NEO,0,0,0,0,0,9,26.38,27.3,24.46,26.12,1305990000,65868600
NEO,0,1,0,0,0,1,31.79,34.03,26.32,26.32,1316040000,163163000
NEO,1,2,0,0,0,3,29.76,32.69,27.68,31.78,1589170000,101195000
NEO,0,0,0,0,0,5,28.64,30.41,26.13,30.25,1512530000,72558300
NEO,0,0,0,0,0,2,34.21,34.24,28.45,28.59,1429500000,82181600
NEO,0,0,0,0,0,2,35.72,35.83,31.82,34.12,1705880000,72169500
NEO,0,1,0,0,0,6,36.74,39.01,34.9,35.7,1785160000,116098000
NEO,1,1,0,0,0,2,33.61,36.79,32.01,36.65,1832530000,74199600
NEO,1,1,0,0,0,3,31.16,35.03,30.09,33.79,1689390000,60565900
NEO,0,0,0,0,0,1,32.28,33.31,28.98,31.21,1560680000,66785000
NEO,1,1,39,65,3,1,33.52,34.32,32.23,32.5,1625060000,47267100
NEO,1,1,0,0,0,2,36.14,36.15,33.3,33.54,1677000000,48058800
NEO,0,0,27,6,1,1,32.07,37.23,31.01,35.64,1781810000,107725000
NEO,2,3,0,0,0,1,29.1,32.79,26.78,32.04,1601800000,98290300
NEO,1,1,0,0,0,2,29.31,31.2,28.07,29.15,1457270000,48223600
NEO,1,1,14,4,3,3,29.96,31.23,29.3,29.3,1464940000,33627700
NEO,0,0,25,6,1,4,28.18,30.36,27.61,30.01,1500520000,61080400
NEO,0,0,0,0,0,3,29.35,29.87,26.45,27.85,1392660000,81365000
NEO,0,0,0,0,0,8,27.8,29.45,27.65,29.32,1465980000,33551100
NEO,0,0,0,0,0,2,27.73,28.47,26.91,27.65,1382450000,31189200
NEO,0,0,0,0,0,4,28.53,29.07,26.96,27.76,1388080000,34713200
NEO,1,1,0,0,0,3,31.4,32.55,27.81,28.5,1425090000,74210000
NEO,0,0,0,0,0,5,29.67,31.78,28.44,31.66,1583190000,49659700
NEO,0,0,0,0,0,4,28.66,29.96,28.48,29.66,1482970000,30401400
NEO,0,1,0,0,0,3,27.75,29.5,27.73,28.68,1433880000,36933700
NEO,0,0,0,0,0,1,27.13,28.28,26.04,27.76,1387840000,34058900
NEO,1,2,0,0,0,2,28.79,29.48,27.1,27.15,1357500000,36184100
NEO,0,1,6,0,1,3,27.51,28.65,26.43,28.49,1424610000,28154800
NEO,2,3,0,0,0,3,30.15,32.72,26.73,27.34,1367240000,78225600
NEO,0,0,151,38,2,5,28.54,30.11,28.54,30.11,1505590000,35558400
NEO,0,0,0,0,0,1,28.33,29.39,28.06,28.48,1423950000,35987900
NEO,1,1,356,3,1,2,28.76,28.88,28.1,28.33,1416350000,28919000
NEO,1,1,0,0,0,1,27.35,28.99,27.17,28.86,1443000000,25368200
NEO,2,3,0,0,0,1,27.76,28.61,27.2,27.2,1360230000,29736500
NEO,0,0,0,0,0,3,28.79,29.49,27.71,27.72,1801620000,30968500
NEO,0,0,0,0,0,3,28.47,30.44,28.47,28.69,1864890000,61688400
NEO,0,0,0,0,0,1,26.86,28.44,26.68,28.38,1844740000,49782800
NEO,0,0,5,5,2,4,24.5,26.75,22.89,26.75,1738720000,74455200
NEO,0,1,2,2,1,2,26.82,26.9,24.39,24.6,1598960000,40142100
NEO,0,0,0,0,0,1,26.49,27.74,25.94,26.77,1739980000,31870600
NEO,0,0,0,0,0,1,26.38,26.72,25.79,26.48,1721090000,25229700
NEO,0,0,0,0,0,1,26.32,26.81,25.95,26.47,1720760000,26798400
NEO,0,0,0,0,0,3,26.23,26.52,25.62,26.26,1706600000,40146900
NEO,1,3,0,0,0,14,30.67,33.81,26.02,26.17,1700950000,120273000
NEO,1,1,0,0,0,9,31.9,33.02,30.58,30.76,1999530000,79919300
NEO,0,0,0,0,0,3,28.18,32.44,26.74,31.97,2078110000,57756900
NEO,0,0,0,0,0,9,28.53,29.93,27.4,28.15,1829610000,45994100
NEO,0,1,0,0,0,4,26.96,28.45,25.31,28.44,1848580000,63588200
NEO,0,0,0,0,0,7,28.4,28.97,26.59,27.12,1762620000,41299400
NEO,0,2,0,0,0,9,29.73,29.96,28.1,28.4,1845750000,39436300
NEO,0,1,0,0,0,4,29.35,30.59,28.26,29.79,1936170000,45103700
NEO,0,1,0,0,0,2,28.7,29.93,28.48,29.45,1913970000,40895700
NEO,1,1,0,0,0,10,40.5,41.08,28.36,28.71,1866360000,252834000
NEO,0,0,0,0,0,21,42.74,48.09,36.28,39.74,2583010000,434827000
NEO,0,0,0,0,0,14,39.75,45.45,36.66,43.01,2795440000,273035000
NEO,0,0,0,0,0,21,35.64,43.14,35.64,39.94,2596080000,243906000
NEO,0,1,0,0,0,13,34.36,37.16,33.38,36.21,2353570000,133333000
NEO,1,1,157,54,1,5,35.86,36.98,34.45,34.45,2239040000,82378800
NEO,1,7,103,132,4,0,34.9,36.29,34.5,35.83,2329200000,68917800
NEO,0,1,1,1,1,9,34.79,35.7,33.46,34.89,2267940000,68977700
NEO,0,0,0,0,0,4,38.13,39.86,34.6,34.83,2263690000,125113000
NEO,0,1,0,0,0,3,38.44,39.2,37.49,38.04,2472680000,61597700
NEO,0,0,0,0,0,13,40.13,41.91,38.32,38.32,2491020000,83345900
