symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
OMG,0,0,0,0,0,0,0.58248,0.775406,0.500232,0.5347310000000001,-,750698
OMG,0,0,0,0,0,0,0.43335100000000004,0.6521560000000001,0.43335100000000004,0.586446,-,1552730
OMG,0,0,0,0,0,0,0.38490599999999997,0.494342,0.319695,0.43108100000000005,42380400,1743630
OMG,0,0,0,0,0,1,0.5827859999999999,0.598633,0.379345,0.381684,37524100,4273090
OMG,0,0,0,0,0,0,0.7598189999999999,0.894874,0.565539,0.574224,56453100,8394650
OMG,4,4,269,23,10,1,0.583911,0.797288,0.568905,0.7592899999999999,74647300,4236020
OMG,0,0,0,0,0,0,0.659447,0.7176319999999999,0.596119,0.596119,58605700,3376440
OMG,0,0,0,0,0,1,0.7530319999999999,0.786582,0.632858,0.669754,65844800,2140420
OMG,0,0,0,0,0,0,0.878662,0.886832,0.739422,0.742038,72951200,3596130
OMG,0,0,0,0,0,0,1.53,1.59,0.8507540000000001,0.878973,86413600,15198100
OMG,0,0,0,0,0,0,1.52,1.61,1.31,1.51,148581000,12526000
OMG,0,0,0,0,0,0,1.23,1.55,1.12,1.53,150667000,8132390
OMG,0,0,0,0,0,0,1.21,1.29,1.1,1.23,121110000,4740910
OMG,0,0,0,0,0,1,1.38,1.41,1.2,1.21,118718000,5379280
OMG,0,0,0,0,0,1,1.19,1.39,1.12,1.38,135475000,5438700
OMG,0,0,0,0,0,0,1.28,1.29,1.11,1.19,116968000,2651230
OMG,0,0,0,0,0,0,1.21,1.31,1.19,1.27,124645000,1749290
OMG,0,0,0,0,0,0,1.23,1.26,1.17,1.2,118309000,2153100
OMG,0,0,0,0,0,0,1.33,1.37,1.18,1.22,120415000,4360060
OMG,0,0,0,0,0,0,1.38,1.39,1.29,1.34,131707000,3708080
OMG,0,0,0,0,0,1,1.96,2.03,1.37,1.38,135528000,18348800
OMG,0,0,0,0,0,1,2.76,2.79,1.94,1.95,192003000,44051500
OMG,0,0,0,0,0,0,3.61,3.73,2.74,2.79,274109000,95593700
OMG,0,0,0,0,0,1,2.75,3.62,2.59,3.62,356183000,39669900
OMG,0,0,0,0,0,2,3.15,3.25,2.63,2.7,265138000,34417900
OMG,0,0,0,0,0,1,3.61,3.76,3.07,3.15,309766000,49778700
OMG,0,0,0,0,0,0,3.45,3.68,3.26,3.62,355440000,24783900
