symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
PIVX,0,0,376,377,1,0,1.68,1.73,1.49,1.53,81979300,1015590
PIVX,0,0,0,0,0,0,1.64,1.73,1.6,1.69,90284900,973967
PIVX,1,1,6,6,2,0,1.64,1.76,1.49,1.65,88338700,1297030
PIVX,0,0,0,0,0,0,1.62,1.7,1.49,1.63,87404800,958906
PIVX,0,0,0,0,0,0,1.55,1.64,1.51,1.64,87591400,1415360
PIVX,0,0,0,0,0,0,1.48,1.68,1.44,1.55,83020700,1150270
PIVX,0,0,0,0,0,0,1.53,1.78,1.48,1.48,79331300,1291380
PIVX,0,0,0,0,0,0,1.61,1.7,1.52,1.54,82708500,742229
PIVX,3,3,55,28,2,0,1.63,1.73,1.51,1.62,86576600,1052730
PIVX,0,0,9,0,1,0,1.51,1.66,1.51,1.63,87353800,806869
PIVX,0,0,0,0,0,0,1.68,1.75,1.49,1.51,80699400,779509
PIVX,0,1,0,0,0,0,1.42,1.7,1.36,1.68,90002600,618989
PIVX,0,1,0,0,0,1,1.52,1.67,1.4,1.41,75370600,810037
PIVX,0,0,0,0,0,0,1.39,1.6,1.32,1.52,81564800,472004
PIVX,0,0,0,0,0,0,1.43,1.43,1.23,1.39,74745700,452954
PIVX,0,0,0,0,0,0,1.72,1.77,1.35,1.43,76836300,1217220
PIVX,0,0,0,0,0,1,1.65,1.74,1.6,1.72,92064300,581214
PIVX,0,0,0,0,0,2,1.75,1.75,1.55,1.66,89146200,460349
PIVX,0,1,0,0,0,1,1.78,1.9,1.63,1.75,93807500,1171960
PIVX,0,0,0,0,0,0,1.74,1.83,1.62,1.78,95662300,637379
PIVX,0,0,0,0,0,1,1.66,1.79,1.55,1.74,93572300,481711
PIVX,0,0,0,0,0,0,1.68,1.75,1.65,1.66,89122800,528555
PIVX,0,0,0,0,0,0,1.89,1.92,1.65,1.68,90384900,652917
PIVX,0,0,0,0,0,0,1.97,2.0,1.85,1.9,101826000,977280
PIVX,0,0,0,0,0,0,1.8,1.97,1.73,1.96,105507000,717465
PIVX,0,1,0,0,0,0,1.71,1.89,1.53,1.81,97110800,743913
PIVX,0,0,0,0,0,0,1.84,1.85,1.59,1.71,91792000,804362
PIVX,0,0,0,0,0,1,1.87,1.9,1.71,1.85,99334700,552582
PIVX,1,1,76,324,1,1,1.87,1.89,1.79,1.87,100576000,433521
PIVX,1,1,1,1,1,1,2.23,2.46,1.82,1.87,100511000,4201350
PIVX,1,1,11,6,1,1,2.15,2.94,2.06,2.23,119636000,6583000
PIVX,0,1,0,0,0,1,2.37,2.44,1.99,2.18,117176000,1439190
PIVX,0,0,77,325,2,0,2.42,2.6,2.31,2.38,128004000,1132170
PIVX,0,1,0,0,0,0,2.46,2.46,2.18,2.42,129909000,1642800
PIVX,0,0,57,34,2,1,2.67,2.75,2.32,2.44,131064000,1591350
PIVX,1,1,0,0,0,0,2.77,2.84,2.57,2.61,140364000,1505980
PIVX,0,0,0,0,0,0,2.52,2.87,2.4,2.76,148610000,1577910
PIVX,0,0,0,0,0,0,2.41,2.52,2.16,2.52,135424000,900303
PIVX,0,0,0,0,0,0,2.25,2.42,2.23,2.41,129460000,686476
PIVX,0,1,149,115,1,0,1.74,2.34,1.68,2.26,121443000,1188920
PIVX,1,1,126,126,2,0,1.7,2.04,1.46,1.75,94140400,1174690
PIVX,1,1,426,9910,5,0,1.9,1.96,1.52,1.72,92613300,807183
PIVX,0,0,151,117,2,0,1.85,2.03,1.82,1.88,101043000,874846
PIVX,0,0,0,0,0,0,1.64,1.88,1.52,1.86,100097000,590517
PIVX,0,1,0,0,0,0,1.49,1.67,1.44,1.64,88187700,354807
PIVX,0,0,0,0,0,0,1.36,1.57,1.35,1.5,80652100,396644
