symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
QTUM,1,3,22,14,3,0,7.79,8.37,4.78,4.86,-,28193200
QTUM,2,2,18,5,2,0,13.46,13.6,7.86,7.86,-,54232400
QTUM,0,0,0,0,0,0,12.54,13.7,11.39,13.17,-,39565100
QTUM,0,0,0,0,0,0,12.15,12.78,11.34,12.73,-,15253900
QTUM,1,2,108,47,9,0,11.17,12.58,10.88,12.13,-,10290000
QTUM,1,2,2,2,2,0,11.5,12.02,10.17,10.98,-,11135000
QTUM,0,1,0,0,0,0,10.97,11.86,10.93,11.57,-,6104140
QTUM,1,5,30,7,3,0,12.35,12.54,10.26,10.92,-,12978300
QTUM,5,5,340,83,11,0,11.74,13.12,11.3,12.35,-,14694100
QTUM,0,0,0,0,0,0,11.33,12.1,11.12,11.75,-,14370200
QTUM,0,0,0,0,0,0,11.76,12.23,11.1,11.36,-,11384700
QTUM,3,4,19,23,6,0,10.96,11.82,10.87,11.77,-,8663550
QTUM,3,4,112,20,7,0,12.42,12.52,10.97,11.06,-,16198200
QTUM,1,1,55,21,5,0,11.77,13.01,11.29,12.4,-,18671800
QTUM,1,2,3135,925,11,0,11.11,11.8,9.8,11.8,-,13740900
QTUM,3,6,595,341,11,0,11.29,11.73,10.69,11.11,-,7179610
QTUM,0,1,0,0,0,0,11.25,11.45,11.02,11.24,-,6961310
QTUM,0,0,2,2,1,0,10.58,11.29,10.4,11.25,-,5475110
QTUM,6,7,315,119,16,0,10.59,11.3,10.26,10.49,-,12893100
QTUM,4,5,1003,91,11,0,11.49,12.88,10.44,10.57,-,22123200
QTUM,4,4,124,85,6,0,11.83,12.55,11.38,11.4,-,10464200
QTUM,3,3,77,27,4,0,12.1,12.45,11.74,11.92,-,16740600
QTUM,2,3,312,127,10,0,16.99,18.58,11.97,12.13,-,66737400
QTUM,1,2,12,17,3,0,16.35,18.85,16.02,16.8,-,34660100
QTUM,1,1,20,28,2,0,14.92,16.7,14.36,16.34,-,22702400
QTUM,4,5,246,147,4,0,12.61,14.96,10.64,14.96,-,25803900
QTUM,5,8,1426,277,18,0,14.47,15.19,11.94,12.27,-,42563100
QTUM,10,13,607,131,21,52,13.83,15.68,12.97,14.68,-,40650500
QTUM,1,5,253,4,4,12,12.48,14.09,12.33,14.09,-,18516000
QTUM,7,7,520,7641,7,7,12.03,12.57,11.66,12.46,-,14022600
QTUM,0,0,163,7643,2,2,10.39,12.12,10.37,11.96,-,10832000
QTUM,0,0,0,0,0,3,9.45,10.41,8.18,10.41,-,23967300
QTUM,0,0,0,0,0,1,9.19,10.08,8.56,9.33,-,15403500
QTUM,0,0,0,0,0,1,9.27,9.94,8.92,9.24,-,8178690
QTUM,1,1,4,1,2,1,8.3,9.33,7.96,9.33,-,8151290
QTUM,3,4,179,114,4,1,8.75,9.35,7.95,8.44,-,13670300
QTUM,0,0,6,10,2,3,6.87,8.75,6.67,8.73,-,7176910
QTUM,0,0,0,0,0,0,6.86,7.11,5.64,6.9,-,12481200
QTUM,0,0,0,0,0,0,6.36,7.58,6.35,6.91,-,6985260
QTUM,0,0,68,28,1,2,5.38,6.75,5.03,6.42,-,5648270
QTUM,0,0,409,31,5,1,4.82,5.42,3.89,5.23,-,11515200
QTUM,0,0,31,17,3,3,5.59,5.69,4.36,4.67,-,11808500
QTUM,0,0,0,0,0,0,5.11,6.12,5.02,5.65,288266000,8076010
QTUM,0,0,0,0,0,0,4.53,5.18,4.47,5.11,260726000,6385700
QTUM,1,1,254,4,2,1,3.88,4.55,3.86,4.54,231785000,6403170
QTUM,0,0,0,0,0,1,3.93,4.24,3.71,3.93,200412000,5467430
QTUM,3,3,30,30,4,5,4.38,4.47,3.91,3.91,199276000,7531300
QTUM,1,2,101,22,3,1,5.18,5.35,4.27,4.41,224792000,16788400
QTUM,0,0,18,8,1,1,5.62,6.62,4.79,5.18,264087000,29526300
QTUM,3,4,303,76,4,1,7.59,7.68,5.69,5.69,289993000,33148900
QTUM,2,4,176,99,8,0,7.84,9.15,7.01,7.84,399824000,48210600
QTUM,0,0,0,0,0,1,7.52,7.99,7.48,7.81,398441000,16650500
QTUM,0,0,0,0,0,2,6.64,7.62,6.14,7.55,385277000,23752700
QTUM,1,2,3043,8327,3,5,7.26,7.3,6.46,6.67,339927000,12601300
QTUM,2,3,664,101,9,1,6.13,7.61,5.68,7.31,372639000,22782500
QTUM,0,0,153,353,1,1,6.26,6.49,5.28,6.14,362203000,20824500
QTUM,0,1,75,68,5,1,6.21,6.42,6.02,6.29,370867000,10757800
QTUM,1,1,1405,276,15,1,5.75,6.31,5.74,6.23,367403000,7599310
QTUM,0,0,0,0,0,0,5.78,5.86,5.38,5.8,342217000,5188990
QTUM,0,0,61,25,5,1,5.53,5.84,5.46,5.77,340554000,3168030
QTUM,1,1,4854,782,7,1,6.12,6.36,5.43,5.53,326029000,13123400
QTUM,3,3,659,464,12,0,6.49,6.67,5.74,6.12,361165000,20864300
QTUM,3,3,162940,179,17,1,6.43,6.69,6.32,6.56,387234000,11978000
QTUM,3,3,402,136,23,0,7.65,7.86,6.17,6.42,378741000,30278900
QTUM,0,0,219,31,15,1,8.22,8.71,7.68,7.68,452969000,31879600
QTUM,0,0,163,11,3,0,9.38,9.52,7.8,8.22,484803000,42482900
QTUM,1,1,136,10,2,0,10.07,10.83,9.08,9.34,550855000,54977800
QTUM,2,2,560,77,5,1,12.65,12.84,9.88,10.03,591790000,95630200
QTUM,0,1,163091,188,5,3,11.5,12.74,10.84,12.64,746010000,63155600
QTUM,1,1,609,56,12,3,12.55,12.63,11.07,11.49,677866000,52016000
QTUM,1,1,1958,106,9,3,15.77,16.99,12.42,12.55,740715000,133259000
QTUM,1,1,130,62,3,0,14.73,16.36,14.33,15.63,922433000,91215900
QTUM,0,0,164,28,2,1,13.9,15.47,12.85,14.73,868962000,59321200
QTUM,2,2,1000,1063,14,5,15.17,15.84,12.79,13.92,821280000,75650500
QTUM,6,6,1724,3413,16,2,15.06,17.16,14.36,15.1,890836000,103750000
QTUM,5,5,3125,515,12,0,14.68,15.3,13.83,15.01,885415000,62353100
QTUM,1,1,376,2,3,9,14.35,15.42,14.15,14.67,865463000,59126000
QTUM,1,1,163,17,4,2,13.06,14.37,12.82,14.36,847017000,50489100
