symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
REP,1,1,187,5,5,0,23.86,25.06,21.93,21.97,241717000,4479050
REP,1,1,5850,4595,16,0,24.79,26.31,23.26,23.61,259666000,4688710
REP,0,0,0,0,0,0,26.22,26.25,24.78,24.87,273579000,4635790
REP,0,0,0,0,0,2,28.96,28.97,26.0,26.18,288020000,4559000
REP,0,0,5040,3945,2,1,28.8,31.85,28.26,29.12,320343000,8252820
REP,0,0,218,139,2,1,33.41,33.8,28.15,28.66,315289000,6283340
REP,1,1,766,471,8,0,34.17,38.93,32.44,33.67,370421000,12084200
REP,0,0,535,256,11,1,35.54,36.66,32.81,34.38,378138000,4309520
REP,0,2,593,469,7,1,34.18,36.28,33.67,35.73,392987000,4278080
REP,1,1,1086,259,4,0,33.75,34.62,32.24,34.5,379448000,6795880
REP,0,0,676,480,15,0,33.78,35.02,32.44,33.66,370315000,4817660
REP,0,0,745,256,8,2,31.46,34.87,27.84,33.72,370938000,6312970
REP,0,0,567,470,4,2,33.02,33.81,31.19,31.48,346312000,4655540
REP,0,1,821,200,11,1,30.58,37.2,29.21,33.08,363877000,5341830
REP,0,0,540,570,6,0,28.15,31.47,24.43,30.65,337137000,6592890
REP,0,0,1121,1548,12,0,28.76,30.05,27.37,28.08,308894000,4101540
REP,0,0,3522,1505,14,1,31.09,31.21,28.61,28.72,315895000,3351620
REP,0,0,72,43,2,0,30.02,31.69,29.59,31.12,342291000,2721270
REP,0,0,2901,1306,7,0,32.78,32.94,29.94,30.02,330264000,4385850
REP,3,5,249,154,17,1,30.13,33.35,29.94,32.78,360548000,4936620
REP,3,4,127,164,10,0,28.97,30.64,28.14,30.08,330868000,3706710
REP,2,3,260,8,7,0,30.11,31.4,28.5,28.99,318911000,3704940
REP,3,3,1032,220,15,1,31.26,33.52,29.68,30.13,331380000,5321540
REP,0,1,0,0,0,0,29.42,31.74,28.82,31.25,343764000,2494470
REP,0,0,0,0,0,0,27.99,31.29,26.69,29.23,321495000,3650130
REP,1,1,4,0,2,0,25.16,28.39,21.66,27.97,307660000,5080110
REP,3,4,110,128,7,1,25.6,25.6,21.46,25.16,276808000,3498930
REP,0,0,0,0,0,2,28.08,28.3,25.12,25.87,284531000,3195240
REP,0,0,0,0,0,1,26.74,28.63,26.58,28.09,309010000,2523550
REP,0,0,0,0,0,0,28.1,30.46,26.39,26.84,295294000,5802360
REP,0,0,0,0,0,0,24.75,28.52,24.39,28.16,309725000,2685960
REP,0,0,0,0,0,0,26.23,26.39,23.86,24.74,272125000,2190010
REP,1,1,0,0,0,2,28.77,29.29,25.68,26.16,287711000,3095940
REP,1,1,0,0,0,0,27.55,28.99,27.15,28.67,315386000,3108570
REP,2,2,0,0,0,1,26.88,27.46,26.25,27.45,301908000,1528700
REP,2,3,9477,17151,1,2,27.5,27.63,26.7,26.9,295916000,1421290
REP,3,4,901,1148,7,1,23.06,28.48,22.09,27.72,304920000,6058040
REP,0,1,517,726,5,0,23.45,24.26,21.2,23.1,254068000,6582240
REP,0,0,0,0,0,0,22.28,25.24,22.28,23.5,258527000,2982550
REP,0,0,1015,21,5,1,16.77,22.44,15.79,22.29,245229000,7106180
REP,0,0,29,21,2,1,16.48,18.15,14.77,16.58,182345000,5423900
REP,1,1,163,49,5,1,21.08,21.23,16.27,16.47,181196000,4061640
REP,1,1,237,210,2,2,20.5,23.21,20.22,21.2,233161000,5380170
REP,1,1,305,829,22,0,19.46,21.1,18.75,20.46,225099000,3419960
REP,1,1,32,32,2,0,18.34,19.94,18.34,19.39,213341000,2624840
REP,0,0,63,48,11,2,16.04,18.44,14.21,18.32,201522000,3443290
REP,3,3,187884,188244,29,1,18.14,18.35,16.01,16.01,176145000,2317970
REP,7,8,3416,2368,38,1,19.51,20.2,17.31,18.2,200165000,3111420
REP,1,1,23,0,1,1,16.9,19.82,16.77,19.55,215053000,3189000
REP,0,0,23,0,1,0,19.53,19.92,16.92,16.92,186131000,2697430
REP,3,4,671,542,3,1,20.18,20.68,19.18,19.65,216191000,2134590
REP,3,4,1394,1347,8,0,21.49,21.62,19.68,20.24,222620000,2444950
REP,0,0,0,0,0,2,21.05,22.02,20.49,21.47,236183000,1767280
REP,1,1,0,0,0,1,21.69,21.69,20.81,20.98,230741000,1032420
REP,1,1,175,177,3,0,18.03,21.78,17.86,21.61,237685000,2262860
REP,1,1,0,0,0,0,18.15,18.4,17.5,17.97,197709000,2066290
REP,0,0,0,0,0,1,18.17,18.48,18.01,18.22,200399000,1546590
REP,1,1,742,4,2,0,17.19,18.3,17.03,18.19,200115000,2413390
REP,0,0,2034,294,2,1,17.62,17.62,16.63,17.17,188854000,1149140
REP,0,0,0,0,0,2,17.2,18.23,17.2,17.53,192822000,593696
REP,2,2,363,304,1,2,16.83,17.42,16.33,17.26,189913000,1464280
REP,0,0,727,492,5,2,18.11,18.2,16.68,16.72,183937000,1379370
REP,1,1,67,33,4,0,17.7,18.52,17.44,18.09,198942000,1332180
REP,3,3,105,94,5,0,17.37,17.88,17.05,17.64,194029000,2725760
REP,1,1,860,588,4,2,17.34,17.72,17.31,17.35,190896000,999053
REP,0,0,780,454,12,0,19.08,19.4,17.33,17.39,191294000,2332570
REP,1,1,401,266,1,0,18.97,19.43,18.53,19.14,210516000,1362730
REP,1,1,2081,1588,9,1,18.96,19.25,18.39,18.91,208042000,1916400
REP,2,2,1475,351,19,0,21.19,21.42,18.73,18.86,207435000,3633500
REP,1,1,1730,495,17,0,22.71,23.31,21.18,21.23,233525000,4242530
REP,0,0,281,325,4,3,22.72,24.65,22.62,22.73,250027000,5357330
REP,1,1,726,700,2,1,22.44,22.76,22.02,22.66,249217000,2245780
REP,1,1,35,74,3,0,22.65,24.06,21.52,22.37,246071000,3119760
REP,0,0,0,0,0,1,20.65,22.74,20.62,22.63,248881000,2295810
REP,0,0,0,0,0,0,19.96,20.88,19.46,20.68,227476000,1458730
REP,0,0,0,556,1,1,21.02,23.04,19.51,19.92,219150000,3052560
REP,0,0,0,0,0,0,21.39,21.39,20.31,21.1,232139000,1640180
REP,1,1,0,0,0,0,20.13,21.95,20.09,21.41,235501000,1754790
REP,1,1,202,214,2,1,19.13,20.54,18.81,20.1,221103000,2283780
REP,3,3,155,204,5,2,19.66,19.7,18.42,19.15,210660000,1307160
REP,1,1,0,0,0,1,20.55,21.3,19.29,19.57,215223000,1392230
REP,0,0,103,16,1,1,21.96,23.12,20.34,20.46,225054000,3491570
REP,0,0,0,0,0,0,21.28,22.27,19.82,22.04,242471000,2789520
REP,1,1,0,0,0,0,22.0,23.45,21.04,21.24,233664000,2429740
REP,0,0,3040,3320,23,0,23.03,23.08,21.9,22.08,242922000,1880160
REP,0,1,0,0,0,1,25.37,27.59,22.98,23.02,253197000,6210960
REP,0,0,0,0,0,1,29.5,31.04,25.01,25.43,279713000,11542300
REP,0,0,0,0,0,2,27.98,30.85,27.76,29.72,326927000,4937900
REP,2,2,855,189,3,0,26.15,28.11,23.29,28.07,308740000,12509800
REP,2,2,25,16,7,3,25.08,26.96,23.15,26.39,290245000,4487220
REP,1,1,0,0,0,0,25.15,25.5,23.76,25.06,275646000,3091340
REP,1,1,2161,2309,10,1,26.36,26.63,24.86,25.1,276090000,3151520
REP,1,1,0,0,0,0,28.59,28.59,26.24,26.24,288601000,3488820
REP,1,1,1325,1299,5,0,24.24,29.04,23.57,28.49,313414000,3279910
REP,0,0,0,0,0,1,24.91,26.4,23.6,24.3,267354000,2046420
REP,4,4,922,678,2,0,21.81,24.94,20.76,24.94,274311000,3414020
REP,2,2,614,820,11,0,22.94,23.29,20.61,21.88,240642000,1943400
REP,1,1,318,356,5,1,23.79,24.15,22.82,22.9,251871000,1940990
REP,1,1,0,0,0,2,23.79,24.02,22.97,23.65,260146000,1411680
REP,1,1,1078,666,9,0,22.26,24.97,21.28,23.79,261635000,2058090
REP,0,0,600,517,3,1,22.28,22.57,21.79,22.3,245276000,880273
REP,1,1,0,0,0,0,21.55,22.23,20.19,22.2,244231000,1326850
REP,2,2,1830,3456,2,0,20.92,21.85,20.46,21.59,237455000,807297
REP,2,2,48,34,1,0,21.23,21.9,20.67,20.95,230430000,962593
REP,3,3,798,830,15,1,20.59,23.87,20.08,21.17,232844000,3667200
REP,1,1,0,0,0,0,15.76,20.89,15.74,20.56,226176000,1800320
REP,1,1,233,0,1,0,18.31,18.71,13.73,15.91,175047000,1844750
REP,0,0,0,0,0,0,17.67,18.89,16.77,18.33,201588000,662667
REP,1,1,212,208,3,1,17.64,17.82,15.77,17.62,193768000,2144090
REP,1,1,1612,4468,11,2,19.02,19.12,17.61,17.61,193688000,1030230
REP,3,3,926,1292,6,1,18.46,19.19,17.9,19.05,209508000,768861
REP,1,1,89,3,4,1,18.5,18.84,18.0,18.48,203240000,554121
REP,1,1,622,519,8,1,17.13,18.48,16.26,18.41,202480000,1114830
REP,1,1,384,366,1,1,17.01,17.6,16.39,17.12,188348000,340706
REP,1,1,0,0,0,3,18.0,18.09,16.72,16.98,186760000,401046
REP,0,0,0,0,0,0,17.84,18.48,17.83,18.0,198006000,545368
REP,2,3,6,6,1,1,18.81,18.95,17.76,17.81,195868000,623948
REP,2,2,1300,1545,17,1,18.82,18.96,18.49,18.8,206788000,397769
REP,6,6,1093,1103,6,1,20.98,21.21,18.68,18.79,206643000,1632240
REP,3,3,2241,2055,15,2,22.23,22.76,20.73,20.96,230602000,2030560
REP,1,1,253,106,7,0,20.64,22.46,20.14,22.2,244249000,1184250
REP,8,8,406,111,12,1,21.19,21.64,20.51,20.72,227924000,706371
REP,4,4,2952,2176,28,1,20.66,21.34,20.16,21.22,233421000,496431
REP,0,0,1291,235,12,0,19.37,20.69,19.18,20.66,227255000,789547
REP,2,2,357,293,12,0,19.44,19.49,18.99,19.37,213088000,786055
REP,2,2,165,86,10,0,18.99,19.56,18.88,19.47,214161000,571388
REP,3,3,1494,631,8,0,19.02,19.27,18.61,19.01,209079000,657037
REP,5,5,1160,1000,14,0,19.61,19.61,18.52,19.01,209122000,722235
REP,3,3,965,714,21,0,20.13,20.59,19.66,19.66,216245000,1104820
REP,2,2,345,189,5,0,19.12,20.11,19.11,20.1,221123000,723733
REP,4,4,8072,789,5,0,17.81,19.22,17.72,19.11,210206000,924576
REP,2,2,736,199,4,1,18.77,19.21,17.5,17.8,195823000,692292
REP,1,1,52,44,1,1,18.61,18.92,18.55,18.82,206975000,493703
REP,4,4,2782,3506,30,1,18.23,19.1,18.17,18.62,204799000,1701010
REP,3,3,2271,2122,12,0,18.38,18.93,17.95,18.25,200748000,1179910
REP,4,4,2012,1468,14,1,18.95,18.95,18.26,18.39,202279000,653761
REP,3,3,1411,852,10,0,18.66,19.14,17.98,19.07,209729000,480545
REP,3,3,2060,499,22,0,19.09,19.23,18.48,18.72,205872000,930751
REP,4,4,3719,528,12,0,18.7,19.12,18.63,19.08,209918000,576251
REP,7,7,248,122,8,0,18.34,18.73,17.7,18.72,205969000,779130
REP,5,5,2295,857,12,0,18.15,18.64,17.92,18.36,202015000,578350
REP,3,3,3134,618,21,0,17.56,18.39,17.36,18.12,199335000,950119
REP,2,2,669,521,5,0,16.84,17.57,16.26,17.45,191982000,667841
REP,3,3,519,19,2,0,16.85,17.17,16.38,16.86,185419000,526437
REP,5,5,3929,2255,29,1,16.29,16.92,16.06,16.84,185242000,893583
REP,3,3,473,219,5,1,17.66,18.48,15.98,16.12,177268000,1311980
REP,0,0,4039,3050,26,0,17.94,18.1,17.13,17.74,195181000,730846
REP,2,2,653,246,5,2,17.9,18.29,17.59,17.97,197694000,540067
REP,7,7,2905,2025,20,1,17.54,18.02,17.22,17.93,197200000,482746
REP,1,1,1121,754,14,2,17.27,17.72,17.23,17.57,193241000,391903
REP,8,8,3141,1795,34,0,17.7,18.28,17.23,17.26,189897000,634587
REP,3,3,1610,772,12,0,17.17,17.71,16.92,17.71,194793000,739091
REP,2,2,972,365,14,0,17.59,17.8,17.08,17.13,188467000,949978
REP,4,4,1356,645,5,1,16.95,20.76,16.91,17.5,192526000,3938990
REP,0,0,2244,1375,11,1,16.18,17.23,15.45,16.89,185770000,1498460
REP,2,2,176,114,4,0,17.83,17.84,15.95,16.22,178443000,1476930
REP,0,0,279,47,2,1,17.42,17.79,17.1,17.79,195663000,748167
REP,2,2,2350,257,4,0,16.61,19.17,16.18,17.4,191376000,2101850
REP,1,1,1915,131,4,0,16.89,17.14,16.33,16.71,183862000,907617
REP,0,0,442,370,2,0,17.04,18.76,16.85,16.89,185779000,1457810
REP,4,4,418,235,8,0,18.38,19.54,16.93,17.06,187683000,2138860
REP,4,4,17710,1239,20,0,19.12,19.35,18.06,18.4,202416000,1837380
REP,2,2,8836,536,12,2,17.69,19.86,17.39,19.08,209835000,1754170
REP,2,2,42,7,4,0,18.21,18.68,17.56,17.61,193728000,1330620
REP,0,0,260,249,5,1,17.45,18.41,16.88,18.22,200461000,1919200
REP,4,4,854,613,7,0,18.23,18.44,17.32,17.39,191345000,870775
REP,4,4,650,233,10,0,18.86,19.02,18.07,18.29,201179000,1003900
REP,4,4,367,140,4,0,19.22,19.37,18.66,18.93,208279000,1250130
REP,1,1,4583,10218,62,0,19.78,20.18,19.05,19.37,213095000,1432180
REP,4,4,254,203,14,1,19.26,20.0,19.1,19.79,217734000,1267730
REP,2,2,40,13,2,0,19.74,19.86,18.88,19.22,211375000,815249
REP,1,1,0,0,0,2,20.2,20.49,19.72,19.73,217027000,1138730
REP,1,1,21,11,1,1,20.99,21.1,19.85,20.23,222498000,1176890
REP,3,3,269,626,19,2,21.13,21.38,20.17,20.94,230382000,1387670
REP,3,3,162,140,5,0,25.12,27.16,21.04,21.14,232584000,7935880
REP,0,0,105,72,1,1,25.77,35.63,24.95,25.11,276160000,20368900
REP,1,1,0,0,0,0,28.55,28.67,24.67,25.75,283259000,5688400
REP,0,0,334,200,5,0,28.34,28.74,27.5,28.54,313932000,3557430
REP,0,0,403,88,8,1,27.21,28.41,26.67,28.33,311664000,2298210
REP,9,9,1196,1142,19,0,28.78,29.75,27.22,27.28,300121000,3464660
REP,4,4,964,754,20,0,28.56,29.28,27.9,28.88,317692000,2991360
REP,1,1,62,157,5,0,24.28,30.8,24.24,28.48,313279000,5518380
REP,2,2,1649,1360,6,1,26.01,26.77,23.08,24.61,270708000,2354800
REP,2,2,946,430,13,1,26.67,27.5,24.84,26.03,286346000,2904280
REP,4,4,145,113,17,2,29.32,29.32,26.4,26.65,293173000,8999810
REP,0,0,0,0,0,0,35.46,45.87,28.34,29.35,322825000,28187500
REP,0,0,0,0,0,0,37.22,39.56,34.01,35.75,393257000,11056200
REP,1,1,1036,274,9,1,35.58,36.99,34.94,36.97,406714000,6389870
