symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
RHOC,0,0,0,0,0,0,0.200603,0.200603,0.186912,0.186912,-,22131
RHOC,1,1,21116,2,1,0,0.254083,0.25463600000000003,0.178537,0.200257,-,38476
RHOC,0,0,0,0,0,0,0.293584,1.49,0.17178800000000002,0.25372,-,36340
RHOC,0,0,0,0,0,0,0.251778,0.31571,0.222512,0.31565,-,16776
RHOC,1,1,23199,89187,4,0,0.198189,0.2745,0.197577,0.252402,-,20495
RHOC,3,3,1174,21,6,0,0.20239000000000001,0.262383,0.19581500000000002,0.19818,-,16009
RHOC,3,3,167969,0,2,0,0.21537399999999998,0.268822,0.184496,0.202347,-,30129
RHOC,2,2,540,145,6,0,0.187757,0.25722399999999995,0.18217,0.214954,-,34592
RHOC,0,0,0,0,0,0,0.219511,0.23414899999999997,0.023524,0.187942,-,14610
RHOC,0,0,0,0,0,0,0.187177,0.23096799999999998,0.186753,0.220156,-,6825
RHOC,2,2,302,0,1,0,0.180354,0.219125,0.170032,0.187672,-,39622
RHOC,2,2,135,21,5,0,0.186829,0.19850299999999999,0.14840699999999998,0.181137,-,17036
RHOC,2,2,0,0,0,1,0.172896,0.186618,0.122617,0.186608,-,26564
RHOC,1,1,144,10,1,0,0.16999,0.24278899999999998,0.125669,0.172494,-,24265
RHOC,0,0,0,0,0,0,0.169711,0.197512,0.143464,0.169852,-,5704
RHOC,1,1,300,18,1,0,0.164426,0.18087999999999999,0.134659,0.169492,-,22640
RHOC,0,0,0,0,0,0,0.161753,0.166518,0.137277,0.164421,-,9852
RHOC,2,2,901,145,3,1,0.134983,0.172558,0.134685,0.161659,-,35983
RHOC,2,2,9,14,1,0,0.14269400000000002,0.173573,0.132912,0.134892,-,48705
RHOC,4,4,12215,36773,5,0,0.147206,0.1594,0.13964300000000002,0.14282,-,1482
RHOC,0,0,2782,4758,7,0,0.165692,0.167765,0.133203,0.14689000000000002,-,42943
RHOC,1,1,1561,1495,6,0,0.136437,0.16735899999999998,0.13526300000000002,0.16560899999999998,-,21020
RHOC,0,0,956,1203,6,0,0.15919,0.15975799999999998,0.134762,0.13656,-,3590
RHOC,2,2,227,171,4,0,0.164076,0.168994,0.14226,0.159122,-,5246
RHOC,0,0,73,175,1,0,0.144126,0.166523,0.14341199999999998,0.163747,-,7203
RHOC,0,0,3881,2212,4,0,0.147002,0.17155499999999999,0.144066,0.144205,-,46345
RHOC,0,0,0,0,0,0,0.14166800000000002,0.21303200000000003,0.127123,0.146731,-,58795
RHOC,4,4,13491,43794,3,0,0.13511099999999998,0.159305,0.13125599999999998,0.142061,-,20687
RHOC,2,2,568,18211,15,0,0.143226,0.160669,0.123071,0.135774,-,19424
RHOC,6,6,48,10,8,0,0.14531,0.15454600000000002,0.127436,0.143249,-,15995
RHOC,1,1,204,104,5,0,0.15304,0.154199,0.12229200000000001,0.145499,-,6183
RHOC,0,0,0,0,0,0,0.095562,0.155777,0.095562,0.153184,-,18772
RHOC,0,0,402,101,1,0,0.12283599999999999,0.139953,0.090107,0.095705,-,21794
RHOC,1,1,452,185,4,0,0.120702,0.137995,0.120702,0.12275,-,13642
RHOC,2,2,4078,37,2,0,0.156701,0.15755999999999998,0.119572,0.120051,-,21441
RHOC,2,2,3988,29,6,0,0.12302300000000001,0.157118,0.122991,0.156775,-,33552
RHOC,0,0,0,0,0,0,0.132124,0.162639,0.12281500000000001,0.142234,-,2136
RHOC,0,0,0,0,0,0,0.143495,0.149172,0.11723800000000001,0.132139,-,12190
RHOC,0,0,0,0,0,0,0.141822,0.146598,0.121965,0.143723,-,21381
RHOC,0,0,0,0,0,0,0.138951,0.152871,0.133524,0.141815,-,34067
RHOC,0,0,0,0,0,0,0.12026300000000001,0.142337,0.11926400000000001,0.139026,-,12695
RHOC,0,0,0,0,0,0,0.141676,0.168295,0.115433,0.12016900000000001,21866400,81554
RHOC,0,0,0,0,0,0,0.138531,0.16578099999999998,0.132144,0.141578,25761900,47733
RHOC,0,0,0,0,0,2,0.143449,0.152167,0.13230999999999998,0.137773,25069600,21093
RHOC,0,0,0,0,0,0,0.153274,0.156149,0.14138,0.143078,26035000,15466
RHOC,0,0,0,0,0,0,0.15856800000000001,0.18623199999999998,0.14188699999999999,0.153109,27860200,73699
RHOC,2,6,72,4,3,1,0.165739,0.167181,0.150038,0.15831800000000001,28808100,7051
RHOC,1,1,209,60,3,1,0.18726900000000002,0.19221,0.16581700000000002,0.165951,30197000,31200
RHOC,2,2,415,126,1,0,0.23353400000000002,0.264788,0.1877,0.1877,34154500,199411
RHOC,0,0,137,34,1,0,0.22416599999999998,0.235733,0.19624,0.232366,42282000,46103
RHOC,0,0,112,22,1,0,0.241394,0.26926100000000003,0.205736,0.224129,40783200,51677
RHOC,1,1,15,11,1,0,0.227275,0.265778,0.21124,0.241402,43926200,42443
RHOC,1,2,0,0,0,0,0.230185,0.252267,0.22230300000000003,0.22721799999999998,41345300,55006
RHOC,2,2,525,86,4,0,0.242209,0.253236,0.22432399999999997,0.22987,41827900,28080
RHOC,2,2,20938,92,11,0,0.21900999999999998,0.249361,0.204279,0.242403,44108500,12541
RHOC,4,4,21078,56,5,0,0.24908200000000003,0.251718,0.20541500000000001,0.221815,40362100,142725
RHOC,2,2,34,42,4,0,0.299952,0.299952,0.240404,0.248464,45211300,68615
RHOC,0,0,0,0,0,0,0.30803,0.326974,0.286416,0.29994299999999996,54578700,74698
RHOC,0,0,0,0,0,0,0.318914,0.331352,0.29183899999999996,0.308134,56069000,63048
RHOC,3,3,1952,1988,4,0,0.358468,0.371843,0.31254099999999996,0.32154299999999997,58508900,59232
RHOC,0,0,318,344,3,0,0.407149,0.41896300000000003,0.347204,0.35865199999999997,65261500,56484
RHOC,1,1,269,223,3,1,0.710438,0.715904,0.40574299999999996,0.406433,73955900,236956
RHOC,3,3,16,3,1,0,0.590707,0.740254,0.42415200000000003,0.700801,127520000,502319
