symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
SC,1,5,238,44,5,6,0.008492,0.008527,0.007402,0.0074719999999999995,197803000,20168700
SC,3,6,532,127,13,5,0.010058,0.010634000000000001,0.008436,0.008513,225553000,39687800
SC,2,5,298,31,5,5,0.014981,0.017093,0.009614,0.010089,267588000,122253000
SC,5,10,114,100,9,11,0.014407,0.017676,0.013428,0.014459,383845000,113518000
SC,5,6,1794,652,26,25,0.015390000000000001,0.017244,0.014303999999999999,0.014369,381911000,54687500
SC,0,2,0,0,0,9,0.015663,0.016630000000000002,0.01385,0.015418000000000001,410288000,45840900
SC,2,4,7440,2227,68,13,0.013905,0.016735,0.013346,0.015661,417322000,32680300
SC,0,2,1475,413,6,19,0.014899,0.01521,0.013347999999999999,0.013986000000000002,373208000,29928200
SC,6,7,882,190,11,16,0.018624,0.018624,0.014823,0.014874,397410000,56713200
SC,1,3,432,186,8,7,0.015434999999999999,0.018547,0.015406,0.018536,495932000,40792200
SC,3,5,323,119,6,10,0.01524,0.016671000000000002,0.014819999999999998,0.015344,411032000,28378600
SC,2,7,716,374,13,22,0.013958000000000002,0.016333,0.012811000000000001,0.015222999999999999,408262000,29227000
SC,0,4,129,11,8,22,0.015787,0.016346,0.013144,0.014019,376404000,33813100
SC,2,9,4701,237,18,19,0.014094,0.015983,0.013488,0.015761,423649000,17277000
SC,1,4,926,249,7,20,0.014412999999999999,0.0148,0.012088,0.014088999999999999,379086000,20135300
SC,4,7,1020,349,13,22,0.015742,0.016091,0.013474000000000002,0.014472,389793000,28864200
SC,1,7,250,227,7,19,0.01655,0.017573,0.015011000000000002,0.015681,422802000,39052300
SC,0,3,44,37,5,15,0.015913,0.017138999999999998,0.015147,0.016509,445594000,21656800
SC,5,8,697,319,14,11,0.019446,0.020173,0.015472999999999999,0.015906,429819000,58745100
SC,0,1,387,215,4,19,0.018841999999999998,0.022364,0.0184,0.019511,527770000,75255900
SC,2,11,831,108,8,20,0.018817,0.019934999999999998,0.017883,0.018875,511098000,27763200
SC,2,6,23,24,1,12,0.019344999999999998,0.01942,0.017986000000000002,0.01879,509362000,26403300
SC,2,10,2,2,2,17,0.018969,0.020091,0.018372,0.019378,525836000,35910700
SC,1,4,5276,1404,2,11,0.016932,0.019343,0.016771,0.018914,513770000,9400220
SC,3,12,578,364,15,6,0.016173,0.018413,0.015562999999999999,0.016837,457829000,19935300
SC,15,21,1018,288,25,2,0.015333000000000001,0.016781,0.012761,0.01616,439867000,27113100
SC,4,12,97,34,10,9,0.015304,0.016256,0.013040000000000001,0.015333000000000001,417768000,22702200
SC,1,6,62,52,5,9,0.016454,0.016529,0.014825999999999999,0.015462,421813000,18103800
SC,2,4,19,4,2,10,0.015175999999999999,0.01651,0.014950999999999999,0.016431,448698000,11464800
SC,1,5,428,38,5,5,0.014268000000000001,0.015277,0.014131999999999999,0.01517,414773000,7334430
SC,4,6,55,37,5,6,0.012828999999999998,0.014398,0.012387,0.014319,391898000,10025100
SC,0,2,978,553,9,5,0.013083000000000001,0.0133,0.011631,0.012813,351045000,15819000
SC,3,3,425,344,5,10,0.013694,0.014813999999999999,0.012366,0.013128,360060000,20454200
SC,4,8,972,407,7,8,0.013354,0.014242,0.013207,0.013675,375388000,9453090
SC,3,10,911,725,9,5,0.012953000000000001,0.013387999999999999,0.012567,0.013387999999999999,367905000,8529170
SC,2,5,36,19,4,6,0.012311,0.013081,0.012268000000000001,0.01296,356501000,8812730
SC,2,5,490,67,12,5,0.010217,0.012437,0.009720999999999999,0.012357,340313000,18271700
SC,1,2,27,15,3,6,0.010855,0.010855,0.008912,0.010211,281480000,20421000
SC,1,4,97,70,10,3,0.009781999999999999,0.011323,0.009781999999999999,0.010865999999999999,299860000,9814290
SC,3,4,1609,674,28,5,0.007679999999999999,0.009852,0.006862999999999999,0.009784000000000001,270239000,13567500
SC,5,12,821,187,15,5,0.006947,0.007759,0.005961,0.007519,207856000,19583900
SC,3,8,14101,3599,14,10,0.008924,0.008924,0.006520000000000001,0.006867,190031000,14168400
SC,6,9,5945,502,21,5,0.007886,0.009336,0.007481,0.008976000000000001,248633000,12324300
SC,3,7,5719,702,4,6,0.006987,0.007946,0.0068969999999999995,0.007916,219525000,6414700
SC,1,3,2,2,2,5,0.006282,0.007026999999999999,0.006181,0.0070079999999999995,194503000,4785200
SC,0,2,0,0,0,2,0.005833,0.006532,0.005524,0.006261999999999999,173998000,5470070
SC,1,4,0,0,0,9,0.00717,0.0072109999999999995,0.00585,0.00585,162699000,7221400
SC,1,1,16,4,2,6,0.007761,0.008129,0.006723000000000001,0.0072120000000000005,200778000,10157300
SC,3,7,154,50,4,9,0.007339,0.008274,0.007137,0.0077870000000000005,216983000,8796440
SC,3,4,448,40,10,10,0.008761,0.00899,0.007337000000000001,0.007337000000000001,204606000,9314570
SC,3,6,749,354,12,4,0.008939,0.009422,0.008602,0.008892,248157000,9707960
SC,3,6,295,70,11,6,0.010053,0.010398000000000001,0.008924,0.008948999999999999,250018000,14279900
SC,1,3,60,26,4,4,0.010032,0.010574,0.00886,0.010041,280781000,17833900
SC,1,4,56,82,5,4,0.010984,0.011327,0.009477,0.010014,280308000,25162500
SC,2,4,28512,5405,8,7,0.008791,0.011094,0.008109,0.010984,307759000,18975600
SC,0,5,0,0,0,6,0.008532,0.009089,0.007906999999999999,0.008753,245524000,7731680
SC,2,5,1,1,1,4,0.008454999999999999,0.008734,0.008223000000000001,0.008577,240807000,4758040
SC,2,5,4,4,4,6,0.008027,0.00856,0.007589,0.008461,237769000,7549660
SC,0,4,8,6,1,5,0.008427,0.008458,0.00755,0.007968000000000001,224159000,4394720
SC,0,0,0,0,0,5,0.008031,0.008453,0.007773,0.008437,237647000,3863540
SC,0,0,125,125,1,5,0.008058,0.008225,0.007653,0.008020000000000001,226138000,4179200
SC,1,7,1148,183,6,3,0.008676999999999999,0.009137000000000001,0.007842,0.008052,227224000,9803780
SC,1,3,0,0,0,6,0.008699,0.009105,0.008431000000000001,0.008637,243972000,7756700
SC,0,3,61,49,2,6,0.009111,0.009257,0.00853,0.008672,245170000,5825440
SC,0,0,0,0,0,15,0.009092,0.009455,0.009092,0.009146,258804000,7388260
SC,0,0,0,0,0,7,0.009798999999999999,0.010057,0.008976999999999999,0.009053,256391000,9379230
SC,0,0,0,0,0,5,0.009231,0.009974,0.009186,0.009779000000000001,277152000,5891150
SC,0,2,0,0,0,4,0.009344,0.00968,0.009115999999999999,0.009231999999999999,261866000,8307390
SC,0,1,0,0,0,3,0.009448,0.009986,0.0091,0.009327,264789000,8507530
SC,0,2,0,0,0,4,0.009106,0.00975,0.008979000000000001,0.009457,268727000,6640460
SC,0,2,0,0,0,4,0.00831,0.009247,0.00831,0.009120999999999999,259440000,10293200
SC,0,1,0,0,0,7,0.008323,0.008709,0.007922,0.008226,234237000,13007000
SC,1,1,0,0,0,6,0.007790000000000001,0.008603,0.007405,0.008337,237654000,8512030
SC,1,2,18,18,2,4,0.007298999999999999,0.007851,0.007094,0.007774,221812000,8567400
SC,0,5,0,0,0,2,0.006743000000000001,0.0072900000000000005,0.006217,0.007252,207148000,9172540
SC,0,3,0,0,0,7,0.0075840000000000005,0.008893,0.006214,0.006732999999999999,192532000,23953700
SC,1,6,0,0,0,4,0.007418000000000001,0.008218000000000001,0.0073030000000000005,0.007589,217215000,9653770
SC,1,3,0,0,0,3,0.007017,0.007522,0.007004000000000001,0.007365999999999999,211019000,5965510
SC,0,0,0,0,0,2,0.0067280000000000005,0.007498,0.006531,0.007056999999999999,202346000,6032540
SC,0,1,0,0,0,4,0.006731999999999999,0.006822,0.0060869999999999995,0.0067079999999999996,192518000,4993790
SC,0,5,0,0,0,1,0.007696,0.0077930000000000004,0.006435,0.006726,193195000,8429580
SC,1,2,5,2,1,6,0.006737000000000001,0.007792,0.00671,0.007708,221609000,5987600
SC,0,0,5,2,1,2,0.0067599999999999995,0.006933,0.006242,0.00675,194215000,4436860
SC,2,2,0,6,1,5,0.006991,0.007334,0.006652,0.006811,196173000,6341530
SC,0,4,20,2,3,4,0.007056000000000001,0.007326999999999999,0.0069099999999999995,0.0070030000000000005,201865000,4697040
SC,1,2,5,1,2,0,0.006842,0.007095000000000001,0.006695,0.0070420000000000005,203193000,3749800
SC,1,2,253,2,1,5,0.007197,0.007352,0.006675,0.0068379999999999995,197460000,4283900
SC,1,1,0,0,0,6,0.007821,0.008114,0.007069,0.007208,208327000,7286210
SC,0,2,0,0,0,6,0.008471,0.008772,0.007349,0.007821,226192000,13317000
SC,1,5,74,30,2,7,0.007948,0.008728,0.007698,0.008498,246065000,11381600
SC,2,7,17,17,1,3,0.008481,0.008508,0.007816,0.007916,229381000,7831240
SC,3,5,158,119,11,5,0.008333,0.008464,0.008204000000000001,0.008433,244570000,5294670
SC,0,1,538,71,7,4,0.008824,0.008968,0.008162,0.008394,243667000,8636340
SC,3,3,776,177,6,3,0.008397,0.009493999999999999,0.008043000000000002,0.008801,255711000,17592900
SC,0,0,0,0,0,6,0.008434,0.008833,0.007638,0.008326,242127000,7069160
SC,0,2,0,0,0,3,0.006659,0.00845,0.006136,0.00845,245931000,9037270
SC,1,5,332,280,5,5,0.007344,0.007537,0.005876,0.006684999999999999,194745000,5254060
SC,0,4,488,140,12,7,0.008119,0.008421,0.0073219999999999995,0.007370999999999999,214906000,7677680
SC,0,0,342,30,3,7,0.0076359999999999996,0.008148,0.007369,0.008144,237681000,4824290
SC,0,2,9,5,1,3,0.006097999999999999,0.00765,0.0058909999999999995,0.0076230000000000004,222687000,7223270
SC,1,2,0,0,0,3,0.005963,0.006147,0.005833,0.006147,179724000,2345400
SC,2,2,161,62,6,2,0.005716,0.00604,0.005370000000000001,0.005943,173942000,2715170
SC,2,2,25,21,3,7,0.0058579999999999995,0.005954999999999999,0.005397,0.005683,166471000,2993330
SC,4,7,696,203,11,1,0.005721,0.006296,0.005654,0.005853,171624000,3539640
SC,2,5,29,9,2,4,0.005634,0.005787,0.0052770000000000004,0.00573,168146000,2696590
SC,0,1,554,266,4,3,0.003693,0.005715,0.003693,0.005649,165905000,2871720
SC,6,6,37,12,5,5,0.0037310000000000004,0.004009,0.003146,0.00373,109648000,6115970
SC,1,3,0,0,0,4,0.004298,0.004359,0.003701,0.003722,109484000,5597830
SC,0,0,0,0,0,5,0.004036,0.004295,0.0038810000000000003,0.004289,126240000,3481140
SC,5,7,177,31,7,4,0.005259000000000001,0.0052899999999999996,0.004055,0.004055,119417000,4003890
SC,1,3,191,32,5,3,0.004582999999999999,0.005338,0.004504,0.005292,155948000,4552840
SC,2,5,40,18,4,2,0.004523,0.0047539999999999995,0.00445,0.0045969999999999995,135561000,1977030
SC,2,4,664,143,19,9,0.003971,0.004543,0.003857,0.004522,133450000,2292050
SC,0,1,212,23,9,3,0.003836,0.00403,0.003646,0.003967,117167000,2048650
SC,4,5,106,73,3,4,0.004736,0.0048130000000000004,0.0038450000000000003,0.00386,114103000,3325030
SC,3,7,964,996,9,3,0.004814,0.005083,0.004615,0.004736,140090000,4495580
SC,2,2,2,1,1,2,0.0048,0.004884,0.004487,0.004833,143070000,2746080
SC,0,3,289,377,10,6,0.004835,0.004944,0.004757,0.004823,142880000,1642750
SC,3,5,543,340,9,4,0.00547,0.0055320000000000005,0.004787,0.004807,142521000,3359770
SC,4,5,547,162,17,2,0.00511,0.005501,0.005056000000000001,0.00547,162295000,2108370
SC,1,2,159,84,8,2,0.004949,0.005175,0.004695,0.005106,151600000,1529170
SC,3,5,127,68,11,2,0.00492,0.00502,0.004849,0.00495,147116000,1296180
SC,0,0,161,89,8,1,0.004901,0.005166,0.004831,0.004952000000000001,147326000,1656930
SC,1,6,39,15,6,2,0.0051340000000000005,0.0055,0.004889,0.004899000000000001,145868000,3713780
SC,1,7,3687,2975,8,2,0.004832,0.005236,0.004751,0.0051600000000000005,153824000,1827980
SC,4,6,213,178,4,1,0.004751,0.005101,0.004716,0.0048200000000000005,143794000,1670690
SC,2,2,573,529,4,2,0.004626,0.004765999999999999,0.004137,0.00474,141589000,3980540
SC,2,3,2473,1750,7,4,0.004635,0.004872,0.004536,0.004599,137483000,1310460
SC,1,4,358,131,11,1,0.004606,0.004683,0.004437,0.004635,138650000,1088520
SC,1,1,1,1,1,2,0.004163,0.00464,0.004115,0.004619,138272000,2653770
SC,1,3,927,560,4,3,0.00421,0.004259000000000001,0.003942,0.004143,124147000,2599510
SC,0,1,111,34,4,0,0.004212,0.004246,0.004006,0.004187,125547000,1702950
SC,1,2,0,0,0,4,0.0047009999999999994,0.004879,0.0041140000000000005,0.00419,125731000,3492210
SC,2,3,33,0,1,4,0.0044740000000000005,0.004746,0.004273,0.004683,140622000,3014630
SC,2,5,116,78,5,5,0.004265,0.004501,0.004025,0.004435000000000001,133274000,2849190
SC,0,2,34,4,1,2,0.004138,0.0043170000000000005,0.004053,0.004267,128338000,1374980
SC,0,0,0,0,0,1,0.004155,0.004192,0.003904,0.0041789999999999996,125821000,1160240
SC,3,4,143,4,5,1,0.004302,0.00484,0.003926,0.004128,124383000,4150350
SC,0,0,69,39,4,0,0.004419,0.004489,0.004122,0.004246,128056000,1909010
SC,2,3,54,13,4,5,0.0042450000000000005,0.004424,0.0039759999999999995,0.0043950000000000005,132652000,1273150
SC,0,1,101,3,2,3,0.004019,0.0042450000000000005,0.003958,0.004219,127444000,1138080
SC,0,0,0,0,0,2,0.0037939999999999996,0.00417,0.0036340000000000005,0.004076,123213000,1658580
SC,0,1,0,0,0,4,0.003667,0.003832,0.0035189999999999996,0.003815,115430000,1590810
SC,0,1,0,0,0,1,0.0037450000000000005,0.003812,0.0035770000000000003,0.003668,111094000,1082130
SC,2,3,3,5,3,1,0.00349,0.003788,0.0034340000000000004,0.0037689999999999998,114254000,995359
SC,3,7,218,82,7,4,0.003971,0.004361,0.00337,0.003514,106599000,3220020
SC,0,0,1,1,1,4,0.0038740000000000003,0.0040490000000000005,0.003807,0.003988,121082000,1247090
SC,2,3,442,259,5,4,0.0037670000000000004,0.003929,0.003674,0.003875,117748000,1095540
SC,1,2,154,13,2,2,0.003909,0.003933,0.0036710000000000002,0.003796,115427000,987929
SC,0,0,8,6,1,0,0.003774,0.003953,0.003713,0.00389,118368000,966081
SC,0,0,0,0,0,4,0.003778,0.003915,0.0037020000000000004,0.0037479999999999996,114111000,2347960
SC,0,0,9,9,1,3,0.003752,0.0038810000000000003,0.0036659999999999996,0.0037979999999999997,115740000,977199
SC,0,2,23,12,1,5,0.0036130000000000003,0.003812,0.003547,0.003761,114690000,1292710
SC,0,0,272,209,2,1,0.003638,0.0036869999999999997,0.003435,0.003672,112061000,1359750
SC,2,2,439,244,13,3,0.0036560000000000004,0.003846,0.003144,0.003607,110146000,2954490
SC,2,4,200,173,3,1,0.003563,0.0036950000000000004,0.003387,0.0036869999999999997,112677000,1080100
SC,0,0,0,0,0,2,0.0035479999999999995,0.0037229999999999997,0.003447,0.003571,109213000,1311410
SC,0,1,0,0,0,1,0.00344,0.003573,0.0033810000000000003,0.003507,107352000,955835
SC,0,0,0,0,0,2,0.0036609999999999998,0.003718,0.0034289999999999998,0.0034289999999999998,105052000,1927920
SC,2,2,40,9,4,1,0.003682,0.0038350000000000003,0.003564,0.003654,112034000,1010300
SC,0,2,248,193,8,5,0.003961999999999999,0.004144,0.003488,0.0036710000000000002,112637000,3688710
SC,0,0,0,0,0,3,0.005046,0.005323,0.003805,0.0039570000000000004,121524000,6458570
SC,0,0,0,0,0,7,0.004225,0.005109000000000001,0.003972,0.004951,152191000,3780520
SC,0,1,0,0,0,2,0.004386,0.0044859999999999995,0.003975,0.004177,128486000,2266800
SC,0,1,0,0,0,1,0.0037530000000000003,0.004476,0.003654,0.004389,135150000,2611240
SC,1,3,75,2,1,3,0.0039759999999999995,0.004313,0.00371,0.0037920000000000002,116896000,1851930
SC,0,2,0,0,0,2,0.004163,0.004188,0.003832,0.004014,123807000,1872000
