symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
STEEM,2,2,3,0,1,2,1.0,1.04,0.948211,0.950098,222636000,2472990
STEEM,4,7,577,157,16,0,1.32,1.34,1.0,1.0,235431000,5171210
STEEM,1,2,1,1,1,3,1.3,1.46,1.17,1.32,310132000,9131440
STEEM,0,0,0,0,0,3,1.3,1.35,1.18,1.29,303356000,4379190
STEEM,1,2,1,0,1,4,1.72,1.73,1.28,1.28,300712000,11290300
STEEM,6,11,641,190,9,4,2.6,2.74,1.44,1.72,403229000,46267200
STEEM,2,2,1035,526,16,4,2.09,2.61,1.89,2.61,611817000,30080400
STEEM,5,10,115,42,10,4,2.36,2.37,2.04,2.14,501907000,11297400
STEEM,0,1,179,67,5,7,2.49,2.8,2.3,2.36,551073000,18823000
STEEM,0,1,4,4,1,4,2.24,2.72,2.2,2.5,585447000,14081000
STEEM,0,1,0,0,0,1,2.45,2.48,2.19,2.22,519354000,7880470
STEEM,3,5,8,9,5,2,2.08,2.48,1.97,2.46,575391000,7957900
STEEM,1,2,5,5,2,4,2.37,2.45,2.05,2.08,487061000,8685200
STEEM,1,2,1345,350,4,3,1.97,2.44,1.87,2.37,556000000,6150010
STEEM,0,2,72,50,1,2,2.03,2.1,1.64,1.98,464118000,4992090
STEEM,1,2,2,2,2,2,2.08,2.11,1.91,2.03,476585000,3660240
STEEM,0,1,0,0,0,1,2.04,2.1,2.01,2.09,490186000,3062660
STEEM,0,0,0,0,0,4,2.0,2.07,1.98,2.04,479184000,3193610
STEEM,1,1,0,0,0,3,2.12,2.24,1.98,2.0,469892000,8208350
STEEM,1,3,0,65,1,2,2.04,2.21,1.93,2.12,498126000,7175230
STEEM,1,2,466,286,3,5,1.98,2.06,1.85,2.04,478660000,4478590
STEEM,4,7,78,4,3,6,2.01,2.01,1.89,1.98,465514000,2838420
STEEM,1,1,0,0,0,8,2.17,2.24,1.95,2.01,472276000,3754720
STEEM,0,1,0,0,0,3,2.06,2.24,2.02,2.17,509365000,2735200
STEEM,0,2,0,0,0,1,1.89,2.11,1.8,2.05,481633000,3225560
STEEM,0,4,39,20,1,9,1.8,2.01,1.46,1.89,445388000,5791180
STEEM,7,13,510,307,19,3,1.78,1.82,1.48,1.8,423370000,3648900
STEEM,0,2,6,4,2,1,1.92,1.96,1.71,1.81,425000000,2796140
STEEM,0,1,0,0,0,2,1.75,1.93,1.71,1.92,452171000,2264590
STEEM,0,2,2,68,2,1,1.66,1.78,1.63,1.75,412648000,1242450
STEEM,0,0,0,0,0,2,1.59,1.68,1.55,1.66,390124000,1223870
STEEM,0,0,0,0,0,1,1.64,1.66,1.53,1.6,376228000,1589740
STEEM,1,1,41,232,3,3,1.64,1.67,1.58,1.64,386172000,1531800
STEEM,1,1,8,4,1,1,1.85,1.87,1.63,1.63,385199000,2692650
STEEM,1,1,13,5,3,4,1.8,1.89,1.74,1.87,440681000,2594160
STEEM,1,3,8,8,3,7,1.85,1.89,1.78,1.8,424257000,1741770
STEEM,1,1,13,9,3,1,1.52,1.88,1.52,1.86,438453000,2576860
STEEM,0,1,0,0,0,5,1.69,1.7,1.39,1.52,359178000,2323660
STEEM,0,0,0,0,0,5,1.53,1.72,1.52,1.7,400422000,1273150
STEEM,0,2,0,0,0,2,1.26,1.55,1.18,1.54,363504000,2718830
STEEM,1,2,0,0,0,2,1.13,1.33,0.9724860000000001,1.24,292641000,3648840
STEEM,0,1,0,0,0,4,1.36,1.36,1.07,1.13,266730000,2211440
STEEM,0,2,0,0,0,1,1.16,1.37,1.12,1.36,321600000,1580660
