symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
STRAT,4,8,217,163,11,0,6.0,6.12,5.04,5.2,511918000,17263800
STRAT,4,5,192,109,11,0,8.68,9.21,5.85,6.0,590322000,61652500
STRAT,0,0,0,0,0,0,9.3,11.68,8.61,8.62,848350000,76687700
STRAT,0,0,0,0,0,0,10.48,10.85,8.13,9.02,887171000,40558300
STRAT,3,5,29,22,5,0,10.4,11.26,10.03,10.56,1039320000,29752700
STRAT,4,4,244,313,8,0,10.62,11.1,9.87,10.48,1031430000,24926500
STRAT,1,1,273,204,6,0,9.39,11.13,8.94,10.45,1028700000,22802600
STRAT,2,2,89,75,6,0,9.36,9.76,8.89,9.47,931815000,17328100
STRAT,4,4,275,88,8,0,8.6,10.54,8.54,9.33,917966000,25801700
STRAT,0,0,0,0,0,0,7.11,8.83,6.97,8.6,846058000,37558500
STRAT,0,0,0,0,0,0,8.7,9.61,6.46,7.0,688678000,40501000
STRAT,1,3,6,5,1,0,7.49,9.61,6.98,8.64,850720000,19884300
STRAT,2,3,166,76,5,0,9.46,9.55,7.4,7.4,727868000,24455300
STRAT,1,1,12,0,2,0,8.07,10.08,7.64,9.38,922947000,18743800
STRAT,4,4,219,155,8,0,7.96,8.4,6.58,8.09,796567000,11399100
STRAT,2,4,836,360,12,0,8.09,8.2,7.51,7.97,784397000,10005000
STRAT,0,0,0,0,0,0,7.76,7.97,7.63,7.97,784488000,8056000
STRAT,0,0,0,0,0,0,7.42,7.85,7.31,7.76,763324000,7625120
STRAT,3,4,40,34,2,0,7.7,8.18,7.3,7.45,733745000,14198200
STRAT,1,1,2,0,2,0,7.03,7.84,6.86,7.72,759460000,13751300
STRAT,3,3,250,10,9,0,6.98,7.67,6.64,7.07,695668000,13564400
STRAT,1,1,126,142,2,0,7.12,7.27,6.85,6.99,687720000,6066790
STRAT,0,0,0,0,0,0,8.35,8.49,6.9,7.14,702458000,8762870
STRAT,0,0,0,0,0,0,7.69,8.56,7.47,8.41,828315000,9579230
STRAT,0,0,0,0,0,0,7.08,7.68,6.66,7.67,754894000,5651070
STRAT,0,0,0,0,0,0,6.36,7.23,5.32,7.1,698652000,9864730
STRAT,3,3,933,812,6,0,6.68,6.85,5.4,6.62,651371000,8249570
STRAT,1,1,9,14,4,0,6.97,7.26,6.22,6.71,660817000,6790860
STRAT,1,2,2,2,2,0,6.59,7.02,6.17,6.97,685773000,6378180
STRAT,0,0,0,0,0,0,6.3,6.78,6.22,6.58,648016000,4946910
STRAT,0,0,0,0,0,0,5.55,6.4,5.54,6.29,618999000,4750540
STRAT,0,0,0,0,0,0,5.88,6.04,5.28,5.59,550593000,5537910
STRAT,1,1,270,43,7,0,5.95,6.05,5.63,5.82,573245000,5280130
STRAT,0,0,0,0,0,0,6.32,6.54,5.94,5.97,587765000,6141920
STRAT,1,2,10,7,1,0,5.99,6.32,5.83,6.31,621293000,5158460
STRAT,3,3,1009,827,15,0,6.22,6.29,5.84,5.99,589414000,7169490
STRAT,5,5,730,610,16,0,4.92,6.25,4.82,6.21,611878000,9364820
STRAT,0,0,0,0,0,0,4.95,4.95,4.32,4.93,485542000,9638480
STRAT,0,0,0,0,0,0,4.28,5.19,4.28,4.97,489388000,4576640
STRAT,2,2,133,237,12,0,3.04,4.32,2.67,4.24,417352000,19098300
STRAT,3,3,48,44,5,0,2.98,3.53,2.34,3.06,301381000,23622700
STRAT,3,9,116,74,5,0,4.35,4.35,2.66,2.97,292008000,18375700
STRAT,4,4,186,68,6,0,3.68,4.37,3.42,4.35,428182000,13810600
STRAT,0,0,0,0,0,0,3.29,3.66,2.99,3.66,360072000,9898950
STRAT,0,0,0,0,0,0,3.19,3.29,2.87,3.29,324366000,5250730
STRAT,0,0,0,0,0,0,2.88,3.26,2.5,3.15,310564000,5474900
STRAT,1,3,251,59,14,0,3.88,3.9,2.86,2.87,282410000,8947560
STRAT,4,4,317,116,9,0,4.18,4.8,3.59,3.9,383676000,15771000
STRAT,4,5,114,73,11,0,3.85,4.63,3.82,4.22,415559000,8872790
STRAT,3,3,321,164,15,0,5.38,5.38,3.87,3.87,380850000,11643300
STRAT,2,4,0,0,0,0,6.22,6.27,5.22,5.39,530496000,18578500
STRAT,0,0,0,0,0,0,6.78,7.15,6.25,6.28,618085000,20602100
STRAT,0,0,0,0,0,0,6.17,6.96,5.94,6.8,669425000,12522100
STRAT,3,3,16,22,2,0,5.77,6.35,5.65,6.16,607093000,10593700
STRAT,3,4,14,17,4,0,4.82,5.92,4.31,5.76,567608000,20657700
STRAT,1,1,818,572,13,0,5.06,5.37,4.57,4.83,475864000,12565800
STRAT,1,2,48,9,1,0,4.97,5.34,4.74,5.11,503595000,10071100
STRAT,0,1,0,0,0,0,4.61,5.04,4.33,5.0,491910000,15690500
STRAT,0,0,0,0,0,0,5.22,5.22,4.4,4.59,451636000,11185800
STRAT,0,0,0,0,0,0,4.85,5.2,4.75,5.2,511780000,8457590
STRAT,1,2,86,40,3,0,5.0,5.13,4.66,4.84,476325000,8754770
STRAT,2,2,182,34,8,0,5.92,5.98,4.94,5.02,494159000,12038300
STRAT,3,9,737,190,19,17,5.57,6.0,5.4,5.91,582364000,9212420
STRAT,8,11,30,24,5,49,6.04,6.08,5.53,5.61,552183000,9794660
STRAT,0,1,0,0,0,10,6.61,6.62,5.86,6.04,595242000,13083500
STRAT,0,0,11,0,1,4,7.12,7.49,6.58,6.6,650402000,22170600
STRAT,0,0,85,50,1,4,6.72,7.42,6.68,7.13,701954000,12383900
STRAT,0,1,96,50,2,1,7.62,7.71,6.56,6.75,664642000,19820000
STRAT,1,1,14,8,2,4,7.87,8.34,7.45,7.63,751997000,21843100
STRAT,3,8,810,824,4,1,7.53,7.93,7.33,7.84,771777000,15452600
STRAT,1,4,0,4,2,0,7.91,8.87,7.2,7.49,737685000,39078900
STRAT,0,1,0,0,0,0,7.58,8.25,7.45,8.07,794844000,24356200
STRAT,0,0,0,0,0,0,6.79,7.83,6.49,7.61,750072000,25362400
STRAT,0,0,0,0,0,0,6.52,7.38,6.21,6.73,662468000,24769900
STRAT,0,1,0,0,0,0,6.05,6.81,5.47,6.53,643558000,25360200
STRAT,2,3,26,40,5,0,6.09,7.05,5.64,6.06,596646000,29168700
STRAT,1,1,0,0,0,0,6.05,6.62,5.97,6.13,603644000,19390300
STRAT,0,0,0,0,0,0,6.15,6.52,5.83,6.1,600694000,18775000
STRAT,0,0,0,0,0,0,5.62,6.19,5.36,6.12,602570000,15643400
STRAT,0,0,0,0,0,1,5.66,5.67,4.87,5.61,552835000,17616500
STRAT,0,0,0,0,0,0,5.73,5.96,5.43,5.66,557626000,13936500
STRAT,0,0,0,0,0,0,5.47,5.78,5.27,5.72,563415000,14688000
STRAT,0,0,0,0,0,0,5.68,5.68,4.79,5.42,533582000,11947300
STRAT,2,2,14,18,4,0,5.88,6.93,5.55,5.67,558913000,35363700
STRAT,1,1,0,0,0,0,6.0,6.41,5.9,5.93,583904000,14075900
STRAT,2,2,12,12,2,1,6.06,6.16,5.79,6.03,593706000,13223700
STRAT,0,0,0,0,0,0,6.3,6.4,5.89,6.04,594785000,13291900
STRAT,0,0,0,0,0,1,6.97,7.63,6.29,6.3,620679000,24137600
STRAT,1,1,0,0,0,0,7.24,7.58,6.62,6.93,683032000,19477300
STRAT,0,0,320,164,2,1,6.96,7.29,6.49,7.27,715769000,18303600
STRAT,2,2,14,14,3,1,7.33,7.35,6.72,6.84,674382000,12604000
STRAT,3,4,0,0,0,0,7.28,7.63,7.11,7.27,716572000,15100200
STRAT,0,3,1293,1343,21,1,7.25,7.78,6.97,7.28,717199000,22610800
STRAT,0,0,0,0,0,2,6.34,7.27,6.18,7.27,716038000,11500400
STRAT,0,0,0,0,0,0,6.59,6.59,5.99,6.36,626826000,8487740
STRAT,0,0,0,0,0,0,5.77,6.74,5.35,6.61,651334000,14669700
STRAT,0,0,0,0,0,0,6.03,6.23,5.11,5.79,570643000,8514110
STRAT,5,5,105,61,8,0,6.22,6.57,5.98,6.07,597983000,5768010
STRAT,1,2,118,68,5,0,6.17,6.25,5.86,6.2,611117000,6362780
STRAT,0,0,97,47,1,0,5.71,6.41,5.37,6.16,607162000,8651120
STRAT,0,0,0,0,0,0,5.76,5.79,5.5,5.72,563845000,3496720
STRAT,0,0,0,0,0,1,5.86,6.04,5.35,5.73,564937000,8637120
STRAT,2,3,19,19,5,1,5.6,6.09,5.52,5.86,577080000,5037870
STRAT,1,1,0,0,0,0,5.53,5.88,5.31,5.62,553334000,8270520
STRAT,2,2,82,24,2,1,5.01,5.53,4.56,5.51,543119000,6572450
STRAT,3,3,178,190,5,1,3.78,5.08,3.75,5.01,494028000,6121560
STRAT,2,3,70,66,12,0,4.62,4.67,3.04,3.8,374266000,8004530
STRAT,0,0,0,0,0,0,4.39,4.81,4.17,4.61,454539000,4687280
STRAT,0,0,0,0,0,0,4.44,4.66,4.05,4.39,432583000,3432560
STRAT,0,0,0,0,0,1,5.37,5.63,4.45,4.46,439359000,12693200
STRAT,0,0,0,0,0,0,4.85,5.37,4.8,5.35,527507000,8821170
STRAT,3,3,14,12,4,0,4.75,5.42,4.68,4.84,476755000,8585630
STRAT,0,0,253,233,8,0,4.03,4.78,3.91,4.73,466613000,6825670
STRAT,0,0,0,0,0,0,3.93,4.25,3.79,4.03,397230000,4174410
STRAT,0,0,0,0,0,0,4.23,4.32,3.88,3.94,388161000,3462380
STRAT,0,0,0,0,0,1,3.97,4.22,3.95,4.19,412920000,2751840
STRAT,1,1,15,12,3,0,4.25,4.29,3.96,3.98,392654000,4692290
STRAT,1,2,513,1390,11,1,4.39,4.56,4.12,4.23,416859000,6399530
STRAT,0,3,142,74,2,0,4.77,4.84,4.36,4.4,433440000,7465230
STRAT,0,3,195,179,3,0,4.79,5.04,4.69,4.77,469867000,7847200
STRAT,2,2,14,14,3,0,4.47,4.88,4.39,4.78,471559000,7038430
STRAT,0,0,0,0,0,0,4.44,4.62,4.4,4.47,440203000,6061940
STRAT,1,1,0,0,0,1,4.13,4.52,4.09,4.47,440100000,7993490
STRAT,0,1,0,0,0,0,3.91,4.32,3.8,4.12,406341000,8607690
STRAT,3,3,76,68,7,0,3.81,4.01,3.38,3.91,385143000,13060300
STRAT,0,1,4,22,1,2,3.64,3.98,3.52,3.8,374747000,7099310
STRAT,7,7,2,3,3,0,3.56,3.69,3.44,3.64,359209000,3814770
STRAT,0,3,14,7,3,0,3.69,3.86,3.55,3.55,350388000,3894190
STRAT,0,0,0,0,0,2,3.92,4.02,3.54,3.69,363891000,7693060
STRAT,0,0,0,0,0,1,3.51,4.14,3.45,3.9,384053000,9186260
STRAT,0,0,244,198,7,3,3.35,3.71,3.15,3.53,347588000,7796190
STRAT,1,1,17,17,1,2,3.4,3.57,3.32,3.36,331471000,4880590
STRAT,2,2,17,17,1,0,3.51,3.59,3.4,3.41,335756000,4683540
STRAT,0,0,588,1369,3,0,3.12,3.52,3.12,3.52,346797000,8527240
STRAT,2,3,423,106,5,0,3.14,3.34,3.0,3.13,308920000,8455320
STRAT,1,1,35,9,1,0,2.85,3.14,2.7,3.14,309165000,7843710
STRAT,0,0,0,0,0,0,3.01,3.06,2.76,2.86,282387000,6180240
STRAT,1,1,6,3,1,0,2.98,3.09,2.8,3.01,296889000,6688310
STRAT,1,1,266,240,3,0,3.06,3.07,2.87,2.98,293352000,6242700
STRAT,0,0,261,278,4,0,3.22,3.36,2.9,3.06,301767000,14079200
STRAT,0,8,0,0,0,0,3.09,3.34,3.04,3.22,317024000,7054550
STRAT,4,4,1464,420,11,0,2.96,3.29,2.94,3.09,304362000,7724320
STRAT,0,0,0,0,0,0,3.02,3.18,2.67,2.99,294448000,6529230
STRAT,0,0,0,0,0,0,3.15,3.39,2.87,3.04,299843000,9563480
STRAT,3,3,2380,3092,12,0,3.38,3.76,3.08,3.15,310956000,21784500
STRAT,2,4,27,13,1,1,4.0,4.03,3.23,3.35,330667000,17175100
STRAT,1,1,27,13,1,0,4.92,5.04,3.81,4.04,398709000,27633500
STRAT,0,1,214,54,2,0,4.39,5.04,3.98,4.96,488616000,30372000
STRAT,0,2,0,0,0,0,4.4,4.76,4.19,4.43,436841000,14107600
STRAT,0,2,0,0,0,0,4.29,4.61,4.21,4.39,432962000,9976150
STRAT,0,0,0,0,0,2,4.04,4.51,4.03,4.26,420386000,13787600
STRAT,3,3,36,22,3,0,3.82,4.53,3.76,4.08,402732000,13256800
STRAT,0,0,55,33,3,1,3.36,3.79,3.31,3.79,373355000,13957800
STRAT,2,2,142,30,6,0,3.08,3.4,3.04,3.36,331704000,9835120
STRAT,1,1,2,86,2,1,2.88,3.16,2.41,3.04,299839000,21011000
STRAT,1,1,0,0,0,1,3.13,3.29,2.7,2.84,279668000,10273500
STRAT,0,0,0,0,0,0,2.99,3.26,2.94,3.12,307484000,7783710
STRAT,0,0,0,0,0,0,3.04,3.15,2.89,3.0,295342000,6526060
STRAT,0,0,0,0,0,0,3.01,3.14,2.97,3.04,300055000,7091170
STRAT,1,1,20,20,3,0,3.02,3.05,2.93,3.01,296727000,4708950
STRAT,0,2,190,48,6,0,3.53,3.76,2.91,3.01,297266000,16903800
STRAT,1,2,0,0,0,1,3.75,3.9,3.53,3.54,348838000,11101300
STRAT,1,1,128,12,4,0,3.2,3.84,3.0,3.75,370129000,9130380
STRAT,0,0,0,0,0,0,3.3,3.37,3.01,3.17,312651000,6948770
STRAT,0,0,0,0,0,0,2.88,3.3,2.72,3.3,325278000,7494210
STRAT,1,2,78,114,4,0,3.22,3.27,2.86,2.87,282633000,6844240
STRAT,2,2,1,1,1,1,3.61,3.71,3.24,3.24,319047000,11279900
STRAT,2,4,91,39,6,0,3.73,3.83,3.49,3.6,354607000,11132600
STRAT,0,1,14,5,1,0,3.31,3.75,3.27,3.74,369318000,9418140
STRAT,2,3,248,395,7,0,3.36,3.57,3.22,3.3,325909000,7115310
STRAT,0,0,0,0,0,1,3.5,3.53,3.29,3.37,332566000,6673990
STRAT,0,0,0,0,0,0,3.46,3.71,3.4,3.5,344757000,9062750
STRAT,1,2,0,0,0,0,3.48,3.54,3.42,3.45,340139000,6356620
STRAT,3,3,136,89,8,0,3.46,3.88,3.27,3.49,344218000,10210100
STRAT,2,2,452,139,10,0,3.73,3.75,3.46,3.48,343618000,8231210
