symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
WAVES,2,2,343,366,4,0,3.44,3.53,2.93,2.94,294035000,3224130
WAVES,1,1,313,333,9,0,4.53,4.64,3.4,3.4,340371000,4988350
WAVES,0,0,0,0,0,3,5.19,6.51,4.61,4.69,468617000,10124100
WAVES,0,0,0,0,0,0,5.35,5.58,4.44,5.16,516357000,4447070
WAVES,1,1,1352,1778,7,0,5.64,5.69,5.24,5.33,533405000,3095220
WAVES,1,1,496,476,2,1,5.51,5.69,4.94,5.69,568531000,4467540
WAVES,3,3,3474,1239,39,1,5.27,5.48,4.86,5.48,548427000,2448950
WAVES,3,3,386,341,12,4,5.82,5.92,5.09,5.29,528517000,2984740
WAVES,2,2,242,238,6,0,6.34,7.0,5.74,5.82,581550000,3963370
WAVES,0,0,0,0,0,2,5.82,7.01,5.5,6.34,634469000,5124700
WAVES,0,0,0,0,0,0,6.32,6.4,5.63,5.67,566858000,2939820
WAVES,0,1,0,0,0,1,5.36,6.49,4.94,6.31,631105000,2913670
WAVES,4,4,544,709,4,1,5.77,5.86,5.23,5.33,532627000,2666350
WAVES,1,1,5140,8464,73,0,5.09,6.0,4.99,5.82,582270000,2377380
WAVES,1,1,308,362,3,0,5.28,5.36,4.34,5.09,508817000,3132730
WAVES,4,5,148,113,10,2,5.16,5.42,4.95,5.28,527868000,1920540
WAVES,0,0,0,0,0,1,5.18,5.38,5.03,5.16,516262000,2057140
WAVES,0,0,0,0,0,0,4.99,5.33,4.98,5.17,517299000,1459430
WAVES,3,3,2360,5559,10,1,5.15,5.3,4.93,5.02,502246000,3298260
WAVES,3,3,408,375,12,1,5.07,5.33,4.93,5.15,514943000,3440970
WAVES,1,1,107,57,3,0,4.89,5.12,4.87,5.06,506126000,2505130
WAVES,0,0,30,17,2,1,4.92,5.05,4.8,4.91,490781000,2058720
WAVES,0,0,0,0,0,0,5.21,5.36,4.81,4.91,491211000,2166710
WAVES,0,0,0,0,0,0,4.86,5.34,4.73,5.21,521488000,2400890
WAVES,0,1,0,0,0,1,4.62,4.96,4.45,4.88,488443000,3048820
WAVES,3,4,457,206,4,0,3.83,4.65,3.53,4.64,464448000,6562970
WAVES,1,1,1478,1511,17,3,4.29,4.31,3.66,3.95,395139000,2439380
WAVES,4,4,42,50,8,0,4.24,4.34,4.03,4.31,431391000,2772690
WAVES,1,1,458,590,7,0,3.91,4.28,3.9,4.24,423977000,1639660
WAVES,0,0,13,10,1,4,3.57,3.97,3.51,3.95,394515000,2036280
WAVES,0,0,0,0,0,2,3.7,4.08,3.53,3.57,357030000,2615170
WAVES,0,0,0,0,0,0,3.62,3.71,3.51,3.7,369637000,2239090
WAVES,2,2,3180,1877,57,1,3.81,3.87,3.48,3.61,361116000,2625710
WAVES,4,4,1512,966,26,1,4.32,4.49,3.75,3.79,378985000,5214290
WAVES,1,1,346,316,5,0,4.56,4.79,4.28,4.32,431855000,5733020
WAVES,1,1,924,1046,14,0,4.34,4.65,4.24,4.58,457740000,2939230
WAVES,0,0,1016,1012,10,0,3.77,4.36,3.71,4.33,432714000,2631630
WAVES,0,0,0,0,0,0,3.93,3.93,3.5,3.79,379403000,1412280
WAVES,0,0,0,0,0,0,3.75,3.94,3.75,3.92,392118000,1225380
WAVES,2,2,2019,1432,37,1,2.82,3.76,2.73,3.74,373806000,2638830
WAVES,3,3,3725,3579,19,0,2.59,2.96,2.49,2.79,278827000,3152450
WAVES,6,6,2247,3090,25,1,3.05,3.05,2.42,2.59,258727000,1930340
WAVES,1,1,1768,1797,13,1,2.9,3.09,2.72,3.05,305263000,1734160
WAVES,2,2,2329,1111,12,1,2.43,2.89,2.33,2.89,289495000,2439500
WAVES,0,0,0,0,0,0,2.04,2.43,1.98,2.43,242705000,2860750
WAVES,0,2,0,0,0,1,1.97,2.06,1.77,2.01,201211000,1677160
WAVES,5,5,292,288,16,1,2.52,2.52,1.94,1.97,196939000,1909110
WAVES,2,2,481,282,13,0,2.83,2.95,2.38,2.52,252329000,2325000
WAVES,1,2,358,226,10,1,2.64,2.87,2.53,2.83,282847000,2096680
WAVES,4,4,755,544,15,1,3.25,3.43,2.61,2.61,260970000,2164540
WAVES,2,2,450,197,12,0,3.24,3.44,3.13,3.26,326154000,2167520
WAVES,0,1,0,0,0,1,3.9,4.17,3.23,3.24,324151000,3246480
WAVES,0,0,0,0,0,0,3.65,3.97,3.5,3.9,390012000,2608730
WAVES,4,5,284,205,8,0,3.52,3.71,3.39,3.65,364582000,1813130
WAVES,1,2,637,400,4,0,2.91,3.56,2.76,3.52,351753000,2462600
WAVES,3,4,330,209,8,2,2.74,2.99,2.5,2.92,291623000,3013790
WAVES,0,0,388,237,8,3,2.75,2.84,2.6,2.74,274372000,1889170
WAVES,1,1,1396,3277,19,1,3.0,3.11,2.45,2.76,276459000,3030820
WAVES,0,0,0,0,0,1,2.87,3.06,2.69,2.98,297597000,2116910
WAVES,0,0,0,0,0,0,2.72,2.93,2.72,2.87,286809000,1530680
WAVES,2,2,565,930,19,1,2.78,2.87,2.62,2.74,273812000,2651760
WAVES,3,3,326,458,3,0,3.01,3.11,2.61,2.77,277390000,3257400
WAVES,3,4,455,737,11,1,3.51,3.6,2.96,3.02,302169000,3739710
WAVES,1,1,188,347,7,2,3.84,3.96,3.46,3.54,354471000,4766700
WAVES,0,0,127,46,3,0,3.67,4.13,3.59,3.87,386797000,4324800
WAVES,0,0,0,0,0,0,4.32,4.57,3.65,3.67,367228000,4831480
WAVES,0,0,0,0,0,1,5.21,5.37,4.29,4.32,432028000,7075590
WAVES,0,1,8,7,3,2,5.64,5.75,4.62,5.18,518233000,7792050
WAVES,3,3,448,125,10,0,5.41,5.83,5.04,5.64,564066000,6867910
WAVES,1,2,674,402,4,0,5.27,5.45,4.9,5.38,538244000,4960110
WAVES,3,3,2260,601,27,0,5.6,5.63,5.15,5.24,524375000,7501860
WAVES,2,2,223,195,8,2,5.54,5.78,5.13,5.6,560241000,7567900
WAVES,0,0,0,0,0,0,5.05,5.58,4.89,5.58,557670000,6782250
WAVES,1,1,6,4,1,1,4.79,5.28,4.63,5.05,504705000,5823330
WAVES,3,3,251,115,6,0,4.72,5.04,4.54,4.83,483469000,5089710
WAVES,3,4,1522,399,13,0,4.79,5.16,4.31,4.73,473033000,5107560
WAVES,2,2,600,261,10,2,4.83,4.96,4.58,4.8,479668000,2607640
WAVES,3,3,342,109,8,1,4.58,4.95,4.46,4.81,481390000,2609230
WAVES,3,3,5,5,2,1,4.3,4.73,4.1,4.57,456631000,2588840
WAVES,0,0,0,0,0,1,4.43,4.45,4.1,4.3,429611000,3801000
WAVES,0,0,0,0,0,1,4.86,4.92,4.29,4.43,442870000,4519570
WAVES,0,0,2,3,1,2,4.39,4.88,4.33,4.85,485218000,4064960
WAVES,2,2,2002,1148,18,2,4.46,4.74,3.81,4.38,437971000,3358640
WAVES,1,1,229,71,4,1,4.6,4.82,4.44,4.49,449053000,2989630
WAVES,0,0,422,87,3,1,5.02,5.02,4.55,4.63,463403000,3537820
WAVES,0,0,1353,383,6,1,5.27,5.46,4.94,5.02,502380000,9306450
WAVES,0,0,0,0,0,1,5.32,5.74,5.11,5.28,528242000,9123230
WAVES,0,0,0,0,0,0,5.23,5.51,5.18,5.34,534242000,7212980
WAVES,4,4,1320,1610,21,1,5.26,5.41,5.02,5.22,522486000,7208780
WAVES,5,5,1597,731,19,0,5.45,5.47,5.13,5.27,527066000,7581710
WAVES,0,0,111,70,5,2,5.48,5.49,5.13,5.44,544366000,6659820
WAVES,1,1,0,0,0,3,5.94,5.94,5.38,5.47,546851000,9471090
WAVES,1,1,593,291,8,1,5.74,6.1,5.72,5.95,595498000,9556080
WAVES,0,1,0,0,0,2,5.23,5.87,5.07,5.78,577688000,6608910
WAVES,0,0,0,0,0,3,5.2,5.5,4.99,5.27,526827000,5174780
WAVES,0,0,189,106,5,1,4.66,5.21,4.24,5.2,519570000,8324540
WAVES,6,6,506,265,17,3,4.98,5.1,4.32,4.68,467862000,6194560
WAVES,1,2,200,180,18,0,5.16,5.41,4.93,4.99,499259000,6069650
WAVES,1,1,159,95,6,0,4.98,5.13,4.9,5.1,510327000,6353830
WAVES,2,2,192,148,6,1,4.5,5.03,4.28,4.99,498706000,5899500
WAVES,0,0,0,0,0,1,4.46,4.59,4.37,4.51,451034000,5406880
WAVES,0,0,0,0,0,0,4.41,4.58,3.99,4.45,444828000,5469690
WAVES,1,1,227,141,6,2,4.35,4.57,4.16,4.44,443783000,4908140
WAVES,1,2,558,196,10,0,4.38,4.61,4.26,4.35,434806000,5306860
WAVES,1,1,720,254,14,0,3.95,4.36,3.75,4.36,436202000,4928930
WAVES,2,2,557,154,10,0,3.09,4.05,3.09,3.95,394740000,4470510
WAVES,4,4,668,470,4,1,3.78,3.94,2.8,3.12,311752000,6270110
WAVES,0,0,420,164,2,0,3.76,3.9,3.49,3.77,377410000,4499490
WAVES,0,1,0,0,0,0,3.64,3.81,3.49,3.77,376569000,3406720
WAVES,3,3,1491,900,20,0,4.34,4.4,3.64,3.64,363799000,4080300
WAVES,4,4,4480,1302,14,0,4.16,4.38,4.0,4.36,435701000,3403370
WAVES,3,3,3949,1029,11,0,4.07,4.29,3.96,4.14,413510000,3910370
WAVES,6,6,994,752,16,0,3.64,4.08,3.57,4.05,405445000,2914710
WAVES,2,2,460,281,6,4,3.77,3.84,3.56,3.65,365050000,2723740
WAVES,0,0,0,0,0,1,3.97,3.99,3.71,3.76,375579000,4950050
WAVES,0,0,0,0,0,0,3.97,3.98,3.8,3.97,396513000,5012110
WAVES,7,7,1436,902,18,0,4.23,4.3,3.92,3.97,396943000,5218940
WAVES,5,5,396,369,15,3,4.79,4.86,4.23,4.23,422807000,7713420
WAVES,5,5,731,265,13,3,5.17,5.19,4.77,4.77,477461000,11447500
WAVES,5,6,551,418,13,1,4.78,5.17,4.73,5.17,516674000,8795790
WAVES,0,0,1016,726,18,1,4.93,5.04,4.39,4.77,476743000,8515820
WAVES,0,0,0,0,0,1,5.04,5.2,4.93,4.93,493143000,7480680
WAVES,1,1,141,70,1,1,4.97,5.05,4.84,5.03,502985000,8233020
WAVES,2,2,274,236,8,1,4.85,4.98,4.81,4.97,497344000,7422400
WAVES,1,2,310,297,10,1,4.73,5.0,4.67,4.87,486590000,6975040
WAVES,7,7,2319,1288,37,1,4.91,5.08,4.71,4.74,474477000,8679860
WAVES,4,4,682,436,14,4,4.97,5.04,4.76,4.92,491795000,6804000
WAVES,3,5,154,136,9,2,4.97,5.1,4.91,4.97,497017000,6574960
WAVES,0,0,0,0,0,1,5.02,5.04,4.91,4.96,495816000,6760300
WAVES,0,0,0,0,0,2,4.44,5.04,4.44,5.01,501163000,7717430
WAVES,6,7,775,878,27,0,4.13,4.63,4.01,4.44,443937000,6698160
WAVES,4,5,1502,1314,17,1,4.12,4.26,3.92,4.11,410737000,5675270
WAVES,5,5,1554,1116,25,0,4.18,4.41,4.08,4.11,410915000,7296340
WAVES,11,11,333,251,29,0,3.69,4.2,3.69,4.18,417611000,6289170
WAVES,7,7,472,400,22,1,3.97,4.03,3.59,3.69,369201000,6777070
WAVES,0,0,0,0,0,2,4.0,4.09,3.81,3.98,397686000,5190930
WAVES,0,0,0,0,0,0,3.8,4.02,3.68,4.01,401032000,4384340
WAVES,6,6,608,433,26,1,4.02,4.14,3.65,3.8,380320000,4972740
WAVES,3,3,515,469,18,2,3.92,4.05,3.84,4.04,404005000,4954490
WAVES,2,2,735,51,10,0,4.04,4.1,3.66,3.93,392635000,7283440
WAVES,7,7,1053,772,18,1,3.89,4.12,3.8,4.04,404068000,8840030
WAVES,3,3,904,557,12,0,3.66,3.97,3.63,3.89,389091000,10830100
WAVES,0,0,0,0,0,0,3.58,3.76,3.43,3.64,364477000,10666600
WAVES,0,1,0,0,0,0,3.58,3.66,3.47,3.58,358200000,8491900
WAVES,4,4,398,233,10,1,3.67,3.71,3.35,3.58,358001000,8621370
WAVES,5,5,732,364,14,1,3.76,3.98,3.59,3.67,366774000,8703160
WAVES,0,0,1094,243,3,1,3.7,3.77,3.48,3.76,376245000,8533500
WAVES,1,1,1274,856,9,0,3.62,3.79,3.54,3.72,371705000,8321870
WAVES,2,2,382,325,6,0,3.54,3.68,3.52,3.62,362311000,6714780
WAVES,0,1,0,0,0,0,3.46,3.6,3.45,3.54,354417000,8103840
WAVES,0,0,6,5,2,0,3.54,3.64,3.45,3.46,345825000,9046840
WAVES,3,3,1224,567,11,0,3.48,3.61,3.43,3.55,355140000,8523780
WAVES,3,3,789,669,11,1,3.24,3.5,3.17,3.47,347320000,9895450
WAVES,7,7,3935,1868,32,1,2.89,3.23,2.67,3.23,323419000,11933800
WAVES,6,6,935,603,18,0,3.19,3.95,2.65,2.92,292033000,14949200
WAVES,3,3,801,569,16,3,3.68,3.97,3.02,3.21,320550000,14090800
WAVES,0,0,0,0,0,1,3.62,3.79,3.44,3.65,365254000,11619500
WAVES,0,0,86,61,10,0,3.45,3.62,3.39,3.61,360517000,9798490
WAVES,0,0,1,1,1,3,3.52,3.65,3.36,3.46,345746000,12291000
WAVES,5,5,3230,2566,24,3,3.69,3.72,3.42,3.52,352178000,11312200
WAVES,1,1,917,975,25,2,4.5,4.82,3.67,3.68,368185000,20540000
WAVES,3,3,1165,1342,9,4,4.91,5.22,4.47,4.51,450694000,20982300
WAVES,0,0,12,14,2,0,4.24,5.03,4.09,4.92,491960000,14425500
WAVES,0,0,52,10,1,1,4.12,4.46,4.04,4.23,422815000,12304600
WAVES,1,1,0,0,0,1,3.7,4.13,3.57,4.1,410250000,12279900
WAVES,4,5,1863,1195,20,1,4.4,4.48,3.69,3.69,369368000,12493200
WAVES,5,5,527,260,19,2,5.03,5.09,4.38,4.4,439602000,19374900
WAVES,2,2,553,217,19,0,5.05,5.27,4.8,5.05,505269000,25851400
WAVES,1,1,229,114,2,1,4.76,5.1,4.71,5.07,506504000,24087100
WAVES,0,0,125,74,7,1,4.78,4.97,4.61,4.75,474592000,18777000
WAVES,0,0,104,65,6,0,5.3,5.42,4.65,4.77,476545000,26020400
WAVES,0,0,65,49,2,1,5.12,5.47,5.02,5.28,528278000,20869400
WAVES,1,2,538,465,8,2,5.27,5.42,5.06,5.13,512582000,22272000
WAVES,1,1,2047,2877,22,0,5.19,5.28,4.99,5.26,525616000,23353900
