symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
XMR,2,3,0,0,0,0,43.7,45.52,41.84,41.84,608922000,12849800
XMR,1,3,0,0,0,2,44.0,44.65,43.0,43.74,636754000,9539580
XMR,1,1,0,0,0,4,42.37,44.42,42.16,43.99,640642000,9819610
XMR,2,4,0,0,0,3,42.9,43.42,41.7,42.34,616914000,9805040
XMR,0,0,0,0,0,6,48.26,48.5,42.88,42.88,625055000,16780900
XMR,1,1,0,0,0,5,55.57,55.57,47.12,48.37,705243000,34918400
XMR,2,2,0,0,0,1,52.54,62.38,52.06,55.29,806489000,50623800
XMR,1,2,0,0,0,4,56.19,56.46,51.45,52.91,771963000,14708500
XMR,1,2,0,0,0,3,55.62,57.23,55.29,56.13,819313000,11941600
XMR,1,1,0,0,0,2,52.28,56.25,51.92,55.59,811671000,14465400
XMR,1,1,0,0,0,0,58.7,58.7,51.95,52.37,764939000,15485200
XMR,0,1,0,0,0,2,50.04,59.8,45.78,59.09,863418000,25425000
XMR,2,4,0,0,0,4,51.8,52.87,49.73,49.8,727975000,13362700
XMR,0,1,0,0,0,6,46.3,53.56,44.37,51.98,760132000,12407600
XMR,0,0,0,0,0,4,46.02,47.02,38.75,46.24,676380000,14252000
XMR,1,2,0,0,0,5,48.11,48.24,44.17,45.97,672698000,8711820
XMR,0,0,0,0,0,3,50.46,51.2,48.09,48.19,705427000,15646500
XMR,2,4,0,0,0,5,49.6,51.7,48.98,50.49,739370000,10122000
XMR,1,3,0,0,0,4,49.09,50.67,48.52,49.62,726891000,12502400
XMR,2,2,0,0,0,1,48.08,50.91,47.6,49.03,718495000,15178600
XMR,2,4,0,0,0,5,46.59,48.91,45.54,48.17,706159000,12133900
XMR,2,4,0,0,0,3,47.28,47.8,46.64,46.8,686351000,7443100
XMR,5,7,0,0,0,3,51.41,52.51,46.75,47.45,696116000,11033000
XMR,1,2,0,0,0,3,48.03,51.81,47.3,51.43,754764000,7786220
XMR,3,7,0,0,0,4,45.89,48.73,45.28,47.84,702334000,9156060
XMR,3,3,0,0,0,4,43.49,48.2,39.39,45.9,674032000,17033600
XMR,1,1,0,0,0,2,43.57,44.05,38.51,43.49,638919000,12171600
XMR,5,6,0,0,0,2,47.32,47.41,42.29,43.8,643627000,10812600
XMR,1,1,0,0,0,2,45.02,47.91,44.67,47.04,691512000,11470500
XMR,1,2,0,0,0,5,43.73,45.87,43.48,45.09,663056000,11338900
XMR,1,2,0,0,0,1,40.96,43.98,39.8,43.71,642898000,10673500
XMR,3,5,0,0,0,4,42.79,43.0,40.22,40.94,602361000,12774300
XMR,0,0,0,0,0,3,43.63,44.14,41.82,42.51,625802000,13141000
XMR,2,3,0,0,0,4,45.47,45.53,43.55,43.55,641305000,14850800
XMR,4,5,0,0,0,3,45.72,46.9,44.13,45.3,667353000,15243000
XMR,2,5,0,0,0,3,50.12,50.26,45.88,45.96,677244000,23168300
XMR,1,1,0,0,0,5,44.25,50.65,43.84,50.11,738662000,20324700
XMR,1,3,0,0,0,2,46.1,46.24,41.9,44.17,651286000,15801900
XMR,0,1,0,0,0,2,44.85,47.0,44.56,46.69,688769000,12681200
XMR,2,4,0,0,0,2,40.01,45.12,38.84,44.91,662645000,14633300
XMR,1,1,0,0,0,1,37.14,40.73,35.34,40.25,594108000,17988200
XMR,1,3,0,0,0,3,40.39,40.75,35.51,36.89,544765000,15785600
XMR,1,1,0,0,0,1,38.23,40.74,37.2,40.43,597277000,9969180
XMR,0,2,0,0,0,2,35.48,38.33,34.22,38.08,562680000,9558140
XMR,2,2,128,0,2,3,32.09,35.57,31.37,35.57,525794000,9718770
XMR,0,1,0,0,0,1,29.43,32.53,28.83,31.97,472681000,12434100
XMR,0,5,0,0,0,3,34.83,34.98,29.46,29.47,435925000,13708900
XMR,0,1,0,0,0,1,36.38,37.92,33.38,34.89,516217000,9949120
XMR,1,1,0,0,0,3,35.06,37.59,34.37,36.47,539762000,6994230
XMR,0,1,0,0,0,1,40.3,41.01,34.89,34.89,516643000,14905700
XMR,2,4,0,0,0,0,40.34,41.43,39.53,40.55,600573000,9572580
XMR,3,4,0,0,0,0,44.71,44.76,40.15,40.25,596297000,9028920
XMR,1,3,0,0,0,1,42.67,44.78,41.44,44.64,661581000,8634060
XMR,6,8,0,0,0,3,45.58,45.76,41.86,42.66,632493000,12102100
XMR,3,4,0,0,0,3,40.68,45.84,38.24,45.55,675620000,12706300
XMR,1,3,0,0,0,3,45.8,46.44,38.6,40.73,604269000,26033100
XMR,6,7,0,0,0,2,45.24,46.74,43.93,45.92,681502000,15960700
XMR,0,1,0,0,0,4,43.96,45.79,42.74,45.29,672368000,18694500
XMR,5,6,0,0,0,3,43.89,44.37,42.19,43.69,648884000,7053810
XMR,5,6,0,0,0,4,39.62,43.95,39.55,43.95,652927000,11709500
XMR,6,6,0,0,0,2,39.84,40.68,38.94,39.67,589540000,13138500
XMR,4,4,0,0,0,2,44.15,45.04,39.81,39.88,592886000,17363300
XMR,5,6,0,0,0,2,43.63,44.78,42.78,44.08,655515000,8111580
