symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
XRB,0,0,0,0,0,0,0.033287,0.035224,0.029989,0.030963,2301230,24034
XRB,0,0,0,0,0,0,0.037652,0.040827999999999996,0.032237,0.033302,2488770,46215
XRB,0,1,0,0,0,0,0.037417,0.040677,0.035312,0.037679000000000004,2831340,34608
XRB,0,0,0,0,0,0,0.035264,0.038107999999999996,0.034844,0.037316,2819400,20135
XRB,0,0,0,0,0,0,0.038819,0.040381,0.034879,0.035271,2679340,75174
XRB,0,0,0,0,0,0,0.040414,0.042463,0.037956000000000004,0.040237,3068930,42250
XRB,0,1,0,0,0,0,0.036579,0.041911000000000004,0.036395,0.040458999999999995,3102480,34902
XRB,0,0,0,0,0,0,0.038424,0.047589,0.035158999999999996,0.036763,2834170,43340
XRB,0,0,0,0,0,0,0.037406,0.04595,0.034123,0.038363,2972640,63450
XRB,0,0,1,0,1,0,0.033293,0.038897,0.031708999999999994,0.037461,2918090,23270
XRB,0,0,193,0,2,0,0.036007,0.037989999999999996,0.032139,0.033105,2592390,23947
XRB,0,0,0,0,0,0,0.029852999999999998,0.037682,0.027718,0.035959,2830620,36095
XRB,0,1,0,0,0,1,0.036417000000000005,0.039663,0.027275999999999998,0.029550999999999997,2338330,66862
XRB,0,1,95,4,1,1,0.046044999999999996,0.0693,0.035241,0.036394,2894750,207567
XRB,0,1,0,0,0,1,0.059504999999999995,0.065085,0.037602,0.04553,3640100,328398
XRB,0,1,0,0,0,0,0.12041400000000001,0.122834,0.057009000000000004,0.057009000000000004,4581190,338468
XRB,0,0,0,0,0,0,0.121472,0.12378399999999999,0.090239,0.11820499999999999,9547370,319681
XRB,1,1,0,0,0,0,0.158883,0.178446,0.119601,0.119601,9709210,517619
XRB,1,1,103,10,4,0,0.14266600000000002,0.16706500000000002,0.10536500000000001,0.155936,12722900,335037
XRB,1,1,700,1236,14,0,0.103996,0.143024,0.096924,0.143023,11728000,226922
XRB,2,2,1385,75,15,0,0.089661,0.12350599999999999,0.084016,0.103999,8570680,207559
XRB,0,0,96,5,5,0,0.10543800000000002,0.10543800000000002,0.06188,0.089661,7425880,77651
XRB,0,0,98,27,2,1,0.110624,0.134756,0.101765,0.10571900000000001,8799230,117141
XRB,0,0,24,24,4,1,0.105755,0.120075,0.09981699999999999,0.11060899999999999,9251650,74785
XRB,0,0,0,0,0,0,0.09240599999999999,0.10926500000000001,0.083264,0.105512,8868610,104551
XRB,1,1,23,2,1,0,0.066065,0.095027,0.058205999999999994,0.09235800000000001,7800870,82802
XRB,2,2,48,24,2,1,0.069492,0.073257,0.057925,0.067089,5691830,95160
XRB,0,1,0,0,0,1,0.087052,0.092258,0.068372,0.070003,5970110,93644
XRB,0,0,0,0,0,0,0.076797,0.088548,0.076062,0.08697300000000001,7453070,54263
XRB,1,1,150,47,4,0,0.072368,0.077886,0.0693,0.076164,6558070,62155
XRB,0,0,54,14,2,0,0.062672,0.073108,0.050515,0.072344,6258840,48636
XRB,0,0,0,0,0,1,0.063454,0.074151,0.055107,0.06266000000000001,5446730,34984
XRB,0,1,210,242,8,0,0.060275,0.06517,0.048195999999999996,0.06399500000000001,5589120,60776
XRB,0,0,43,29,1,0,0.052088,0.061926,0.047547000000000006,0.060145000000000004,5277460,55777
XRB,0,0,0,0,0,0,0.056764999999999996,0.058080999999999994,0.050378,0.052064,4589790,58989
XRB,0,0,0,0,0,2,0.057865,0.061213,0.055725,0.056792999999999996,5029930,70069
XRB,0,0,58,35,1,0,0.053479,0.06627899999999999,0.053163,0.057887,5150470,58629
XRB,0,0,0,0,0,0,0.047166,0.053564999999999995,0.046544999999999996,0.053520000000000005,4783760,29952
XRB,0,0,0,0,0,0,0.046331,0.056538,0.043142,0.047208,4238810,24669
XRB,1,1,5,93375,3,0,0.037843,0.054147,0.037073,0.050371,4543420,41936
XRB,0,0,0,0,0,0,0.03318,0.038117000000000005,0.032604,0.037759,3421190,54211
XRB,0,0,449,186894,11,1,0.033662,0.033754,0.028907,0.033131,3015360,8416
XRB,0,1,0,0,0,0,0.038031,0.043705,0.03127,0.033685,3079580,7825
