symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
ZCL,0,0,0,0,0,0,4.04,5.51,3.8,4.79,7029110,883649
ZCL,0,0,0,0,0,0,4.02,4.57,3.84,4.11,6049570,291694
ZCL,0,0,0,0,0,0,3.9,4.18,3.89,3.98,5883690,352667
ZCL,0,0,13,2,1,0,3.62,4.06,3.4,3.89,5782440,272173
ZCL,0,0,0,0,0,0,3.6,3.89,3.31,3.48,5201640,339855
ZCL,0,0,24059,4838,6,0,3.77,4.14,3.47,3.66,5491540,293475
ZCL,1,1,1,1,1,0,3.37,3.79,3.36,3.77,5690360,208116
ZCL,0,0,0,0,0,0,4.49,5.27,3.35,3.38,5125960,848275
ZCL,1,1,3456,384,3,0,3.73,4.53,3.36,4.34,6607410,601663
ZCL,0,0,0,0,0,0,3.28,3.89,3.2,3.79,5790230,158222
ZCL,0,0,0,0,0,0,3.57,3.89,3.22,3.28,5039700,173574
ZCL,0,0,0,0,0,0,3.08,3.72,2.84,3.57,5507340,133642
ZCL,0,0,0,0,0,1,3.05,3.25,2.75,3.04,4719290,162700
ZCL,1,1,268,1194,4,0,2.66,3.27,2.59,3.02,4703620,87434
ZCL,0,0,19,8,3,2,2.78,2.86,2.35,2.66,4158370,77441
ZCL,0,0,413,1165,6,0,2.85,3.19,2.64,2.78,4373660,129478
ZCL,1,1,12654,3082,15,0,3.67,3.67,2.85,2.85,4506980,260784
ZCL,1,1,4,0,2,0,3.35,4.22,3.24,3.67,5814340,388365
ZCL,1,1,195,407,6,0,3.14,3.38,3.02,3.35,4536880,228966
ZCL,0,0,183,121,8,1,3.12,3.42,2.89,3.02,4836760,150469
ZCL,0,0,460,881,3,0,2.79,3.14,2.75,3.12,5013900,114113
ZCL,0,0,235,77,6,0,3.05,3.22,2.79,2.79,4507990,127621
ZCL,0,0,57,14,1,0,3.26,3.43,2.84,2.96,4805630,97592
ZCL,0,0,189,81,8,0,3.08,3.38,2.99,3.25,5300400,81339
ZCL,0,0,0,0,0,0,2.95,3.2,2.84,3.08,5033420,127086
ZCL,1,1,0,0,0,1,2.0,3.03,1.65,2.95,4852190,240376
ZCL,0,0,0,0,0,0,2.38,2.48,1.98,2.16,3557860,247305
ZCL,0,0,0,0,0,0,2.29,2.42,2.21,2.39,3964620,87518
ZCL,0,0,0,0,0,0,2.3,2.67,2.26,2.35,3919100,98800
ZCL,0,0,0,0,0,0,2.11,2.35,2.1,2.31,3853320,71738
ZCL,0,0,0,0,0,1,1.65,2.19,1.64,2.11,3539310,74730
ZCL,0,0,0,0,0,0,1.75,1.86,1.62,1.73,2911990,46991
ZCL,0,0,0,0,0,0,1.92,1.93,1.73,1.74,2950310,78878
ZCL,0,0,0,0,0,1,1.95,2.27,1.84,1.91,3254760,129621
ZCL,0,0,0,0,0,0,1.85,2.04,1.79,1.98,3387170,80981
ZCL,0,0,57,14,1,0,1.79,1.93,1.77,1.85,3173630,40960
ZCL,0,0,0,0,0,0,1.63,1.86,1.61,1.79,3088760,43739
ZCL,0,0,0,0,0,0,1.55,1.66,1.46,1.63,2813440,41767
ZCL,1,2,14,57,1,0,1.38,1.65,1.38,1.55,2693840,64526
ZCL,0,0,14,57,1,0,1.24,1.61,1.21,1.38,2413190,42903
ZCL,0,0,0,0,0,0,1.07,1.35,0.9790190000000001,1.24,2169300,51932
ZCL,0,0,0,0,0,0,1.22,1.22,1.01,1.06,1859910,47288
ZCL,0,0,0,0,0,0,1.1,1.23,1.06,1.22,2156180,17138
ZCL,0,0,0,0,0,0,1.1,1.18,1.05,1.07,1897650,29004
ZCL,0,0,0,0,0,0,1.13,1.27,1.01,1.1,1949530,90770
ZCL,0,0,0,0,0,0,0.99936,1.2,0.9659610000000001,1.19,2117370,46047
ZCL,0,0,0,0,0,0,1.2,1.2,0.997727,0.998251,1790250,39740
ZCL,0,0,0,0,0,0,1.25,1.34,1.14,1.2,2169400,72509
ZCL,0,0,0,0,0,0,1.34,1.63,1.21,1.25,2254880,74773
ZCL,0,0,0,0,0,0,1.5,1.59,1.3,1.3,2346940,32471
ZCL,0,0,0,0,0,0,1.49,1.56,1.34,1.48,2670100,38145
ZCL,0,0,0,0,0,0,1.92,2.01,1.49,1.49,2700010,74212
ZCL,0,0,0,0,0,0,1.66,1.98,1.62,1.92,3479950,45496
ZCL,0,0,0,0,0,0,1.72,1.84,1.54,1.71,3098780,32317
ZCL,0,0,0,0,0,0,1.3,1.77,1.28,1.72,3112540,58254
ZCL,0,0,0,0,0,0,1.33,1.39,1.26,1.3,2357320,21067
ZCL,0,0,0,0,0,0,1.33,1.36,1.3,1.33,2412780,33978
ZCL,0,0,0,0,0,0,1.2,1.38,1.18,1.33,2415480,63492
ZCL,0,0,0,0,0,1,1.28,1.28,1.15,1.19,2156600,28557
ZCL,0,0,0,0,0,0,1.2,1.27,1.15,1.23,2220810,14263
ZCL,0,0,0,0,0,0,1.1,1.2,1.08,1.2,2165650,44901
ZCL,0,0,0,0,0,0,1.15,1.32,0.991883,1.1,1995430,40352
ZCL,0,0,0,0,0,0,1.12,1.19,1.09,1.13,2047780,35426
ZCL,0,0,0,0,0,0,1.32,1.38,1.11,1.13,2037680,43835
ZCL,0,0,0,0,0,0,1.44,1.93,1.29,1.32,2386000,420989
ZCL,0,0,0,0,0,0,1.61,1.75,1.37,1.44,2609350,129218
ZCL,0,1,0,0,0,0,1.55,1.67,1.54,1.61,2914490,52148
ZCL,0,0,0,0,0,1,1.41,1.58,1.35,1.55,2797260,56542
ZCL,0,0,0,0,0,0,1.47,1.5,1.28,1.41,2555760,94850
ZCL,0,0,0,0,0,0,1.51,1.89,1.31,1.47,2653440,114792
ZCL,0,0,0,0,0,0,1.45,1.58,1.32,1.51,2729530,139831
ZCL,0,0,0,0,0,0,1.46,1.71,1.37,1.47,2663350,118872
ZCL,0,0,0,0,0,0,1.58,1.76,1.43,1.5,2717550,83759
ZCL,0,0,0,0,0,0,1.55,1.69,1.44,1.63,2952740,40873
ZCL,0,0,0,0,0,1,1.44,1.62,1.4,1.54,2796040,60580
ZCL,0,0,0,0,0,0,1.28,1.47,1.14,1.44,2613000,45468
ZCL,0,0,0,0,0,0,1.3,1.35,1.2,1.28,2320710,31379
ZCL,0,0,0,0,0,0,1.47,1.62,1.24,1.3,2354680,82900
ZCL,0,0,0,0,0,0,1.35,1.51,1.33,1.45,2622960,71099
ZCL,0,0,0,0,0,0,1.3,1.4,1.18,1.35,2434520,42434
ZCL,0,0,0,0,0,0,1.39,1.46,1.23,1.27,2294150,63111
ZCL,0,0,0,0,0,0,2.23,2.69,1.4,1.43,2590200,1613870
ZCL,0,0,0,0,0,0,2.18,2.55,1.7,2.25,4080900,650299
ZCL,1,1,0,0,0,0,2.58,2.63,2.09,2.17,3932440,421035
ZCL,0,0,26190,7424,3,0,2.25,2.62,2.05,2.56,4635800,290633
ZCL,0,1,0,0,0,0,1.87,2.34,1.87,2.24,4062460,148316
ZCL,0,0,0,0,0,0,2.09,2.23,1.78,1.87,3386780,178873
ZCL,0,0,0,0,0,0,3.17,3.83,2.09,2.09,3773920,1475590
ZCL,0,0,0,0,0,0,3.5,3.84,3.02,3.17,5744710,977052
ZCL,0,0,0,0,0,0,3.03,3.67,3.0,3.47,6281800,528193
ZCL,0,0,0,0,0,1,2.81,3.07,2.77,3.02,5474180,300217
ZCL,0,0,0,0,0,0,2.64,2.89,2.43,2.8,5069360,339774
