symbol,pr_count,issues_count,commit_add_sum,commit_del_sum,commit_count,star_count,close,high,low,open,usd_market_cap,usd_volume
ZEC,0,1,0,0,0,9,249.27,261.55,234.48,235.72,335810000,23902700
ZEC,0,1,0,0,0,5,241.68,257.29,240.15,249.16,356721000,15822200
ZEC,0,1,0,0,0,3,230.0,243.93,228.49,241.52,347532000,18667600
ZEC,1,2,0,0,0,1,239.52,244.27,227.92,229.02,331190000,15806600
ZEC,1,4,0,0,0,3,253.03,281.45,238.42,238.82,347104000,43925100
ZEC,0,3,0,0,0,7,259.36,265.25,247.13,254.2,371267000,20436100
ZEC,1,4,0,0,0,7,262.79,312.65,258.06,259.5,380849000,50328900
ZEC,0,1,0,0,0,11,272.24,283.62,259.21,264.36,389903000,23372600
ZEC,2,4,0,0,0,4,281.13,281.13,270.58,271.55,402438000,16799000
ZEC,0,0,0,0,0,5,328.66,334.43,281.31,281.31,418942000,38924900
ZEC,0,2,0,0,0,3,331.1,343.18,309.48,328.96,492266000,38020300
ZEC,1,1,0,0,0,7,311.49,345.5,275.58,329.75,495788000,46398200
ZEC,0,0,0,0,0,5,368.28,371.5,311.55,311.55,470678000,44446100
ZEC,0,2,0,0,0,8,387.49,443.72,352.73,368.09,558715000,101232000
ZEC,1,3,0,0,0,7,387.34,407.36,288.83,381.73,582192000,68123100
ZEC,0,2,0,0,0,6,387.43,402.09,364.08,395.48,606012000,38818700
ZEC,0,2,0,0,0,2,384.86,391.98,370.38,388.45,597978000,28059300
ZEC,0,1,0,0,0,4,376.82,387.68,371.41,387.14,598756000,19743700
ZEC,0,4,0,0,0,11,391.89,399.4,372.11,375.67,583207000,29471100
ZEC,2,5,0,0,0,6,401.2,426.4,385.34,393.26,610509000,66283200
ZEC,0,0,0,0,0,7,378.22,397.36,357.88,394.25,612054000,31746200
ZEC,3,3,342,300,3,2,378.56,386.61,361.11,378.96,588315000,29971100
ZEC,2,10,3,1,1,5,385.84,392.4,369.33,370.64,575399000,24419100
ZEC,4,6,5,11,1,4,362.57,384.91,359.83,381.16,591734000,22252900
ZEC,0,1,0,0,0,5,330.04,359.04,307.36,356.86,554006000,28035800
ZEC,1,5,0,0,0,1,304.65,331.31,265.86,324.59,503912000,36083400
ZEC,0,6,0,0,0,7,328.65,331.74,274.78,310.22,481606000,43883000
ZEC,1,3,0,0,0,4,342.61,347.13,314.24,327.43,508309000,29121800
ZEC,0,4,28,0,1,3,324.38,344.35,313.32,337.43,523837000,28494500
ZEC,0,2,0,0,0,2,307.12,325.32,302.21,318.72,494798000,37157600
ZEC,1,2,0,0,0,5,290.37,303.36,280.18,299.41,464819000,25718200
ZEC,0,1,0,0,0,2,301.88,305.81,269.74,282.77,438992000,24816800
ZEC,1,5,13,359,1,5,291.56,295.8,283.18,295.4,458593000,28546700
ZEC,0,1,0,0,0,3,282.21,298.99,279.07,289.44,449337000,28509400
ZEC,1,4,129,0,3,4,283.01,286.92,272.46,280.24,435050000,38079400
ZEC,0,3,0,0,0,5,287.81,291.31,275.21,281.64,437232000,35396700
ZEC,0,0,0,0,0,3,248.73,289.64,248.55,285.71,443549000,38104000
ZEC,0,0,0,0,0,0,248.86,249.52,235.82,249.02,420155000,27224500
ZEC,0,0,0,0,0,4,241.43,260.23,241.43,252.5,426014000,17712900
ZEC,0,4,58,15,3,5,198.73,242.35,185.06,242.21,412809000,28200200
ZEC,2,6,32,1,2,5,178.37,200.54,167.9,197.8,338586000,37434800
ZEC,2,4,77,6,2,3,211.24,212.41,166.98,178.03,305980000,30152500
ZEC,2,4,14,0,1,4,191.15,214.7,183.89,214.37,369981000,27023600
ZEC,2,5,150,10,9,4,177.45,193.29,167.39,192.32,333293000,23103400
ZEC,0,0,620,300,2,5,160.07,178.22,156.18,178.22,310131000,14327300
ZEC,0,0,13,359,1,6,165.98,165.98,144.09,160.04,279643000,20481600
ZEC,0,3,0,0,0,0,182.51,184.44,161.47,165.66,290661000,28966300
ZEC,1,2,0,0,0,0,199.32,223.43,172.47,180.46,317907000,27904700
ZEC,0,1,0,0,0,6,181.99,216.42,181.0,199.5,352883000,21939800
ZEC,1,2,28,11,3,1,206.94,213.16,182.36,182.36,323865000,26033400
ZEC,1,4,0,0,0,6,201.8,215.07,199.48,210.22,374866000,20076700
ZEC,0,0,0,0,0,3,216.1,216.71,201.89,203.02,363481000,38717100
ZEC,0,0,0,0,0,2,214.42,224.71,208.56,217.3,390602000,24745700
ZEC,0,2,0,0,0,6,206.82,213.15,205.97,211.62,381901000,23279900
ZEC,0,1,110,17,4,3,184.19,210.55,176.79,210.09,380663000,24464700
ZEC,0,1,62,1,1,3,190.08,191.24,174.97,186.88,339929000,21283100
ZEC,1,2,0,0,0,3,185.9,192.12,184.39,190.69,348236000,19482500
ZEC,0,0,56,30,3,3,178.05,189.68,173.35,187.06,342935000,27546000
ZEC,0,1,84,1,1,2,189.29,189.54,170.91,176.46,324760000,31702400
ZEC,0,0,0,0,0,0,175.42,185.24,175.42,185.11,342048000,17966700
ZEC,0,1,0,0,0,3,176.32,179.42,169.36,175.48,325483000,28589500
ZEC,2,4,251,72,10,3,192.34,195.17,172.8,172.93,321995000,36659900
ZEC,0,1,44552,42,4,4,189.14,194.16,183.47,190.31,355707000,28456000
ZEC,1,1,79,53,3,1,186.84,189.71,182.61,188.93,354510000,17505400
ZEC,0,2,0,0,0,6,186.76,190.13,184.8,188.94,355864000,18265500
ZEC,1,1,0,0,0,4,207.52,214.84,186.24,187.59,354682000,25450100
ZEC,0,1,0,0,0,4,206.3,215.81,205.52,205.52,390040000,17480000
ZEC,1,5,8,3,1,6,208.64,210.31,203.67,206.98,394300000,21607900
ZEC,0,0,0,0,0,6,245.48,255.97,208.04,209.18,400002000,39426100
ZEC,0,3,25,0,1,2,242.9,261.31,231.67,245.89,471948000,37956900
ZEC,0,1,0,0,0,2,230.4,247.29,230.4,242.51,467188000,20530400
ZEC,1,2,0,0,0,4,234.37,234.79,225.66,231.04,446761000,18765000
ZEC,0,1,0,0,0,1,223.31,235.42,219.06,234.22,454579000,20015900
ZEC,2,2,1,1,1,3,214.31,225.51,202.03,223.34,435089000,21036100
ZEC,0,1,0,0,0,2,210.23,216.58,203.64,214.54,419477000,18355900
ZEC,2,4,112,34,6,3,212.17,213.17,199.59,209.94,411977000,21171600
ZEC,0,1,0,0,0,4,216.75,218.01,206.16,211.92,417382000,17198100
ZEC,0,0,0,0,0,2,208.95,237.16,206.91,217.05,429048000,16505300
ZEC,0,0,0,0,0,4,201.01,211.38,200.21,208.93,414480000,17564100
ZEC,0,1,0,0,0,3,233.34,242.61,194.37,201.65,401504000,34374700
ZEC,0,0,0,0,0,2,241.07,250.96,224.8,232.05,463682000,30209100
ZEC,0,3,0,0,0,4,239.06,258.89,231.64,241.22,483761000,33202000
ZEC,0,0,0,0,0,3,227.71,240.24,209.21,239.67,482352000,26540900
ZEC,0,1,0,0,0,2,228.3,238.8,224.99,227.13,458739000,19773800
ZEC,0,0,0,0,0,5,228.11,231.47,225.13,228.12,462350000,15371700
ZEC,0,1,0,0,0,5,237.86,256.83,227.9,227.9,463553000,28281900
ZEC,0,2,0,0,0,6,294.65,294.65,236.51,238.72,487257000,65866400
ZEC,1,1,0,0,0,6,273.37,292.75,265.37,292.75,599640000,35217900
ZEC,1,1,0,0,0,4,274.62,278.38,255.11,273.22,561634000,35210000
ZEC,0,1,0,0,0,4,270.3,275.68,265.93,274.68,566591000,28596800
ZEC,1,1,17,6,1,4,271.64,279.51,263.91,270.74,560403000,29396300
ZEC,1,2,248,9,3,4,283.29,283.58,268.83,272.12,565218000,26913900
ZEC,0,0,0,0,0,4,305.11,308.75,281.1,283.81,591510000,45352800
ZEC,0,2,0,0,0,0,254.03,307.83,246.19,304.72,637301000,52498700
ZEC,0,0,0,0,0,3,260.09,268.54,242.55,254.76,534636000,34128900
ZEC,2,2,3,1,1,2,218.34,260.66,199.72,260.66,548884000,41954600
ZEC,0,1,0,0,0,2,226.88,234.42,197.06,219.36,463446000,31113600
ZEC,0,0,63,13,2,2,247.01,248.71,225.62,227.81,482953000,29252500
ZEC,0,0,0,0,0,4,247.31,250.15,236.8,247.8,527118000,27100600
ZEC,0,0,0,0,0,4,213.99,247.4,206.16,247.4,528046000,30849900
ZEC,0,0,0,0,0,0,213.79,215.73,204.87,213.95,458172000,24960900
ZEC,0,0,0,0,0,6,212.91,220.22,195.84,213.3,458304000,26701400
ZEC,0,1,1,1,1,2,208.77,216.16,205.6,212.19,457445000,22339400
ZEC,1,2,17,1,1,1,207.77,221.41,203.27,207.9,449686000,26344600
ZEC,0,0,172,10,2,2,197.22,208.14,183.33,207.34,449957000,32634000
ZEC,1,4,0,0,0,5,158.88,204.79,158.83,197.68,430379000,35524600
ZEC,1,1,15,4,1,5,181.06,183.41,138.69,159.08,347512000,45620000
ZEC,0,0,0,0,0,4,172.46,184.53,165.55,181.1,396908000,22550100
ZEC,0,0,0,0,0,2,174.18,177.4,164.81,172.3,378861000,17358900
ZEC,2,4,374,73,11,2,193.16,193.16,174.01,174.01,383846000,27678900
ZEC,1,3,135,5,5,1,188.3,195.95,182.81,193.42,428072000,19791200
ZEC,0,1,79,34,3,1,187.86,192.84,183.26,186.99,415166000,12166600
ZEC,0,1,1425,123,6,4,175.65,190.78,174.86,187.25,417102000,17620100
ZEC,0,0,1161,90,1,4,195.84,203.67,174.99,175.53,392222000,43671100
ZEC,1,3,188,52,4,1,204.21,215.64,192.29,195.5,438281000,29531600
ZEC,0,2,0,0,0,2,205.63,207.69,199.5,204.02,458828000,15176600
ZEC,0,2,0,0,0,3,230.77,233.6,205.41,205.65,463963000,32460800
ZEC,1,2,7,2,1,4,231.47,234.59,228.74,230.7,522161000,20525600
ZEC,3,8,67,34,8,7,285.36,296.87,229.84,231.26,525065000,130957000
ZEC,1,4,74,34,4,10,310.6,413.06,281.97,285.65,650661000,296921000
ZEC,0,1,0,0,0,9,290.12,311.49,272.38,311.49,711727000,71232100
ZEC,0,0,0,0,0,8,277.53,292.6,275.43,289.96,664608000,37283500
ZEC,0,1,0,0,0,6,263.94,279.68,263.94,277.35,637677000,33546100
ZEC,1,1,32,0,1,4,257.6,273.77,254.74,264.51,610037000,52062000
ZEC,1,1,2,2,1,2,252.94,260.0,238.33,258.16,597264000,36278200
ZEC,2,3,20,2,1,4,237.91,253.14,237.34,253.0,587108000,22195500
ZEC,0,1,699,146,16,1,254.82,265.84,227.9,237.64,553211000,48244700
ZEC,1,1,186,138,3,4,257.61,272.76,253.32,254.85,595099000,49397500
ZEC,0,2,0,0,0,4,253.98,257.56,246.53,257.25,602523000,30163700
ZEC,0,1,0,0,0,2,241.06,256.2,240.55,253.52,595599000,30469500
ZEC,1,3,3,0,1,4,229.49,242.47,226.57,241.46,569009000,33586100
ZEC,0,2,0,0,0,3,235.66,242.36,226.36,229.71,542934000,27876900
ZEC,0,0,203,291,7,6,236.13,240.14,231.64,235.32,557915000,20522300
ZEC,0,0,55,2,3,3,227.0,236.99,227.0,236.44,562261000,39391300
ZEC,0,0,0,0,0,5,240.05,251.0,222.6,227.05,541560000,62551500
ZEC,1,1,0,0,0,6,240.89,242.13,238.07,240.05,574275000,21199600
ZEC,0,0,0,0,0,3,232.63,240.66,228.25,240.66,577433000,25648400
ZEC,1,3,605,35,4,3,233.01,235.96,230.45,231.96,558212000,22198300
ZEC,0,2,192,134,1,5,231.28,250.28,227.69,233.11,562642000,60696400
ZEC,3,4,22220,47,6,4,229.3,239.31,217.17,231.15,559570000,29137800
ZEC,0,1,9,0,1,2,230.07,237.61,224.75,229.39,556979000,30300100
ZEC,1,3,0,0,0,3,222.52,234.22,222.52,230.2,560579000,29093800
ZEC,0,1,102,180,1,1,212.46,223.39,208.83,222.05,542326000,37115000
ZEC,0,3,0,0,0,1,213.73,219.28,208.3,212.82,521286000,26263000
ZEC,0,0,89,16,2,2,206.52,213.42,201.15,213.41,524261000,26665700
ZEC,1,8,9,2,3,4,216.04,227.38,205.07,206.59,509003000,37788300
ZEC,0,0,0,0,0,5,217.69,227.99,208.75,215.9,533463000,44717900
ZEC,1,4,2,15,1,6,233.67,235.65,217.36,217.36,538633000,41638100
ZEC,0,0,0,0,0,7,244.52,255.91,227.84,233.33,579905000,131517000
ZEC,0,3,0,0,0,4,231.07,246.68,231.06,243.72,607479000,45309100
ZEC,2,2,0,0,0,3,234.33,238.78,224.64,231.63,578982000,59020900
ZEC,1,2,14,0,1,2,241.22,244.42,229.0,233.63,585624000,50794000
ZEC,1,2,197,50,6,4,233.01,239.93,231.72,239.86,602974000,38363600
ZEC,0,0,68,13,2,1,222.41,233.93,220.32,233.93,589719000,47917100
ZEC,0,1,67,25,1,1,218.16,224.15,212.09,222.91,563565000,47381200
ZEC,1,5,16,8,2,3,232.63,240.39,216.45,217.88,552362000,48622200
ZEC,0,1,0,0,0,3,230.39,234.51,224.81,232.63,591459000,36530200
ZEC,0,1,9,9,1,3,225.35,232.77,224.34,230.32,587210000,38159100
ZEC,0,1,281,226,1,2,228.69,236.34,222.34,225.65,576941000,47873100
ZEC,0,0,0,0,0,2,240.87,245.02,228.27,228.75,586502000,55446200
ZEC,0,2,0,0,0,4,250.6,252.35,238.26,240.13,617406000,60804200
ZEC,0,6,3,3,1,5,262.0,270.18,244.14,250.55,645990000,86573400
ZEC,0,2,0,0,0,5,237.88,272.76,231.58,261.95,677262000,78740400
ZEC,0,1,0,0,0,4,253.6,269.72,236.25,238.16,617454000,68016100
ZEC,0,0,0,0,0,7,288.67,288.67,231.68,253.63,659346000,119639000
ZEC,0,2,0,0,0,5,265.45,298.73,258.33,298.73,778787000,115940000
ZEC,1,9,2655,35,3,4,271.44,275.89,263.64,265.58,694229000,52265100
ZEC,1,5,292,89,7,3,290.56,297.92,271.17,271.17,710792000,89937200
ZEC,0,1,1,1,1,6,294.91,320.95,288.5,290.25,762905000,173976000
ZEC,5,7,138,66,7,1,291.19,294.76,283.98,293.39,773268000,56387900
ZEC,0,4,0,0,0,2,298.15,304.79,287.2,290.83,768597000,61087000
ZEC,1,2,9,26,1,2,299.33,302.59,294.51,298.22,790267000,53157100
ZEC,2,5,162,35,6,2,302.17,304.26,296.36,299.32,795282000,55245200
ZEC,1,2,332,17,2,1,290.64,307.82,281.85,301.87,804205000,82637900
ZEC,1,4,18,3,2,7,319.73,321.28,290.89,290.89,777089000,139325000
ZEC,7,7,6,132,4,6,311.55,320.54,303.16,319.45,855647000,102568000
ZEC,2,2,0,0,0,4,346.36,351.5,301.56,310.44,833750000,153182000
ZEC,2,2,10,390,3,4,344.7,359.86,336.84,348.59,938711000,120059000
ZEC,0,0,0,381,1,3,340.14,346.8,333.71,344.83,931073000,81416400
ZEC,0,3,2,14,2,7,347.51,347.51,332.85,340.18,920947000,90891200
ZEC,3,5,626,724,9,11,371.24,375.42,346.12,347.66,943652000,127136000
ZEC,0,2,1306,400,25,4,306.07,380.57,300.73,371.17,1010140000,157702000
ZEC,1,2,1257,360,2,4,308.49,330.78,267.7,309.42,844333000,93494200
ZEC,1,1,197,110,17,3,335.98,338.11,292.63,306.19,837670000,78854200
ZEC,0,2,0,0,0,2,329.3,342.73,320.11,335.38,919935000,63555100
ZEC,0,0,0,0,0,3,322.81,341.84,311.27,329.53,906261000,85387900
ZEC,1,2,277,124,6,5,330.51,333.39,316.02,323.08,890812000,61649200
ZEC,0,0,0,0,0,4,323.39,331.05,319.0,330.96,914876000,72757600
ZEC,0,0,0,0,0,3,338.87,372.85,319.57,322.92,895026000,206504000
ZEC,0,0,28,7,1,3,308.39,341.8,301.87,339.87,944355000,125668000
ZEC,0,2,0,0,0,10,328.07,339.99,295.02,308.04,858140000,127793000
ZEC,0,0,0,0,0,0,316.63,353.35,309.25,327.78,915507000,132799000
ZEC,0,1,0,0,0,3,291.1,321.55,288.4,317.28,888438000,107504000
ZEC,1,1,0,0,0,6,319.96,323.36,284.7,290.03,814205000,115200000
ZEC,0,0,0,0,0,9,373.03,379.12,320.55,320.55,902200000,191288000
ZEC,2,2,0,0,0,8,414.69,437.24,356.12,372.13,1050030000,265914000
ZEC,1,1,193,3,2,7,510.91,529.77,415.5,416.41,1177960000,423033000
ZEC,1,4,730,396,10,5,467.15,510.82,423.73,510.82,1448690000,220484000
ZEC,0,0,369,319,5,5,469.64,498.33,459.92,469.39,1334630000,150140000
ZEC,2,4,62,193,1,3,537.18,562.0,470.36,471.63,1344370000,305008000
ZEC,1,4,193,0,1,13,596.16,600.69,497.31,538.45,1538680000,348897000
ZEC,5,7,0,0,0,10,613.91,635.55,560.39,595.79,1706810000,287417000
ZEC,3,5,1240,212,11,7,675.55,740.69,555.81,613.29,1761330000,305316000
ZEC,2,7,706,72,7,10,651.49,743.96,622.92,674.66,1942370000,279558000
ZEC,1,4,366,40,5,5,536.68,656.02,381.48,652.92,1884510000,351521000
ZEC,0,2,0,0,0,8,594.62,637.24,498.77,542.19,1568750000,231311000
ZEC,0,1,0,0,0,19,532.5,595.39,449.03,595.39,1726960000,142136000
ZEC,0,2,0,0,0,12,558.84,575.16,511.03,536.13,1558920000,139365000
ZEC,0,0,0,0,0,4,573.98,573.98,551.84,560.0,1632270000,139397000
ZEC,0,0,0,0,0,10,554.07,590.16,540.62,574.16,1677730000,143217000
ZEC,1,3,0,0,0,9,507.26,560.12,490.4,552.58,1618580000,129796000
ZEC,1,1,0,0,0,8,571.9,601.5,483.99,507.97,1491580000,227427000
ZEC,0,1,0,0,0,10,486.45,574.1,478.66,574.1,1689880000,143776000
ZEC,0,1,0,0,0,4,505.51,516.36,478.63,482.82,1424590000,95277100
ZEC,0,0,0,0,0,4,577.19,621.69,489.34,508.0,1502590000,234555000
ZEC,1,3,31,1,2,2,583.51,624.97,576.0,578.08,1713990000,207114000
ZEC,2,2,198,53,4,9,581.89,593.67,561.58,581.29,1727630000,152736000
ZEC,0,0,241,1922,3,1,595.19,602.0,539.1,583.08,1737200000,166095000
ZEC,1,1,116,1947,2,7,588.86,606.11,573.83,590.87,1764630000,158978000
ZEC,1,5,0,0,0,7,764.26,780.84,578.69,587.91,1759870000,305643000
ZEC,0,2,0,0,0,5,880.76,955.26,750.39,756.37,2269630000,542981000
ZEC,1,1,3,3,1,10,695.49,896.28,601.87,884.27,2659820000,282955000
ZEC,0,2,0,0,0,7,672.78,723.29,644.06,693.24,2090110000,213921000
ZEC,2,3,0,0,0,11,721.4,728.46,630.14,672.39,2032060000,245168000
ZEC,0,2,0,0,0,14,646.6,729.01,609.46,719.1,2178380000,221531000
ZEC,0,1,0,0,0,8,700.81,719.57,622.29,651.18,1977330000,185898000
