Category: All categories

Day,bitcoin: (United States)
2015-11-01,34
2015-11-02,42
2015-11-03,71
2015-11-04,99
2015-11-05,81
2015-11-06,63
2015-11-07,45
2015-11-08,37
2015-11-09,46
2015-11-10,44
2015-11-11,45
2015-11-12,33
2015-11-13,30
2015-11-14,34
2015-11-15,34
2015-11-16,35
2015-11-17,36
2015-11-18,41
2015-11-19,34
2015-11-20,36
2015-11-21,33
2015-11-22,34
2015-11-23,33
2015-11-24,30
2015-11-25,28
2015-11-26,40
2015-11-27,32
2015-11-28,30
2015-11-29,33
2015-11-30,34
2015-12-01,31
2015-12-02,30
2015-12-03,33
2015-12-04,28
2015-12-05,34
2015-12-06,37
2015-12-07,33
2015-12-08,49
2015-12-09,86
2015-12-10,53
2015-12-11,54
2015-12-12,48
2015-12-13,42
2015-12-14,43
2015-12-15,47
2015-12-16,46
2015-12-17,41
2015-12-18,38
2015-12-19,34
2015-12-20,35
2015-12-21,36
2015-12-22,34
2015-12-23,40
2015-12-24,42
2015-12-25,37
2015-12-26,38
2015-12-27,38
2015-12-28,38
2015-12-29,37
2015-12-30,33
2015-12-31,30
2016-01-01,28
2016-01-02,28
2016-01-03,34
2016-01-04,37
2016-01-05,33
2016-01-06,37
2016-01-07,45
2016-01-08,45
2016-01-09,41
2016-01-10,31
2016-01-11,31
2016-01-12,33
2016-01-13,36
2016-01-14,32
2016-01-15,58
2016-01-16,56
2016-01-17,47
2016-01-18,46
2016-01-19,39
2016-01-20,47
2016-01-21,41
2016-01-22,34
2016-01-23,30
2016-01-24,29
2016-01-25,32
2016-01-26,31
2016-01-27,34
2016-01-28,34
2016-01-29,33
2016-01-30,28
2016-01-31,32
2016-02-01,30
2016-02-02,27
2016-02-03,30
2016-02-04,32
2016-02-05,26
2016-02-06,28
2016-02-07,30
2016-02-08,30
2016-02-09,32
2016-02-10,30
2016-02-11,32
2016-02-12,35
2016-02-13,30
2016-02-14,38
2016-02-15,42
2016-02-16,39
2016-02-17,43
2016-02-18,61
2016-02-19,45
2016-02-20,43
2016-02-21,44
2016-02-22,41
2016-02-23,33
2016-02-24,39
2016-02-25,37
2016-02-26,31
2016-02-27,36
2016-02-28,31
2016-02-29,28
2016-03-01,37
2016-03-02,34
2016-03-03,39
2016-03-04,35
2016-03-05,33
2016-03-06,32
2016-03-07,32
2016-03-08,34
2016-03-09,33
2016-03-10,31
2016-03-11,30
2016-03-12,28
2016-03-13,26
2016-03-14,33
2016-03-15,34
2016-03-16,29
2016-03-17,29
2016-03-18,27
2016-03-19,27
2016-03-20,27
2016-03-21,29
2016-03-22,31
2016-03-23,30
2016-03-24,31
2016-03-25,30
2016-03-26,27
2016-03-27,29
2016-03-28,33
2016-03-29,34
2016-03-30,32
2016-03-31,33
2016-04-01,26
2016-04-02,28
2016-04-03,29
2016-04-04,27
2016-04-05,28
2016-04-06,27
2016-04-07,29
2016-04-08,29
2016-04-09,27
2016-04-10,32
2016-04-11,31
2016-04-12,30
2016-04-13,26
2016-04-14,30
2016-04-15,29
2016-04-16,26
2016-04-17,31
2016-04-18,27
2016-04-19,30
2016-04-20,36
2016-04-21,38
2016-04-22,35
2016-04-23,36
2016-04-24,36
2016-04-25,33
2016-04-26,36
2016-04-27,39
2016-04-28,42
2016-04-29,29
2016-04-30,31
2016-05-01,30
2016-05-02,94
2016-05-03,55
2016-05-04,42
2016-05-05,45
2016-05-06,39
2016-05-07,33
2016-05-08,38
2016-05-09,41
2016-05-10,40
2016-05-11,29
2016-05-12,35
2016-05-13,32
2016-05-14,30
2016-05-15,29
2016-05-16,26
2016-05-17,32
2016-05-18,29
2016-05-19,42
2016-05-20,36
2016-05-21,27
2016-05-22,30
2016-05-23,35
2016-05-24,29
2016-05-25,28
2016-05-26,30
2016-05-27,36
2016-05-28,44
2016-05-29,47
2016-05-30,47
2016-05-31,50
2016-06-01,43
2016-06-02,37
2016-06-03,45
2016-06-04,42
2016-06-05,40
2016-06-06,42
2016-06-07,45
2016-06-08,34
2016-06-09,34
2016-06-10,36
2016-06-11,36
2016-06-12,68
2016-06-13,83
2016-06-14,65
2016-06-15,55
2016-06-16,76
2016-06-17,69
2016-06-18,57
2016-06-19,52
2016-06-20,50
2016-06-21,68
2016-06-22,52
2016-06-23,61
2016-06-24,100
2016-06-25,61
2016-06-26,47
2016-06-27,53
2016-06-28,50
2016-06-29,47
2016-06-30,50
2016-07-01,48
