Category: All categories

Day,ethereum: (United States)
2015-11-01,5
2015-11-02,3
2015-11-03,7
2015-11-04,7
2015-11-05,3
2015-11-06,4
2015-11-07,2
2015-11-08,2
2015-11-09,4
2015-11-10,4
2015-11-11,6
2015-11-12,3
2015-11-13,6
2015-11-14,3
2015-11-15,4
2015-11-16,3
2015-11-17,4
2015-11-18,5
2015-11-19,2
2015-11-20,9
2015-11-21,2
2015-11-22,5
2015-11-23,3
2015-11-24,6
2015-11-25,1
2015-11-26,6
2015-11-27,6
2015-11-28,2
2015-11-29,2
2015-11-30,3
2015-12-01,4
2015-12-02,5
2015-12-03,2
2015-12-04,4
2015-12-05,6
2015-12-06,2
2015-12-07,2
2015-12-08,4
2015-12-09,1
2015-12-10,4
2015-12-11,6
2015-12-12,4
2015-12-13,5
2015-12-14,5
2015-12-15,4
2015-12-16,1
2015-12-17,4
2015-12-18,5
2015-12-19,3
2015-12-20,2
2015-12-21,4
2015-12-22,5
2015-12-23,4
2015-12-24,6
2015-12-25,0
2015-12-26,3
2015-12-27,2
2015-12-28,1
2015-12-29,3
2015-12-30,1
2015-12-31,1
2016-01-01,3
2016-01-02,1
2016-01-03,1
2016-01-04,3
2016-01-05,1
2016-01-06,2
2016-01-07,6
2016-01-08,2
2016-01-09,5
2016-01-10,4
2016-01-11,4
2016-01-12,6
2016-01-13,4
2016-01-14,4
2016-01-15,6
2016-01-16,5
2016-01-17,4
2016-01-18,5
2016-01-19,7
2016-01-20,6
2016-01-21,5
2016-01-22,6
2016-01-23,4
2016-01-24,8
2016-01-25,12
2016-01-26,12
2016-01-27,9
2016-01-28,12
2016-01-29,11
2016-01-30,9
2016-01-31,6
2016-02-01,5
2016-02-02,5
2016-02-03,7
2016-02-04,7
2016-02-05,4
2016-02-06,4
2016-02-07,7
2016-02-08,11
2016-02-09,16
2016-02-10,14
2016-02-11,19
2016-02-12,22
2016-02-13,19
2016-02-14,14
2016-02-15,15
2016-02-16,15
2016-02-17,10
2016-02-18,9
2016-02-19,12
2016-02-20,7
2016-02-21,9
2016-02-22,8
2016-02-23,15
2016-02-24,16
2016-02-25,17
2016-02-26,18
2016-02-27,17
2016-02-28,14
2016-02-29,12
2016-03-01,20
2016-03-02,17
2016-03-03,22
2016-03-04,24
2016-03-05,35
2016-03-06,21
2016-03-07,29
2016-03-08,16
2016-03-09,19
2016-03-10,19
2016-03-11,23
2016-03-12,30
2016-03-13,29
2016-03-14,39
2016-03-15,33
2016-03-16,22
2016-03-17,22
2016-03-18,23
2016-03-19,20
2016-03-20,20
2016-03-21,24
2016-03-22,18
2016-03-23,21
2016-03-24,17
2016-03-25,14
2016-03-26,18
2016-03-27,12
2016-03-28,50
2016-03-29,32
2016-03-30,27
2016-03-31,23
2016-04-01,23
2016-04-02,17
2016-04-03,12
2016-04-04,17
2016-04-05,18
2016-04-06,19
2016-04-07,17
2016-04-08,13
2016-04-09,13
2016-04-10,18
2016-04-11,13
2016-04-12,16
2016-04-13,17
2016-04-14,11
2016-04-15,15
2016-04-16,15
2016-04-17,9
2016-04-18,11
2016-04-19,14
2016-04-20,11
2016-04-21,12
2016-04-22,14
2016-04-23,10
2016-04-24,8
2016-04-25,17
2016-04-26,16
2016-04-27,11
2016-04-28,11
2016-04-29,12
2016-04-30,15
2016-05-01,16
2016-05-02,16
2016-05-03,10
2016-05-04,17
2016-05-05,10
2016-05-06,16
2016-05-07,8
2016-05-08,10
2016-05-09,14
2016-05-10,16
2016-05-11,18
2016-05-12,22
2016-05-13,16
2016-05-14,17
2016-05-15,13
2016-05-16,22
2016-05-17,26
2016-05-18,42
2016-05-19,32
2016-05-20,41
2016-05-21,31
2016-05-22,33
2016-05-23,34
2016-05-24,28
2016-05-25,44
2016-05-26,29
2016-05-27,32
2016-05-28,36
2016-05-29,21
2016-05-30,26
2016-05-31,35
2016-06-01,23
2016-06-02,24
2016-06-03,25
2016-06-04,22
2016-06-05,24
2016-06-06,21
2016-06-07,29
2016-06-08,26
2016-06-09,22
2016-06-10,21
2016-06-11,17
2016-06-12,36
2016-06-13,36
2016-06-14,35
2016-06-15,43
2016-06-16,39
2016-06-17,100
2016-06-18,99
2016-06-19,78
2016-06-20,56
2016-06-21,62
2016-06-22,46
2016-06-23,40
2016-06-24,36
2016-06-25,32
2016-06-26,22
2016-06-27,23
2016-06-28,26
2016-06-29,35
2016-06-30,36
2016-07-01,27
