Category: All categories

Week,ethereum: (United States)
2015-11-01,1
2015-11-08,1
2015-11-15,1
2015-11-22,<1
2015-11-29,<1
2015-12-06,<1
2015-12-13,1
2015-12-20,<1
2015-12-27,<1
2016-01-03,<1
2016-01-10,1
2016-01-17,1
2016-01-24,2
2016-01-31,1
2016-02-07,2
2016-02-14,2
2016-02-21,2
2016-02-28,3
2016-03-06,3
2016-03-13,4
2016-03-20,3
2016-03-27,4
2016-04-03,2
2016-04-10,2
2016-04-17,2
2016-04-24,2
2016-05-01,2
2016-05-08,2
2016-05-15,4
2016-05-22,5
2016-05-29,4
2016-06-05,3
2016-06-12,7
2016-06-19,7
2016-06-26,4
2016-07-03,3
2016-07-10,3
2016-07-17,4
2016-07-24,5
2016-07-31,4
2016-08-07,3
2016-08-14,2
2016-08-21,2
2016-08-28,2
2016-09-04,2
2016-09-11,2
2016-09-18,3
2016-09-25,2
2016-10-02,2
2016-10-09,2
2016-10-16,2
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,2
2016-12-18,2
2016-12-25,2
2017-01-01,4
2017-01-08,2
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,3
2017-02-19,2
2017-02-26,7
2017-03-05,5
2017-03-12,16
2017-03-19,11
2017-03-26,8
2017-04-02,7
2017-04-09,6
2017-04-16,6
2017-04-23,10
2017-04-30,20
2017-05-07,15
2017-05-14,15
2017-05-21,60
2017-05-28,42
2017-06-04,51
2017-06-11,83
2017-06-18,62
2017-06-25,60
2017-07-02,33
2017-07-09,45
2017-07-16,43
2017-07-23,28
2017-07-30,25
2017-08-06,34
2017-08-13,32
2017-08-20,26
2017-08-27,33
2017-09-03,28
2017-09-10,26
2017-09-17,21
2017-09-24,17
2017-10-01,16
2017-10-08,22
2017-10-15,26
2017-10-22,20
2017-10-29,26
2017-11-05,28
2017-11-12,26
2017-11-19,45
2017-11-26,67
2017-12-03,78
2017-12-10,98
2017-12-17,86
2017-12-24,55
2017-12-31,77
2018-01-07,100
2018-01-14,81
2018-01-21,45
2018-01-28,49
2018-02-04,43
2018-02-11,27
2018-02-18,24
2018-02-25,19
2018-03-04,19
2018-03-11,20
2018-03-18,20
2018-03-25,22
2018-04-01,17
2018-04-08,15
2018-04-15,15
2018-04-22,18
2018-04-29,19
2018-05-06,19
2018-05-13,14
2018-05-20,13
2018-05-27,12
2018-06-03,11
2018-06-10,16
2018-06-17,11
2018-06-24,12
2018-07-01,9
2018-07-08,9
2018-07-15,10
2018-07-22,10
2018-07-29,9
2018-08-05,14
2018-08-12,19
2018-08-19,11
2018-08-26,9
2018-09-02,13
2018-09-09,13
2018-09-16,9
2018-09-23,8
2018-09-30,7
2018-10-07,7
2018-10-14,6
2018-10-21,6
