Category: All categories

Month,Bitcoin: (United States)
2012-01,1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,1
2012-09,1
2012-10,<1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,8
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,3
2013-11,9
2013-12,12
2014-01,8
2014-02,9
2014-03,7
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,3
2016-02,2
2016-03,2
2016-04,2
2016-05,3
2016-06,4
2016-07,3
2016-08,2
2016-09,2
2016-10,2
2016-11,3
2016-12,3
2017-01,5
2017-02,4
2017-03,5
2017-04,4
2017-05,11
2017-06,11
2017-07,9
2017-08,16
2017-09,15
2017-10,16
2017-11,39
2017-12,100
2018-01,49
2018-02,35
2018-03,20
2018-04,16
2018-05,12
2018-06,12
2018-07,11
2018-08,11
2018-09,9
2018-10,7
